,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,FY2020 Final Grants,,
,,,,,Includes,,Includes,,Includes,,Includes,,,,,,,,,,,as of 3-13-2020,,
,,,,,Full Day K,,Full Day K,,Full Day K,,Full Day K,,,,,,FY2020,,Stabilization,,, Grants = Max of Preliminary Grant plus Stabiliation Grant @ 100% OR 95% of 11-15-18 Grant Estimate ,,
,From EOY Data Excl Charter And OOS,,,,18-19 Membership,Base Adequacy Aid,F &R ,Free or Reduced Differentiated Aid, SPED,Special Education Differentiated Aid,ELL,ELL Differentiated Aid,Grade 3 Reading Below Proficient,Grade 3 Reading Differentiated Aid,Total Calculated Cost of an Adequate Education,SWEPT @,Preliminary        Grants = Cost of Adequacy            Less SWEPT,FY2012 Stabilization Grant  ,If Preliminary Grant > 0 and  ADM > 0 then FY12 Stabilization  @ ,FY 2020 First Estimate on         11-15-18,Minimum First FY20 Estimate as of   11-15-18 X,,,
35,Bartlett,TRUE,35,Bartlett, 253.62 ," 940,616.70 ", 85.41 ," 158,384.64 ", 40.34 ," 80,482.38 ", 1.87 ," 1,358.52 ", 3.00 ," 2,176.89 "," 1,183,019.13 "," 2,214,454 ", -   ," 18,308.00 ", -   , -   , -   , -   ,,
39,Bath,TRUE,39,Bath, 134.38 ," 498,377.70 ", 39.81 ," 73,822.31 ", 22.35 ," 44,593.74 ", -   , -   , -   , -   ," 616,793.75 "," 237,896 "," 378,897.75 "," 259,033.00 "," 259,033.00 "," 584,693.69 "," 555,459.01 "," 637,930.75 ",,
41,Bedford,TRUE,41,Bedford," 4,357.55 "," 16,161,180.20 ", 235.14 ," 436,033.54 ", 572.50 ," 1,142,254.13 ", 63.12 ," 45,803.87 ", 51.05 ," 37,044.50 "," 17,822,316.24 "," 8,157,253 "," 9,665,063.24 ", -   , -   ," 9,570,546.64 "," 9,092,019.31 "," 9,665,063.24 ",,
43,Belmont,TRUE,43,Belmont," 1,015.69 "," 3,766,986.71 ", 411.48 ," 763,033.98 ", 192.65 ," 384,373.22 ", 6.00 ," 4,353.78 ", 13.00 ," 9,433.19 "," 4,928,180.88 "," 1,368,344 "," 3,559,836.88 "," 1,233,780.00 "," 1,233,780.00 "," 4,455,186.86 "," 4,232,427.52 "," 4,793,616.88 ",,
45,Bennington,TRUE,45,Bennington, 200.06 ," 741,971.11 ", 61.28 ," 113,643.82 ", 52.11 ," 103,977.58 ", 1.45 ," 1,051.37 ", 4.00 ," 2,902.52 "," 963,546.40 "," 212,282 "," 751,264.40 "," 489,829.00 "," 489,829.00 "," 1,147,393.10 "," 1,090,023.45 "," 1,241,093.40 ",,
47,Benton,TRUE,47,Benton, 28.35 ," 105,156.52 ", 8.99 ," 16,674.77 ", 8.99 ," 17,941.13 ", -   , -   , -   , -   ," 139,772.42 "," 56,310 "," 83,462.42 "," 59,781.00 "," 59,781.00 "," 118,907.10 "," 112,961.75 "," 143,243.42 ",,
51,Berlin,TRUE,51,Berlin," 1,063.91 "," 3,945,795.52 ", 627.22 ," 1,163,108.49 ", 249.12 ," 497,042.13 ", 3.44 ," 2,499.36 ", 15.00 ," 10,884.45 "," 5,619,329.95 "," 602,339 "," 5,016,990.95 "," 5,495,595.00 "," 5,495,595.00 "," 9,379,460.16 "," 8,910,487.15 "," 10,512,585.95 ",,
53,Bethlehem,TRUE,53,Bethlehem, 251.96 ," 934,449.74 ", 84.61 ," 156,902.06 ", 33.29 ," 66,416.75 ", 1.00 , 725.63 , 2.00 ," 1,451.26 "," 1,159,945.44 "," 567,696 "," 592,249.44 "," 449,239.00 "," 449,239.00 "," 957,959.64 "," 910,061.66 "," 1,041,488.44 ",,
55,Boscawen,TRUE,55,Boscawen, 477.60 ," 1,771,309.25 ", 161.27 ," 299,062.35 ", 109.46 ," 218,400.28 ", 4.00 ," 2,902.52 ", 4.00 ," 2,902.52 "," 2,294,576.92 "," 552,015 "," 1,742,561.92 "," 1,119,944.00 "," 1,119,944.00 "," 2,639,919.77 "," 2,507,923.78 "," 2,862,505.92 ",,
57,Bow,TRUE,57,Bow," 1,440.56 "," 5,342,724.57 ", 89.97 ," 166,846.91 ", 196.85 ," 392,757.29 ", 9.73 ," 7,058.78 ", 18.58 ," 13,484.60 "," 5,922,872.15 "," 2,167,917 "," 3,754,955.15 "," 349,208.00 "," 349,208.00 "," 3,877,967.53 "," 3,684,069.15 "," 4,104,163.15 ",,
59,Bradford,TRUE,59,Bradford, 196.91 ," 730,310.70 ", 55.43 ," 102,784.20 ", 29.00 ," 57,861.09 ", -   , -   , 2.00 ," 1,451.26 "," 892,407.25 "," 458,393 "," 434,014.25 "," 199,555.00 "," 199,555.00 "," 544,057.81 "," 516,854.92 "," 633,569.25 ",,
63,Brentwood,TRUE,63,Brentwood, 789.17 ," 2,926,866.44 ", 44.88 ," 83,220.49 ", 119.68 ," 238,782.34 ", 4.00 ," 2,902.52 ", 6.00 ," 4,353.78 "," 3,256,125.57 "," 1,282,386 "," 1,973,739.57 ", -   , -   ," 1,850,641.78 "," 1,758,109.69 "," 1,973,739.57 ",,
