,,,Loc #,State Total,"152,139.62","648,972,840.96 ","40,467.85","96,836,327.38 ","31,459.30 ","68,733,540.23 ","5,846.82","4,866,428.29 ",34.55 ,"147,375.73 "," 819,556,512.59 "," 363,516,836 ","337,545,735,414",,," $180,171,742.78 "," 664,710,118.36 "," 59,449,971.16 "," 47,559,976.93 "," 716,948,319.53 "," 3,200,171.37 "," 715,470,266.68 ",,"1,078,987,102.68 ",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Auburn,TRUE,29,Auburn, 939.90 ," 4,009,286.98 ", 68.06 ," 162,873.62 ", 117.49 ," 256,707.34 ", 11.04 ," 9,192.89 ", -   , -   ," 4,438,060.83 "," 1,630,050 "," 1,471,801,013.48 "," 21,623,526.60 ", -   , -   ," 2,808,010.83 ", -   ,0.00,"2,811,818.11", -   ," 2,808,010.83 ",," 4,438,060.83 ",,,,,,
31,Barnstead,TRUE,31,Barnstead, 624.55 ," 2,664,116.55 ", 191.19 ," 457,496.63 ", 145.93 ," 318,836.54 ", -   , -   , -   , -   ," 3,440,449.72 "," 1,209,699 "," 1,101,927,132.37 "," 5,763,591.01 "," 2,437.74 "," 466,065.33 "," 2,696,816.05 "," 829,876.70 ","663,901.36","3,268,309.33", -   ," 3,360,717.41 ",," 4,570,416.41 ",,,,,,
33,Barrington,TRUE,33,Barrington," 1,321.46 "," 5,636,885.43 ", 163.31 ," 390,780.59 ", 284.79 ," 622,211.41 ", 8.00 ," 6,658.56 ", 0.45 ," 1,919.54 "," 6,658,455.53 "," 2,142,168 "," 1,957,092,600.97 "," 11,984,131.73 ", -   , -   ," 4,516,287.53 "," 308,876.92 ","247,101.53","4,755,554.55", -   ," 4,763,389.06 ",," 6,905,557.06 ",,,,,,
35,Bartlett,TRUE,35,Bartlett, 203.85 ," 869,530.24 ", 65.96 ," 157,841.79 ", 46.31 ," 101,182.13 ", 0.98 , 812.43 , -   , -   ," 1,129,366.59 "," 2,529,838 "," 2,279,894,958.01 "," 34,563,763.35 ", -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 2,529,838.00 ",,,,,,
39,Bath,TRUE,39,Bath, 109.54 ," 467,244.56 ", 15.68 ," 37,518.59 ", 22.20 ," 48,496.02 ", -   , -   , -   , -   ," 553,259.17 "," 186,745 "," 198,858,268.17 "," 12,683,096.38 ", -   , -   ," 366,514.17 "," 302,834.33 ","242,267.46","619,568.93", -   ," 608,781.63 ",," 795,526.63 ",,,,,,
41,Bedford,TRUE,41,Bedford," 3,799.31 "," 16,206,494.25 ", 264.16 ," 632,102.02 ", 589.10 ," 1,287,097.11 ", 88.69 ," 73,818.04 ", 0.38 ," 1,599.62 "," 18,201,111.04 "," 7,124,501 "," 6,463,015,704.33 "," 24,466,745.88 ", -   , -   ," 11,076,610.04 ", -   ,0.00,"11,132,614.66", -   ," 11,076,610.04 ",," 18,201,111.04 ",,,,,,
43,Belmont,TRUE,43,Belmont, 857.63 ," 3,658,331.45 ", 267.27 ," 639,545.92 ", 201.40 ," 440,033.11 ", 6.00 ," 4,993.92 ", 1.05 ," 4,478.92 "," 4,747,383.32 "," 1,629,571 "," 1,481,274,504.38 "," 5,542,325.09 "," 2,926.74 "," 782,216.72 "," 3,900,029.04 ", -   ,0.00,"4,424,658.32"," 303,396.36 "," 4,203,425.40 ",," 5,832,996.40 ",,,,,,
45,Bennington,TRUE,45,Bennington, 197.20 ," 841,189.33 ", 69.64 ," 166,638.88 ", 63.18 ," 138,028.58 ", -   , -   , 0.15 , 639.85 ," 1,146,496.64 "," 254,516 "," 233,688,487.02 "," 3,355,746.58 "," 7,759.07 "," 540,328.75 "," 1,432,309.39 "," 66,287.81 ","53,030.24","1,354,566.40", -   ," 1,485,339.63 ",," 1,739,855.63 ",,,,,,
47,Benton,TRUE,47,Benton, 21.00 ," 89,578.44 ", 9.00 ," 21,536.28 ", 9.00 ," 19,663.56 ", -   , -   , -   , -   ," 130,778.28 "," 57,042 "," 52,723,650.64 "," 5,858,183.40 "," 2,228.69 "," 20,058.20 "," 93,794.48 "," 16,753.78 ","13,403.03","98,413.41", -   ," 107,197.51 ",," 164,239.51 ",,,,,,
51,Berlin,TRUE,51,Berlin, 909.61 ," 3,880,050.46 ", 525.38 ," 1,257,194.94 ", 192.82 ," 421,276.48 ", 7.00 ," 5,826.24 ", 0.68 ," 2,879.31 "," 5,567,227.43 "," 665,317 "," 905,574,722.84 "," 1,723,653.03 "," 11,366.00 "," 5,971,482.22 "," 10,873,392.65 "," 1,454,959.42 ","1,163,967.53","11,841,569.65", -   ," 12,037,360.18 ",," 12,702,677.18 ",,,,,,
