From Evals,,,From EOY Data Excl Charter And OOS,,,,13-14 Membership,Base Adequacy,F &R ,Free or Reduced Differentiated Aid, SPED,ELL,SPED Differentiated Aid,ELL Differentiated Aid,Grade 3 Reading Not Prof.,Grade 3 Reading Diff. Aid,Total Calculated Cost of an Adequate Education,SWEPT @,FY2015 Preliminary Grants =  Cost - SWEPT,FY2012 Stabilization Grant - Apply to FY2014 if necessary,FY2014 Total        Grant as of          03-18-14,FY2014 Capped @108% Informational only,FY2015 Est. Grant for Cap and FY12 Stabilization,FY2015 Adj. to 95% of 11-15-13 Estimated Grant 198:40-a VI,FY2015 Total        Final Grant as of          3-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,ADM,"$3,498.30 ",ADM,"$1,749.15 ",ADM,ADM,"$1,881.98 ",$684.45 ,ADM,$684.45 ,$,$2.480 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,#REF!,11,Alstead,TRUE,11.00,Alstead, 230.52 ," 806,428.12 ", 86.42 ," 151,161.54 ", 38.79 , -   ," 73,002.00 ", -   , 0.57 , 390.14 ," 1,030,981.80 "," 416,543 "," 614,438.80 "," 721,271.00 "," 1,367,259.12 "," 1,476,640.00 "," 1,335,709.80 ", -   ," 1,335,709.80 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,#REF!,15,Alton,TRUE,15.00,Alton, 768.34 ," 2,687,883.82 ", 201.17 ," 351,876.51 ", 103.02 , 3.00 ," 193,881.58 "," 2,053.35 ", 2.99 ," 2,046.51 "," 3,237,741.77 "," 3,555,416 ", -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,#REF!,17,Amherst,TRUE,17.00,Amherst," 1,845.17 "," 6,454,958.21 ", 95.52 ," 167,078.81 ", 258.06 , 14.50 ," 485,663.76 "," 9,924.53 ", 7.69 ," 5,263.42 "," 7,122,888.73 "," 3,825,296 "," 3,297,592.73 ", -   ," 3,558,564.91 "," 3,843,250.00 "," 3,297,592.73 ", -   ," 3,297,592.73 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,#REF!,19,Andover,TRUE,19.00,Andover, 289.09 ," 1,011,323.55 ", 58.44 ," 102,220.33 ", 49.42 , -   ," 93,007.45 ", -   , 3.00 ," 2,053.35 "," 1,208,604.68 "," 632,932 "," 575,672.68 "," 212,449.00 "," 856,641.54 "," 925,173.00 "," 788,121.68 ", -   ," 788,121.68 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,#REF!,21,Antrim,TRUE,21.00,Antrim, 343.64 ," 1,202,155.81 ", 141.32 ," 247,189.88 ", 50.74 , -   ," 95,491.67 ", -   , -   , -   ," 1,544,837.36 "," 540,416 "," 1,004,421.36 "," 1,207,389.00 "," 2,225,010.08 "," 2,403,011.00 "," 2,211,810.36 ", -   ," 2,211,810.36 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,#REF!,23,Ashland,TRUE,23.00,Ashland, 227.48 ," 795,793.28 ", 116.63 ," 204,003.36 ", 36.40 , -   ," 68,504.07 ", -   , -   , -   ," 1,068,300.71 "," 565,901 "," 502,399.71 "," 275,155.00 "," 782,108.00 "," 844,677.00 "," 777,554.71 ", -   ," 777,554.71 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,#REF!,27,Atkinson,TRUE,27.00,Atkinson, 865.04 ," 3,026,169.43 ", 60.32 ," 105,508.73 ", 121.36 , 2.00 ," 228,397.09 "," 1,368.90 ", 7.00 ," 4,791.15 "," 3,366,235.30 "," 2,079,827 "," 1,286,408.30 ", -   ," 1,131,231.00 "," 1,221,729.00 "," 1,221,729.00 ", -   ," 1,221,729.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,#REF!,29,Auburn,TRUE,29.00,Auburn, 851.41 ," 2,978,487.60 ", 77.19 ," 135,016.89 ", 129.96 , 6.08 ," 244,582.12 "," 4,161.46 ", 4.00 ," 2,737.80 "," 3,364,985.87 "," 1,616,464 "," 1,748,521.87 "," 69,205.00 "," 1,984,930.02 "," 2,143,724.00 "," 1,817,726.87 ", -   ," 1,817,726.87 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,#REF!,31,Barnstead,TRUE,31.00,Barnstead, 692.10 ," 2,421,173.43 ", 220.67 ," 385,984.93 ", 111.48 , -   ," 209,803.13 ", -   , 7.00 ," 4,791.15 "," 3,021,752.64 "," 1,067,080 "," 1,954,672.64 "," 888,419.00 "," 2,711,273.55 "," 2,928,175.00 "," 2,843,091.64 ", -   ," 2,843,091.64 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,#REF!,33,Barrington,TRUE,33.00,Barrington," 1,294.92 "," 4,530,018.64 ", 225.80 ," 394,958.07 ", 261.25 , 8.92 ," 491,667.28 "," 6,105.29 ", 7.17 ," 4,907.51 "," 5,427,656.79 "," 2,017,785 "," 3,409,871.79 "," 725,476.00 "," 4,183,255.79 "," 4,517,916.00 "," 4,135,347.79 ", -   ," 4,135,347.79 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
