,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"SFY 2023
Charter Public School Adequacy",Cost of an Opportunity for an Adequate Education ,,,,,,,,,,,Additional Grant1,Grant Calculation,"Final Grant To Charter School Directly

(Subtract Special Education Differential Aid Sent To Responsible District School)",
,,Base Adequacy,,Differentiated Aid,,,,,,,,Total Calculated Cost of an Adequate Education,,,,
,,,,Federal Free & Reduced (F&R) Price Meal Eligible ,,Receiving Special Education Services (SPED)2,,English Language Learners (ELL),,3rd Grader With A Nonproficient Reading Score (3rd Grade),,,,,,
,,ADM,"$3,786.66 ","F&R 
ADM ","$1,893.32 ","SPED 
ADM","$2,037.11 ","ELL
ADM",$740.87 ,"3rd Grade Reading
ADM",$740.87 ,,"$3,552.28 ","Cost of Adequacy
+
Additional Grant",,
,,"(ADM x $3,786.66)",,"(F&R ADM x $1,893.32)",,"(SPED ADM x $2,037.11)",,(ELL ADM x $740.87),,(3rd Grade ADM x $740.87),,,"(Pupil x $3,479.22)1",,,
,Strong Foundations Charter School,317," 1,199,084 ", 78 ," 147,595 ", 80 ," 163,764 ", 16 ," 11,854 ", 10 ," 7,409 "," 1,529,706 "," 1,124,865 "," 2,654,571 "," 2,490,806 ",
,Surry Village Charter School,94," 356,514 ", 29 ," 54,337 ", 28 ," 56,473 ", 1 , 741 , 2 ," 1,482 "," 469,546 "," 334,447 "," 803,994 "," 747,521 ",
,Virtual Learning Academy Charter School1,"1,962"," 7,430,866 ", 69 ," 131,037 ", 26 ," 53,046 ", 0 , 146 , - , - ," 7,615,095 "," 4,521,579 "," 12,136,674 "," 12,083,628 ",
,Windham Academy Public Charter School,347," 1,314,388 ", 10 ," 18,323 ", 41 ," 82,571 ", 2 ," 1,482 ", 14 ," 10,278 "," 1,427,042 "," 1,233,032 "," 2,660,073 "," 2,577,503 ",
,"1 Virtual Learning Academy Charter School receives an additional grant amount of $2,304.13 per RSA 194-B:11, I(b)(1)(B).
2 Differential aid for special education is sent to the responsible school district.
",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
