,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,FY2021 Final Grants,,,,,
,,,,,,,,,,,,,,,,,,,New FY2021  ,New FY2021  ,New FY2021  ,,,,First Estimate FY2021,,as of 4-1-2021,,,,,
,,,,,,,,,,,,,,,,,,,only,only,only,FY2021,,Stabilization,as of 11-15-19,, Grants = Max of Preliminary Grant plus Stabiliation Grant @ 100% OR 95% of 11-15-19 Grant Estimate ,,,,,
,From EOY Data Excl Charter And OOS,,,,19-20 Membership,Base Adequacy Aid,F &R ,Free or Reduced Differentiated Aid, SPED,Special Education Differentiated Aid,ELL,ELL Differentiated Aid,Grade 3 Reading Below Proficient,Grade 3 Reading Differentiated Aid,Home School Academic ,Home School Academic Aid,Total Calculated Cost of an Adequate Education,SWEPT @,% F&R Eligible        19-20 F&R / 19-20 EOY,F&R Additional Aid ,Fiscal Capacity Disparity Aid,Preliminary        Grants = Cost of Adequacy Less SWEPT + F&R Aid + Fiscal Disparity,FY2012 Stabilization Grant  ,If Preliminary Grant > 0 and  ADM > 0 then FY12 Stabilization  @ ,Adequacy Grant = Preliminary Grant + Stabilization Grant + F&R + Fiscal Disparity,Minimum First FY21 Estimate as of   11-15-19 X,,,,,,
,,,,,ADM," 3,708.78 ",ADM," 1,854.38 ",ADM," 1,995.21 ",ADM, 725.63 ,ADM, 725.63 , ADM ," 3,708.78 ",$,$1.925 ,,,,,,100%,,95%,,,,,,
,,,,State Total,"167,284.28","620,420,601.22 ","45,684.59","84,716,585.22 ","29,374.16 ","58,607,614.97 ","4,970.88","3,607,017.23 ","2,269.50"," 1,646,813.88 ",38.757," 143,741.22 "," 769,142,373.74 "," 363,068,238 ",," 11,737,311.15 "," 47,505,896.81 "," 490,999,494.13 "," 158,480,276 "," 157,262,893.00 "," 654,655,067.73 "," 621,922,314.40 "," 649,510,185.66 ",,,,,
17,Amherst,TRUE,17,Amherst," 1,828.94 "," 6,783,151.30 ", 97.10 ," 180,055.29 ", 266.32 ," 531,369.12 ", 16.28 ," 11,815.43 ", 27.41 ," 19,890.82 ", -   , -   ," 7,526,281.96 "," 3,648,060 ",5.31%, -   , -   ," 3,878,221.96 ", -   , -   ," 3,911,564.41 "," 3,715,986.19 "," 3,878,221.96 ",,,,,
19,Andover,TRUE,19,Andover, 309.46 ," 1,147,709.42 ", 101.63 ," 188,454.15 ", 54.26 ," 108,254.71 ", -   , -   , 4.00 ," 2,902.52 ", -   , -   ," 1,447,320.80 "," 563,304 ",32.84%," 24,331.78 "," 24,593.14 "," 932,941.72 "," 212,449.00 "," 212,449.00 "," 1,114,783.55 "," 1,059,044.37 "," 1,145,390.72 ",,,,,
21,Antrim,TRUE,21,Antrim, 305.58 ," 1,133,317.50 ", 102.98 ," 190,964.61 ", 65.37 ," 130,418.30 ", 3.00 ," 2,176.89 ", 3.00 ," 2,176.89 ", -   , -   ," 1,459,054.19 "," 492,372 ",33.70%," 25,301.54 "," 117,807.50 "," 1,109,791.23 "," 1,207,389.00 "," 1,207,389.00 "," 2,433,643.45 "," 2,311,961.28 "," 2,317,180.23 ",,,,,
23,Ashland,TRUE,23,Ashland, 217.22 ," 805,632.32 ", 85.45 ," 158,459.00 ", 35.28 ," 70,385.42 ", 1.00 , 725.63 , -   , -   , 0.525 ," 1,947.11 "," 1,037,149.48 "," 477,838 ",39.34%," 24,508.14 ", -   ," 583,819.62 "," 275,155.00 "," 275,155.00 "," 931,114.25 "," 884,558.54 "," 884,558.54 ",,,,,
27,Atkinson,TRUE,27,Atkinson, 736.17 ," 2,730,295.54 ", 36.98 ," 68,573.86 ", 125.93 ," 251,255.60 ", 4.00 ," 2,902.52 ", 12.84 ," 9,313.68 ", -   , -   ," 3,062,341.20 "," 2,111,762 ",5.02%, -   , -   ," 950,579.20 ", -   , -   ," 928,708.49 "," 882,273.07 "," 950,579.20 ",,,,,
29,Auburn,TRUE,29,Auburn, 918.86 ," 3,407,862.20 ", 49.21 ," 91,246.25 ", 139.88 ," 279,080.80 ", 5.00 ," 3,628.15 ", 20.90 ," 15,163.78 ", -   , -   ," 3,796,981.18 "," 1,645,684 ",5.36%, -   ," 152,011.62 "," 2,303,308.80 "," 69,205.00 "," 69,205.00 "," 2,341,386.44 "," 2,224,317.12 "," 2,372,513.80 ",,,,,
31,Barnstead,TRUE,31,Barnstead, 686.58 ," 2,546,373.43 ", 189.24 ," 350,922.69 ", 143.01 ," 285,327.60 ", -   , -   , 19.00 ," 13,786.97 ", -   , -   ," 3,196,410.69 "," 1,108,561 ",27.56%," 38,024.43 "," 273,665.83 "," 2,399,539.95 "," 888,419.00 "," 888,419.00 "," 3,309,513.02 "," 3,144,037.37 "," 3,287,958.95 ",,,,,
33,Barrington,TRUE,33,Barrington," 1,353.41 "," 5,019,493.63 ", 172.93 ," 320,672.18 ", 247.60 ," 494,009.21 ", 3.00 ," 2,176.89 ", 20.00 ," 14,512.60 ", -   , -   ," 5,850,864.51 "," 2,151,706 ",12.78%," 16,114.40 "," 601,916.57 "," 4,317,189.48 "," 725,476.00 "," 725,476.00 "," 5,099,582.33 "," 4,844,603.21 "," 5,042,665.48 ",,,,,
35,Bartlett,TRUE,35,Bartlett, 253.10 ," 938,675.90 ", 76.94 ," 142,682.49 ", 46.32 ," 92,424.11 ", -   , -   , 5.00 ," 3,628.15 ", 1.315 ," 4,877.05 "," 1,182,287.70 "," 2,282,442 ",30.40%," 17,053.45 ", -   , -   ," 18,308.00 ", -   , -   , -   , -   ,,,,,
39,Bath,TRUE,39,Bath, 134.51 ," 498,883.20 ", 35.01 ," 64,912.94 ", 18.43 ," 36,765.54 ", -   , -   , 1.00 , 725.63 , -   , -   ," 601,287.31 "," 206,982 ",26.02%," 6,640.69 "," 58,491.80 "," 459,437.80 "," 259,033.00 "," 259,033.00 "," 739,285.26 "," 702,321.00 "," 718,470.80 ",,,,,
41,Bedford,TRUE,41,Bedford," 4,285.96 "," 15,895,677.91 ", 219.31 ," 406,691.31 ", 558.05 ," 1,113,427.14 ", 66.84 ," 48,504.37 ", 48.99 ," 35,551.81 ", -   , -   ," 17,499,852.54 "," 8,064,566 ",5.12%, -   ," 141,272.06 "," 9,576,558.60 ", -   , -   ," 9,786,424.36 "," 9,297,103.14 "," 9,576,558.60 ",,,,,
43,Belmont,TRUE,43,Belmont," 1,010.77 "," 3,748,727.27 ", 359.47 ," 666,590.08 ", 204.48 ," 407,970.96 ", 7.00 ," 5,079.41 ", 13.00 ," 9,433.19 ", -   , -   ," 4,837,800.91 "," 1,453,229 ",35.56%," 93,192.92 "," 663,188.69 "," 4,140,953.52 "," 1,233,780.00 "," 1,233,780.00 "," 5,191,403.56 "," 4,931,833.38 "," 5,374,733.52 ",,,,,
45,Bennington,TRUE,45,Bennington, 196.93 ," 730,368.56 ", 59.51 ," 110,361.39 ", 45.87 ," 91,511.70 ", -   , -   , 3.16 ," 2,290.52 ", -   , -   ," 934,532.17 "," 232,196 ",30.22%," 13,112.33 "," 201,207.54 "," 916,656.04 "," 489,829.00 "," 489,829.00 "," 1,419,566.45 "," 1,348,588.13 "," 1,406,485.04 ",,,,,
47,Benton,TRUE,47,Benton, 27.84 ," 103,265.79 ", 8.55 ," 15,846.98 ", 10.01 ," 19,963.27 ", -   , -   , -   , -   , -   , -   ," 139,076.04 "," 50,784 ",30.69%," 1,912.10 ", 994.38 ," 91,198.52 "," 59,781.00 "," 59,781.00 "," 156,841.08 "," 148,999.03 "," 150,979.52 ",,,,,
51,Berlin,TRUE,51,Berlin," 1,013.46 "," 3,758,682.75 ", 600.86 ," 1,114,220.54 ", 237.04 ," 472,944.78 ", 2.00 ," 1,451.26 ", 13.52 ," 9,808.34 ", -   , -   ," 5,357,107.67 "," 633,911 ",59.29%," 210,300.58 "," 1,642,005.55 "," 6,575,502.80 "," 5,495,595.00 "," 5,495,595.00 "," 12,294,466.20 "," 11,679,742.89 "," 12,071,097.80 ",,,,,
53,Bethlehem,TRUE,53,Bethlehem, 262.73 ," 974,409.62 ", 101.97 ," 189,096.32 ", 36.45 ," 72,725.80 ", 1.00 , 725.63 , 3.00 ," 2,176.89 ", 0.150 , 556.32 ," 1,239,690.58 "," 512,423 ",38.81%," 28,852.68 ", -   ," 756,120.26 "," 449,239.00 "," 449,239.00 "," 1,162,514.96 "," 1,104,389.21 "," 1,205,359.26 ",,,,,
55,Boscawen,TRUE,55,Boscawen, 474.53 ," 1,759,932.57 ", 162.57 ," 301,474.90 ", 105.10 ," 209,686.99 ", 6.00 ," 4,353.78 ", 5.00 ," 3,628.15 ", -   , -   ," 2,279,076.39 "," 532,515 ",34.26%," 40,607.11 "," 516,857.80 "," 2,304,026.30 "," 1,119,944.00 "," 1,119,944.00 "," 3,399,458.20 "," 3,229,485.29 "," 3,423,970.30 ",,,,,
57,Bow,TRUE,57,Bow," 1,440.04 "," 5,340,799.71 ", 82.13 ," 152,290.96 ", 200.81 ," 400,660.51 ", 8.00 ," 5,805.04 ", 18.00 ," 13,061.34 ", 0.450 ," 1,668.95 "," 5,914,286.51 "," 2,214,241 ",5.70%, -   ," 577,128.30 "," 4,277,173.81 "," 349,208.00 "," 349,208.00 "," 4,625,275.83 "," 4,394,012.04 "," 4,626,381.81 ",,,,,
59,Bradford,TRUE,59,Bradford, 187.46 ," 695,255.69 ", 54.93 ," 101,866.10 ", 32.49 ," 64,825.97 ", -   , -   , 1.00 , 725.63 , -   , -   ," 862,673.39 "," 408,370 ",29.30%," 11,734.56 ", -   ," 466,037.95 "," 199,555.00 "," 199,555.00 "," 654,786.97 "," 622,047.62 "," 665,592.95 ",,,,,
63,Brentwood,TRUE,63,Brentwood, 748.86 ," 2,777,339.19 ", 31.68 ," 58,742.68 ", 113.59 ," 226,633.91 ", 3.00 ," 2,176.89 ", 7.00 ," 5,079.41 ", -   , -   ," 3,069,972.08 "," 1,238,330 ",4.23%, -   ," 255,464.16 "," 2,087,106.24 ", -   , -   ," 2,229,824.91 "," 2,118,333.66 "," 2,118,333.66 ",,,,,
65,Bridgewater,TRUE,65,Bridgewater, 86.19 ," 319,647.14 ", 24.93 ," 46,231.36 ", 9.72 ," 19,400.82 ", -   , -   , 1.00 , 725.63 , -   , -   ," 386,004.95 "," 813,780 ",28.93%," 5,258.42 ", -   , -   , -   , -   , -   , -   , -   ,,,,,
67,Bristol,TRUE,67,Bristol, 349.39 ," 1,295,828.45 ", 152.28 ," 282,387.21 ", 44.64 ," 89,075.75 ", -   , -   , 1.00 , 725.63 , -   , -   ," 1,668,017.04 "," 1,001,030 ",43.58%," 48,382.51 ", -   ," 715,369.55 "," 267,027.00 "," 267,027.00 "," 965,486.16 "," 917,211.85 "," 982,396.55 ",,,,,
69,Brookfield,TRUE,69,Brookfield, 81.13 ," 300,903.71 ", 24.13 ," 44,751.38 ", 4.73 ," 9,446.12 ", -   , -   , 1.00 , 725.63 , 0.600 ," 2,225.27 "," 358,052.11 "," 241,563 ",29.74%," 5,232.58 ", -   ," 121,721.69 "," 56,013.00 "," 56,013.00 "," 179,415.74 "," 170,444.95 "," 177,734.69 ",,,,,
