,,,,"October 6, 2003",
,,,,"Replaces  July 7, 2003",
New Hampshire Department of Education,,,,,
FY04 ADEQUACY AID AND TARGETED AID,,,,,
,,,,,
,FY04,FY04,FY04,Statewide,FY04
FY04 Adequacy,Cost of an, Targeted ,Cost of an,Education,Adequate 
Base Cost,Adequate,Aid,Adequate,Property Tax,Education 
"$3,390 ",Education ,, Education  ,at $4.92,Grant &
 , ,,& Targeted Aid," Per $1,000  ", Targeted Aid 
Epsom,"2,721,969 ","27,045 ","2,749,014 ","1,175,049 ","1,573,965 "
Errol,"178,525 ",0 ,"178,525 ","194,416 ",0 
Exeter,"9,644,263 ","236,411 ","9,880,674 ","5,227,351 ","4,653,323 "
Farmington,"5,926,533 ","192,457 ","6,118,990 ","1,253,295 ","4,865,695 "
,,,,,
Fitzwilliam,"1,487,417 ",0 ,"1,487,417 ","669,401 ","818,016 "
Francestown,"1,140,082 ",0 ,"1,140,082 ","564,711 ","575,371 "
Franconia,"666,805 ",0 ,"666,805 ","701,342 ",0 
Franklin,"6,677,726 ","207,546 ","6,885,272 ","1,545,851 ","5,339,421 "
Freedom,"603,354 ",0 ,"603,354 ","1,237,086 ",0 
,,,,,
Fremont,"2,681,692 ","39,603 ","2,721,295 ","1,177,487 ","1,543,808 "
Gilford,"4,903,082 ",0 ,"4,903,082 ","4,549,602 ","353,480 "
Gilmanton,"2,281,260 ",0 ,"2,281,260 ","1,088,062 ","1,193,198 "
Gilsum,"470,095 ","8,603 ","478,698 ","155,890 ","322,808 "
Goffstown,"9,815,734 ","8,772 ","9,824,506 ","4,632,283 ","5,192,223 "
,,,,,
Gorham,"2,048,527 ","41,460 ","2,089,987 ","678,829 ","1,411,158 "
Goshen,"593,203 ","12,831 ","606,034 ","185,417 ","420,617 "
Grafton,"830,937 ","19,237 ","850,174 ","264,250 ","585,924 "
Grantham,"1,182,399 ",0 ,"1,182,399 ","1,442,942 ",0 
Greenfield,"1,138,973 ","18,796 ","1,157,769 ","467,267 ","690,502 "
,,,,,
Greenland,"1,998,680 ",0 ,"1,998,680 ","1,948,946 ","49,734 "
Greenville,"1,712,831 ","84,816 ","1,797,647 ","346,014 ","1,451,633 "
Groton,"416,728 ",0 ,"416,728 ","143,454 ","273,274 "
Hales Location,0 ,0 ,0 ,"178,219 ",0 
Hampstead,"6,931,569 ","82,301 ","7,013,870 ","3,627,626 ","3,386,244 "
,,,,,
Hampton,"8,553,975 ",0 ,"8,553,975 ","9,782,164 ",0 
Hampton Falls,"1,381,423 ",0 ,"1,381,423 ","1,329,202 ","52,221 "
Hancock,"1,195,141 ",0 ,"1,195,141 ","784,146 ","410,995 "
Hanover,"4,587,506 ",0 ,"4,587,506 ","5,690,608 ",0 
Harrisville,"554,701 ",0 ,"554,701 ","492,079 ","62,622 "
,,,,,
Hart's Location,"28,353 ",0 ,"28,353 ","50,422 ",0 
Haverhill,"3,589,457 ","87,238 ","3,676,695 ","888,281 ","2,788,414 "
Hebron,"228,357 ",0 ,"228,357 ","698,679 ",0 
Henniker,"3,525,375 ","88,040 ","3,613,415 ","1,208,816 ","2,404,599 "
Hill,"731,603 ","1,548 ","733,151 ","252,870 ","480,281 "
,,,,,
Hillsboro,"4,534,325 ","63,567 ","4,597,892 ","1,333,308 ","3,264,584 "
Hinsdale,"3,558,041 ","150,939 ","3,708,980 ","721,615 ","2,987,365 "
Holderness,"1,431,808 ",0 ,"1,431,808 ","1,651,883 ",0 
Hollis,"5,965,528 ",0 ,"5,965,528 ","4,358,243 ","1,607,285 "
Hooksett,"7,497,898 ",0 ,"7,497,898 ","4,682,231 ","2,815,667 "
,,,,,
Hopkinton,"4,030,166 ",0 ,"4,030,166 ","2,124,235 ","1,905,931 "
Hudson,"16,128,588 ",0 ,"16,128,588 ","9,209,140 ","6,919,448 "
Jackson,"425,660 ",0 ,"425,660 ","1,072,916 ",0 
Jaffrey,"3,825,450 ","45,214 ","3,870,664 ","1,518,161 ","2,352,503 "
Jefferson,"788,564 ",0 ,"788,564 ","322,227 ","466,337 "
,,,,,
Keene,"14,102,797 ","323,881 ","14,426,678 ","5,586,048 ","8,840,630 "
Kensington,"1,461,165 ",0 ,"1,461,165 ","981,553 ","479,612 "
Kingston,"4,261,062 ",0 ,"4,261,062 ","2,285,326 ","1,975,736 "
Laconia,"11,911,165 ",0 ,"11,911,165 ","5,432,189 ","6,478,976 "
Lancaster,"2,951,531 ","61,510 ","3,013,041 ","675,219 ","2,337,822 "
,,,,,
Landaff,"215,240 ",0 ,"215,240 ","104,330 ","110,910 "
Langdon,"411,336 ","5,663 ","416,999 ","161,062 ","255,937 "
Lebanon,"7,510,023 ",0 ,"7,510,023 ","5,108,545 ","2,401,478 "
Lee,"3,983,325 ","131,743 ","4,115,068 ","1,485,705 ","2,629,363 "
Lempster,"725,978 ","14,046 ","740,024 ","219,881 ","520,143 "
,,,,,
Lincoln,"775,432 ",0 ,"775,432 ","1,881,806 ",0 
Lisbon,"1,507,216 ","40,385 ","1,547,601 ","317,705 ","1,229,896 "
Litchfield,"6,361,375 ","88,949 ","6,450,324 ","2,364,540 ","4,085,784 "
Littleton,"4,787,583 ","46,465 ","4,834,048 ","1,526,225 ","3,307,823 "
Londonderry,"22,708,514 ","264,858 ","22,973,372 ","9,273,150 ","13,700,222 "
,,,,,
Loudon,"3,408,452 ","6,897 ","3,415,349 ","1,478,314 ","1,937,035 "
Lyman,"304,197 ",0 ,"304,197 ","128,800 ","175,397 "
Lyme,"1,159,743 ",0 ,"1,159,743 ","884,787 ","274,956 "
Lyndeborough,"1,177,675 ",0 ,"1,177,675 ","640,258 ","537,417 "
Madbury,"1,500,631 ","49,917 ","1,550,548 ","535,578 ","1,014,970 "
,,,,,
Madison,"1,604,856 ",0 ,"1,604,856 ","1,088,997 ","515,859 "
Manchester,"71,997,579 ","1,409,708 ","73,407,287 ","27,840,016 ","45,567,271 "
Marlborough,"1,505,565 ","28,180 ","1,533,745 ","482,679 ","1,051,066 "
Marlow,"544,622 ","6,387 ","551,009 ","181,473 ","369,536 "
Martin's Location,0 ,0 ,0 ,0 ,0 
,,,,,
Mason,"724,438 ",0 ,"724,438 ","488,774 ","235,664 "
Meredith,"4,139,616 ",0 ,"4,139,616 ","4,376,571 ",0 
Merrimack,"20,016,470 ",0 ,"20,016,470 ","10,536,989 ","9,479,481 "
Middleton,"1,258,119 ","27,758 ","1,285,877 ","418,240 ","867,637 "
Milan,"1,187,964 ","29,539 ","1,217,503 ","278,576 ","938,927 "
,,,,,
Milford,"10,002,091 ","146,619 ","10,148,710 ","4,605,513 ","5,543,197 "
Millsfield,"2,457 ",0 ,"2,457 ","23,773 ",0 
Milton,"3,419,454 ","71,782 ","3,491,236 ","985,196 ","2,506,040 "
Monroe,"604,790 ",0 ,"604,790 ","195,235 ","409,555 "
Mont Vernon,"1,818,313 ","32,136 ","1,850,449 ","757,657 ","1,092,792 "
,,,,,
Moultonborough,"2,952,505 ",0 ,"2,952,505 ","8,168,443 ",0 
Nashua,"57,985,271 ",0 ,"57,985,271 ","31,620,866 ","26,364,405 "
Nelson,"473,672 ",0 ,"473,672 ","270,257 ","203,415 "
New Boston,"3,188,710 ",0 ,"3,188,710 ","1,553,238 ","1,635,472 "
