,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,FY2018 Grants,,,
,,,,,,,,,,,,New for March,New for March,,,,,,,,as of 3-20-18,,,
,,,,,,,,,,,,Calculation,Calculation,,,FY2018,,Stabilization,,, Adequacy Grants = Max of Preliminary Grant plus Stabiliation Grant @ 92% or 95% Preliminary Estimate of 11-15-16 ,,,
,,16-17 Membership,Base Adequacy Aid,F &R ,Free or Reduced Differentiated Aid, SPED,ELL,Special Education Differentiated Aid,ELL Differentiated Aid,Grade 3 Reading Below Proficient,Grade 3 Reading Differentiated Aid,Home School Academic ,Home School Academic Aid,Total Calculated Cost of an Adequate Education,SWEPT @,Preliminary        Grants = Cost of Adequacy            Less SWEPT,FY2012 Stabilization Grant  ,If Preliminary Grant > 0 and  ADM > 0 then FY12 Stabilization  @ ,"FY2018 First Estimate on 
11-15-16",Minimum First FY18 Estimate as of   11-15-16 X,,,,
,,ADM,"$3,636.06 ",ADM,"$1,818.02 ",ADM,ADM,"$1,956.09 ",$711.40 ,ADM,$711.40 ,ADM,"$3,636.06 ",$,$2.260 ,,,92%,,95%,,,,
39,Bath,128.26,"466,361.06 ",43.84,"79,702.00",15.33, -   ," 29,986.86 ",0.00, 1.00 , 711.40 , -   , -   ," 576,761.32 "," 276,639 "," 300,122.32 "," 259,033.00 "," 238,310.36 "," 559,790.54 "," 531,801.01 "," 538,432.68 ",,,
41,Bedford,4360.63,"15,855,512.32 ",242.85,"441,506.16",545.95, 27.44 ," 1,067,927.34 ","19,520.82", 51.00 ," 36,281.40 ", -   , -   ," 17,420,748.04 "," 8,565,053 "," 8,855,695.04 ", -   , -   ," 8,895,287.33 "," 8,450,522.96 "," 8,855,695.04 ",,,
43,Belmont,992.56,"3,609,007.71 ",381.47,"693,520.09",174.15, 6.50 ," 340,653.07 ","4,624.10", 17.00 ," 12,093.80 ", -   , -   ," 4,659,898.77 "," 1,496,265 "," 3,163,633.77 "," 1,233,780.00 "," 1,135,077.60 "," 4,315,099.42 "," 4,099,344.45 "," 4,298,711.37 ",,,
45,Bennington,189.77,"690,015.11 ",71.78,"130,497.48",37.32, -   ," 73,001.28 ",0.00, 7.00 ," 4,979.80 ", -   , -   ," 898,493.67 "," 237,106 "," 661,387.67 "," 489,829.00 "," 450,642.68 "," 1,107,999.98 "," 1,052,599.98 "," 1,112,030.35 ",,,
47,Benton,30.33,"110,281.70 ",6.00,"10,908.12",6.53, -   ," 12,773.27 ",0.00, 2.00 ," 1,422.80 ", -   , -   ," 135,385.89 "," 57,098 "," 78,287.89 "," 59,781.00 "," 54,998.52 "," 143,737.38 "," 136,550.51 "," 136,550.51 ",,,
51,Berlin,1058.61,"3,849,169.48 ",594.08,"1,080,049.32",234.22, 4.00 ," 458,155.40 ","2,845.60", 20.59 ," 14,647.73 ", -   , -   ," 5,404,867.53 "," 632,121 "," 4,772,746.53 "," 5,495,595.00 "," 5,055,947.40 "," 9,811,285.55 "," 9,320,721.27 "," 9,828,693.93 ",,,
53,Bethlehem,267.94,"974,245.92 ",96.02,"174,566.28",35.38, -   ," 69,206.46 ",0.00, 2.00 ," 1,422.80 ", -   , -   ," 1,219,441.46 "," 504,406 "," 715,035.46 "," 449,239.00 "," 413,299.88 "," 1,220,522.27 "," 1,159,496.16 "," 1,159,496.16 ",,,
55,Boscawen,458.21,"1,666,079.05 ",160.29,"291,410.43",93.22, 1.41 ," 182,346.71 ","1,003.07", 1.84 ," 1,308.98 ", -   , -   ," 2,142,148.24 "," 521,439 "," 1,620,709.24 "," 1,119,944.00 "," 1,030,348.48 "," 2,656,249.05 "," 2,523,436.60 "," 2,651,057.72 ",,,
57,Bow,1372.02,"4,988,747.04 ",78.01,"141,823.74",166.78, 8.00 ," 326,236.69 ","5,691.20", 13.69 ," 9,739.07 ", -   , -   ," 5,472,237.74 "," 2,176,723 "," 3,295,514.74 "," 349,208.00 "," 321,271.36 "," 3,583,179.42 "," 3,404,020.45 "," 3,616,786.10 ",,,
59,Bradford,185.83,"675,689.03 ",44.32,"80,574.65",27.42, -   ," 53,635.99 ",0.00, 3.00 ," 2,134.20 ", 0.15 , 545.41 ," 812,579.28 "," 436,184 "," 376,395.28 "," 199,555.00 "," 183,590.60 "," 559,167.59 "," 531,209.21 "," 559,985.88 ",,,
63,Brentwood,783.80,"2,849,943.83 ",50.02,"90,937.36",107.71, 3.19 ," 210,690.45 ","2,269.37", 9.00 ," 6,402.60 ", -   , -   ," 3,160,243.61 "," 1,258,599 "," 1,901,644.61 ", -   , -   ," 1,844,362.34 "," 1,752,144.22 "," 1,901,644.61 ",,,
65,Bridgewater,89.82,"326,590.91 ",27.47,"49,941.01",11.10, -   ," 21,712.60 ",0.00, -   , -   , -   , -   ," 398,244.52 "," 830,507 ", -   , -   , -   , -   , -   , -   ,,,
67,Bristol,359.73,"1,307,999.86 ",142.81,"259,631.44",46.29, -   ," 90,547.41 ",0.00, 3.00 ," 2,134.20 ", -   , -   ," 1,660,312.91 "," 1,050,052 "," 610,260.91 "," 267,027.00 "," 245,664.84 "," 861,063.61 "," 818,010.43 "," 855,925.75 ",,,
69,Brookfield,77.88,"283,176.35 ",23.37,"42,487.13",5.50, -   ," 10,758.50 ",0.00, -   , -   , -   , -   ," 336,421.98 "," 212,417 "," 124,004.98 "," 56,013.00 "," 51,531.96 "," 177,525.65 "," 168,649.37 "," 175,536.94 ",,,
71,Brookline,1111.88,"4,042,862.39 ",67.77,"123,207.22",167.06, 4.00 ," 326,784.40 ","2,845.60", 10.75 ," 7,647.55 ", -   , -   ," 4,503,347.16 "," 1,233,324 "," 3,270,023.16 "," 758,524.00 "," 697,842.08 "," 3,888,984.33 "," 3,694,535.11 "," 3,967,865.24 ",,,
73,Cambridge,0.00,0.00 ,0.00,0.00,0.00, -   , -   ,0.00, -   , -   , -   , -   , -   ," 21,459 ", -   , 203.00 , -   , -   , -   , -   ,,,
75,Campton,406.57,"1,478,312.91 ",133.08,"241,942.10",70.97, 1.57 ," 138,823.71 ","1,116.90", 7.00 ," 4,979.80 ", 0.68 ," 2,454.34 "," 1,867,629.76 "," 853,502 "," 1,014,127.76 "," 669,210.00 "," 615,673.20 "," 1,678,902.55 "," 1,594,957.42 "," 1,629,800.96 ",,,
77,Canaan,449.04,"1,632,736.38 ",158.35,"287,883.47",98.31, 2.50 ," 192,303.21 ","1,778.50", 5.00 ," 3,557.00 ", -   , -   ," 2,118,258.56 "," 765,712 "," 1,352,546.56 "," 956,783.00 "," 880,240.36 "," 2,161,858.27 "," 2,053,765.36 "," 2,232,786.92 ",,,
79,Candia,453.26,"1,648,080.56 ",84.02,"152,750.04",57.16, 3.28 ," 111,810.10 ","2,333.39", 2.00 ," 1,422.80 ", -   , -   ," 1,916,396.89 "," 943,265 "," 973,131.89 ", -   , -   ," 982,196.28 "," 933,086.47 "," 973,131.89 ",,,
81,Canterbury,242.88,"883,126.25 ",37.01,"67,284.92",33.86, 1.00 ," 66,233.21 ",711.40, -   , -   , -   , -   ," 1,017,355.78 "," 573,577 "," 443,778.78 ", -   , -   ," 541,297.60 "," 514,232.72 "," 514,232.72 ",,,
