,,,A, B ,C,D,E,F,G, H , I ,J,K,L,M,M,N,O,P,Q,O,P,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD
,,,"District
Public School
Adequacy

SFY 2022",,Cost of an Opportunity for an Adequate Education,,,,,,,,,,,,,,,,,,,,,Statewide Education Property Tax (SWEPT),Additional Aid,,,"Preliminary Grant 

 Cost of Adequacy            Less SWEPT Plus Relief Aid",Stabilization Aid,,Hold Harmless Level,Preliminary & Final Grant,
,,,,,Base Adequacy,,,,Federal Free & Reduced (F&R) Price Meal Eligible ,,,,Receiving Special Education Services (SPED),,,,English Language Learners (ELL),,,,3rd Grader With A Nonproficient Reading Score,,,,Total Calculated Cost of an Adequate Education,,Relief Aid Grant,,,,"FY 2012 Stabilization Grant 

(100% of Grant) ","Grant Eligibility:

(1) Stabilization Received FY 12
(2) ADM > Zero
(3) Cost of Adequacy > SWEPT",Districts Guaranteed 95% Of November 2020 Grant Estimate of FY 2022, Adequacy Grant = Max of Preliminary Grant Plus Stabiliation Grant Or 95% of November 2020 Grant Estimate ,"   
   Final Grant:


(1) Preliminary Grant

(2) Plus SWEPT"
,From EOY Data Excl Charter And OOS,,,, 2019-2020 Membership , 2020-2021 Membership ,"  Base Adequacy Membership
39,Bath,TRUE,39,Bath,134.51,133.35,134.51,"509,359.16",35.01,32.99,35.01,"66,276.05",18.43,18,18.43,"37,537.62", -   , -   , -   , -   , -   , -   , -   , -   ,"613,172.83","220,546",26.02%,"11,385.44","10,137.56","402,764.39","259,033.00","259,033.00","603,604.63","661,797.39","882,343.39"
41,Bedford,TRUE,41,Bedford,"4,285.96","4,136.95","4,285.96","16,229,468.37",219.31,230.82,230.82,"437,010.44",558.05,574.59,574.59,"1,170,494.28",66.84,46.1,66.84,"49,523.08",51.05,42.16,51.05,"37,822.52","17,924,318.69","7,789,229",5.39%, -   , -   ,"10,135,089.69", -   , -   ,"8,793,503.27","10,135,089.69","17,924,318.69"
43,Belmont,TRUE,43,Belmont,"1,010.77",967.56,"1,010.77","3,827,446.11",359.47,271.49,359.47,"680,587.76",204.48,208.91,208.91,"425,562.67",7,5,7,"5,186.09",13,15.23,15.23,"11,281.45","4,950,064.08","1,492,832",35.56%,"159,783.48","142,270.68","3,599,502.76","1,233,780.00","1,233,780.00","4,060,922.75","4,833,282.76","6,326,114.76"
45,Bennington,TRUE,45,Bennington,196.93,194.79,196.93,"745,705.44",59.51,59.31,59.51,"112,678.86",45.87,55.08,55.08,"112,198.93", -   , -   , -   , -   ,4,6,6,"4,445.22","975,028.45","233,482",30.22%,"22,481.38","20,017.35","761,563.80","489,829.00","489,829.00","1,121,913.54","1,251,392.80","1,484,874.80"
47,Benton,TRUE,47,Benton,27.84,26.46,27.84,"105,434.25",8.55,9,9,"17,039.88",10.01,9,10.01,"20,382.51", -   , -   , -   , -   , -   , -   , -   , -   ,"142,856.64","48,787",32.32%,"3,636.00","3,237.48","97,307.12","59,781.00","59,781.00","130,280.96","157,088.12","205,875.12"
51,Berlin,TRUE,51,Berlin,"1,013.46","1,014.50","1,014.50","3,841,548.77",600.86,517.2,600.86,"1,137,617.98",237.04,236.15,237.04,"482,876.76",2,2,2,"1,481.74",15,12,15,"11,113.05","5,474,638.30","645,350",59.23%,"360,515.28","321,001.60","5,150,289.90","5,495,595.00","5,495,595.00","9,530,909.74","10,645,884.90","11,291,234.90"
53,Bethlehem,TRUE,53,Bethlehem,262.73,262.03,262.73,"994,871.08",101.97,85.96,101.97,"193,067.14",36.45,41.5,41.5,"84,530.69",1,1,1,740.87,2,6,6,"4,445.22","1,277,655.00","529,994",38.81%,"49,469.55","44,047.52","791,708.52","449,239.00","449,239.00","1,101,414.71","1,240,947.52","1,770,941.52"
55,Boscawen,TRUE,55,Boscawen,474.53,439.96,474.53,"1,796,889.07",162.57,122.67,162.57,"307,805.55",105.1,99.12,105.1,"214,090.48",6,5,6,"4,445.22",4,4,4,"2,963.48","2,326,193.80","538,119",34.26%,"69,622.53","61,991.67","1,850,066.47","1,119,944.00","1,119,944.00","2,530,310.38","2,970,010.47","3,508,129.47"
57,Bow,TRUE,57,Bow,"1,440.04","1,441.68","1,441.68","5,459,162.21",82.13,77.13,82.13,"155,488.91",200.81,216.24,216.24,"440,513.02",8,8,8,"5,926.96",18.58,31.97,31.97,"23,683.17","6,084,774.27","2,197,686",5.70%, -   , -   ,"3,887,088.27","349,208.00","349,208.00","3,946,688.39","4,236,296.27","6,433,982.27"
59,Bradford,TRUE,59,Bradford,187.46,186.9,187.46,"709,855.24",54.93,45.42,54.93,"104,005.18",32.49,34.64,34.64,"70,561.82", -   , -   , -   , -   ,2,3,3,"2,222.61","886,644.85","449,222",29.30%,"20,119.10","17,913.98","455,336.83","199,555.00","199,555.00","545,215.68","654,891.83","1,104,113.83"
