,,,,,,State-Wide,,Prelim Grant,Hold Harm-,FY11
,FY09,FY09,FY09,FY10/11,FY10/11,Education,Calculated,= Calculated,less Grant if,Transition
,Grant,SWEPT,Cost of,Calculated,Fiscal,Property,Grant =,Grant,Prelim Grant,Grant = Prelim
,,,Adequacy,Cost of,Disparity,Tax @,Cost plus,Capped @,plus SWEPT,Grant plus
See footnote on last page.,,,(Grant +,Adequacy,Aid,2.19,Fiscal Disparity,FY09 Grant X,Less than,Hold Harmless
,,,SWEPT),,,(1), Less SWEPT,115%,FY09 Cost,Grant
Danville,"3,594,353","959,763","4,554,116","3,386,298",0,"862,274","2,524,024","2,524,024","1,167,818","3,691,842 "
Deerfield,"2,003,525","1,153,348","3,156,873","3,050,412",0,"1,222,426","1,827,986","1,827,986","106,461","1,934,447 "
Deering,"871,854","457,102","1,328,956","1,425,534",0,"476,300","949,234","949,234",0,"949,234 "
Derry,"26,620,181","6,688,194","33,308,375","25,974,601",0,"6,113,548","19,861,053","19,861,053","7,333,774","27,194,827 "
Dix Grant,0,"2,125","2,125",0,0,"2,319",0,0,0,0 
Dixville,0,"55,269","55,269","20,408",0,"46,563",0,0,"8,706","8,706 "
Dorchester,"346,589","79,108","425,697","263,363","71,263","90,819","243,807","243,807","91,071","334,878 "
Dover,"5,262,210","6,292,003","11,554,213","15,832,229",0,"6,558,455","9,273,774","6,051,542",0,"6,051,542 "
Dublin,0,"582,850","582,850","831,221",0,"566,943","264,278",0,"15,907","15,907 "
Dummer,"135,109","74,169","209,278","320,126",0,"63,262","256,864","155,375",0,"155,375 "
Dunbarton,"469,905","710,494","1,180,399","1,461,979",0,"695,229","766,750","540,391",0,"540,391 "
Durham,"1,214,625","1,979,934","3,194,559","3,548,381",0,"1,927,119","1,621,262","1,396,819",0,"1,396,819 "
East Kingston,"526,230","695,886","1,222,116","1,459,192",0,"642,696","816,496","605,165",0,"605,165 "
Easton,0,"148,183","148,183","100,833",0,"156,384",0,0,0,0 
Eaton,0,"221,855","221,855","202,094",0,"235,987",0,0,0,0 
Effingham,"917,099","436,586","1,353,685","1,271,066",0,"403,964","867,102","867,102","82,619","949,721 "
Ellsworth,"13,218","30,881","44,099","45,231",0,"31,683","13,548","13,548",0,"13,548 "
Enfield,"920,688","1,162,696","2,083,384","2,675,527",0,"1,274,859","1,400,668","1,058,791",0,"1,058,791 "
Epping,"3,101,368","1,467,748","4,569,116","4,374,775",0,"1,430,311","2,944,464","2,944,464","194,341","3,138,805 "
Epsom,"2,223,963","945,032","3,168,995","3,075,972","852,513","943,652","2,984,833","2,557,557",0,"2,557,557 "
Errol,"23,522","164,530","188,052","83,458",0,"173,626",0,0,"14,426","14,426 "
Exeter,"3,587,156","3,799,252","7,386,408","8,613,290",0,"3,799,792","4,813,498","4,125,229",0,"4,125,229 "
Farmington,"5,946,309","1,102,777","7,049,086","6,681,561","2,232,280","1,105,429","7,808,412","6,838,255",0,"6,838,255 "
Fitzwilliam,"986,141","601,767","1,587,908","1,504,881",0,"588,189","916,692","916,692","83,027","999,719 "
Francestown,"483,981","502,893","986,874","1,201,364",0,"457,545","743,819","556,578",0,"556,578 "
Franconia,0,"618,556","618,556","603,980",0,"656,772",0,0,0,0 
Franklin,"7,397,102","1,438,412","8,835,514","8,486,991","2,586,440","1,337,334","9,736,097","8,506,667",0,"8,506,667 "
Freedom,0,"1,162,183","1,162,183","600,430",0,"1,203,310",0,0,0,0 
Fremont,"1,648,609","934,948","2,583,557","2,671,855",0,"887,877","1,783,978","1,783,978",0,"1,783,978 "
Gilford,"542,711","3,715,981","4,258,692","5,257,702",0,"3,978,158","1,279,544","624,118",0,"624,118 "
Gilmanton,"932,528","1,156,390","2,088,918","3,067,570",0,"1,110,074","1,957,496","1,072,407",0,"1,072,407 "
Gilsum,"519,422","156,030","675,452","432,271",0,"150,321","281,950","281,950","243,181","525,131 "
Goffstown,"6,463,633","3,445,976","9,909,609","10,302,093",0,"3,178,584","7,123,509","7,123,509",0,"7,123,509 "
Gorham,"1,960,637","569,076","2,529,713","2,027,402","558,088","590,622","1,994,868","1,994,868",0,"1,994,868 "
Goshen,"430,442","173,780","604,222","522,362",0,"174,681","347,681","347,681","81,860","429,541 "
Grafton,"715,453","270,779","986,232","818,253",0,"272,739","545,514","545,514","167,979","713,493 "
Grantham,0,"1,175,079","1,175,079","1,493,322",0,"1,163,304","330,018",0,"11,775","11,775 "
Greenfield,"890,442","372,746","1,263,188","1,225,022","332,200","385,335","1,171,887","1,024,008",0,"1,024,008 "
Greenland,"426,080","1,360,038","1,786,118","2,018,184",0,"1,410,393","607,791","489,992",0,"489,992 "
Greenville,"2,282,402","294,460","2,576,862","1,643,497","636,060","291,602","1,987,955","1,987,955","297,305","2,285,260 "
Groton,"318,677","144,525","463,202","346,869",0,"156,491","190,378","190,378","116,333","306,711 "
Hale's Location,0,"159,408","159,408","7,762",0,"196,365",0,0,0,0 
Hampstead,"3,029,265","2,526,664","5,555,929","5,802,406",0,"2,367,335","3,435,071","3,435,071",0,"3,435,071 "
Hampton,0,"6,733,838","6,733,838","8,069,827",0,"6,609,402","1,460,425",0,"124,436","124,436 "
Hampton Falls,"125,489","977,723","1,103,212","1,448,628",0,"974,300","474,328","144,312",0,"144,312 "
Hancock,"310,746","568,882","879,628","1,025,878",0,"589,981","435,897","357,358",0,"357,358 "
Hanover,0,"4,041,609","4,041,609","4,315,268",0,"4,409,943",0,0,0,0 
Harrisville,"42,860","404,145","447,005","501,966",0,"488,621","13,345","13,345",0,"13,345 "
Hart's Location,0,"32,972","32,972","25,878",0,"34,139",0,0,0,0 
Haverhill,"3,879,594","740,745","4,620,339","3,685,683","770,750","804,170","3,652,263","3,652,263","163,906","3,816,169 "
Hebron,0,"592,909","592,909","319,202",0,"621,040",0,0,0,0 
Henniker,"2,533,284","948,500","3,481,784","3,057,874",0,"886,420","2,171,454","2,171,454","423,910","2,595,364 "
Hill,"437,599","256,321","693,920","941,347",0,"245,103","696,244","503,239",0,"503,239 "
Hillsboro,"4,554,274","1,263,238","5,817,512","5,264,827","1,211,088","1,208,536","5,267,379","5,237,415",0,"5,237,415 "
Hinsdale,"4,198,912","567,249","4,766,161","3,885,428","1,309,920","549,647","4,645,701","4,645,701",0,"4,645,701 "
Holderness,0,"1,578,481","1,578,481","1,330,085",0,"1,645,203",0,0,0,0 
Hollis,"1,774,871","2,921,495","4,696,366","5,793,205",0,"2,925,415","2,867,790","2,041,102",0,"2,041,102 "
Hooksett,"2,673,033","3,262,502","5,935,535","8,602,564",0,"3,675,736","4,926,828","3,073,988",0,"3,073,988 "
Hopkinton,"2,116,855","1,635,218","3,752,073","3,746,325",0,"1,664,378","2,081,947","2,081,947","5,748","2,087,695 "
Hudson,"8,177,954","6,313,509","14,491,463","15,453,836",0,"6,149,624","9,304,212","9,304,212",0,"9,304,212 "
Jackson,0,"907,631","907,631","327,754",0,"829,504",0,0,"78,127","78,127 "
Jaffrey,"3,143,869","1,097,179","4,241,048","4,216,710","1,060,325","1,148,089","4,128,946","3,615,449",0,"3,615,449 "
Jefferson,"430,471","293,090","723,561","790,723",0,"293,091","497,632","495,042",0,"495,042 "
Keene,"10,538,576","4,225,909","14,764,485","13,598,585",0,"4,211,715","9,386,870","9,386,870","1,165,900","10,552,770 "
Kensington,"401,116","781,987","1,183,103","1,470,348",0,"729,169","741,179","461,283",0,"461,283 "
Kingston,"1,465,116","1,606,752","3,071,868","3,913,268",0,"1,514,027","2,399,241","1,684,883",0,"1,684,883 "
Laconia,"5,618,159","4,791,147","10,409,306","13,552,974",0,"4,731,202","8,821,772","6,460,883",0,"6,460,883 "
Lancaster,"3,370,560","578,338","3,948,898","3,169,123","1,169,980","593,196","3,745,907","3,745,907",0,"3,745,907 "
Landaff,"143,168","93,420","236,588","293,756",0,"102,245","191,511","164,643",0,"164,643 "
Langdon,"386,861","138,859","525,720","572,158","135,913","145,071","563,000","444,890",0,"444,890 "
Lebanon,"2,432,974","3,782,568","6,215,542","7,004,484",0,"4,022,172","2,982,312","2,797,920",0,"2,797,920 "
