,,,,,,State-Wide,,Prelim Grant,Hold Harm-,FY11
,FY09,FY09,FY09,FY10/11,FY10/11,Education,Calculated,= Calculated,less Grant if,Transition
,Grant,SWEPT,Cost of,Calculated,Fiscal,Property,Grant =,Grant,Prelim Grant,Grant = Prelim
,,,Adequacy,Cost of,Disparity,Tax @,Cost plus,Capped @,plus SWEPT,Grant plus
See footnote on last page.,,,(Grant +,Adequacy,Aid,2.19,Fiscal Disparity,FY09 Grant X,Less than,Hold Harmless
,,,SWEPT),,,(1), Less SWEPT,115%,FY09 Cost,Grant
Walpole,"1,212,461","922,452","2,134,913","2,380,069",0,"925,194","1,454,875","1,394,330",0,"1,394,330 "
Warner,"1,107,620","659,245","1,766,865","1,691,726",0,"659,411","1,032,315","1,032,315","75,139","1,107,454 "
Warren,"758,937","177,030","935,967","847,717","177,363","180,210","844,870","844,870",0,"844,870 "
Washington,"82,136","556,512","638,648","919,102",0,"589,484","329,618","94,456",0,"94,456 "
Waterville Valley,0,"823,387","823,387","163,797",0,"849,257",0,0,0,0 
Weare,"7,724,162","1,876,535","9,600,697","7,663,119",0,"1,809,425","5,853,694","5,853,694","1,937,578","7,791,272 "
Webster,"489,786","452,838","942,624","1,149,882",0,"471,245","678,637","563,254",0,"563,254 "
Wentworth,"635,148","199,888","835,036","686,739",0,"248,018","438,721","438,721","148,297","587,018 "
Wentworth's Location,0,"20,370","20,370","16,487",0,"20,886",0,0,0,0 
Westmoreland,"631,502","420,911","1,052,413","1,043,172",0,"438,013","605,159","605,159","9,241","614,400 "
Whitefield,"1,527,551","435,479","1,963,030","1,881,973","433,725","411,623","1,904,075","1,756,684",0,"1,756,684 "
Wilmot,"371,730","386,153","757,883","806,174",0,"443,463","362,711","362,711",0,"362,711 "
Wilton,"1,069,963","981,148","2,051,111","2,397,275",0,"925,578","1,471,697","1,230,457",0,"1,230,457 "
Winchester,"3,529,631","615,638","4,145,269","3,826,156","1,264,520","601,109","4,489,567","4,059,076",0,"4,059,076 "
Windham,"2,081,377","4,905,184","6,986,561","8,344,765",0,"4,926,045","3,418,720","2,393,584",0,"2,393,584 "
Windsor,"94,059","65,935","159,994","221,629",0,"71,451","150,178","108,168",0,"108,168 "
Wolfeboro,0,"4,903,733","4,903,733","3,951,050",0,"4,773,807",0,0,"129,926","129,926 "
Woodstock,"308,594","607,568","916,162","1,088,831",0,"562,225","526,606","354,883",0,"354,883 "
,,,,,,,,,,
Atkinson & Gilmanton Academy,,"1,627","1,627",0,0,"1,566",0,0,61,61 
Bean's Grant,,0,0,0,0,0,0,0,0,0 
Bean's Purchase,,44,44,0,0,37,0,0,7,7 
Chandler's Purchase,,83,83,0,0,103,0,0,0,0 
Crawford's Purchase,,387,387,0,0,151,0,0,236,236 
Cutt's Grant,,0,0,0,0,0,0,0,0,0 
Erving's Grant,,189,189,0,0,193,0,0,0,0 
Green's Grant,,"10,233","10,233",0,0,"8,950",0,0,"1,283","1,283 "
Hadley's Purchase,,0,0,0,0,0,0,0,0,0 
Kilkenny,,0,0,0,0,0,0,0,0,0 
Livermore,,175,175,0,0,318,0,0,0,0 
Low & Burbank Grant,,0,0,0,0,0,0,0,0,0 
Sargent's Purchase,,"5,663","5,663",0,0,"4,058",0,0,"1,605","1,605 "
Second College Grant,,"3,266","3,266",0,0,"3,304",0,0,0,0 
Thomas & Messerve Purchase,,"14,529","14,529",0,0,"12,890",0,0,"1,639","1,639 "
,,,,,,,,,,
,,,,,,,,,,
(1)  Process for returning Statewide Education Property Tax (SWEPT) to the State:  If the SWEPT raised by a municipality is greater,,,,,,,,,,
"than the Calculated Cost of Adequacy, the municipality may be required to return excess SWEPT.  This will be determined by the",,,,,,,,,,
Department of Revenue Administration when tax rates are set for the 10-11 school year.  If the total new tax revenue needed to ,,,,,,,,,,
"cover the 10-11 school budget is less than the amount that will be raised by the SWEPT, then the SWEPT will be used to cover",,,,,,,,,,
"the budget, the local school tax rate will be set at $0.00, and any SWEPT not used will be remitted to the State.",,,,,,,,,,
