 ,,,,,, ,, , ,,,,,,,,"Oct. 6, 2003",
,,,,,,,,,,,,,,, Includes home school.  Replaces 7/7/03.,,,
 ,NH Department of Education,,,,,,,,,,,,,,,,,
,"Division of Program Support, Bureau of Informaton Services",,,,,,,,,,,,,,,,,
,"101 Pleasant St., Concord NH 03301",,,,,,,,,,,,,,,,,
,603-271-2778,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
 ,FY04 Adequacy Aid and Targeted Aid,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,00-01,00-01,00-01,,,Poverty Wt. =,Poverty  ,,Total Wt.  ,FY01,If Tuition,FY04,Reduced to Amt. Spent,FY04,FY04,Statewide,FY04,
FY04 Adequacy,Adj. ELEM,High,Partic-,,Elem,(Loc F/R% less,Wt.  X,Total, ADM-R,Reg. Elem,All,Cost of an,, Targeted ,Cost of an,Education,Adequate ,
Base Cost,ADM-R,,ipating,00-01,F/R,85% of St Ave),Elem ADM,Weighted,times Base,To/From Sch,FY01,Adequate,,Aid,Adequate,Propert Tax,Education ,
"$3,390 ",,Weight of,Home,Spec Ed,Rate,X 5 times Loc%,Max = Elem,ADM-R,Cost of ,Transport,Spent,Education ,,, Education  ,at $4.92,Grant &,
 ,,1.2,School,ADM-R,Oct. '00,Max = Loc %,F/R ADM,w/o home,"$3,390 ",at 100%," 198:41,II", ,,,& Targeted Aid," Per $1,000  ", Targeted Aid ,
Bradford,159.9,95.0,0.0,49.8,13.19%,0.00%,0.0,304.7,"1,032,933","69,891",,"1,102,824",,0,"1,102,824","538,998","563,826",
Brentwood,379.4,198.8,0.0,66.4,5.97%,0.00%,0.0,644.6,"2,185,194","78,501",,"2,263,695",,0,"2,263,695","1,374,922","888,773",
Bridgewater,91.8,43.3,0.0,10.0,26.98%,15.57%,14.3,159.4,"540,366","43,415",,"583,781",,0,"583,781","821,372",0,
Bristol,359.0,187.3,0.0,68.2,26.98%,15.57%,55.9,670.4,"2,272,656","116,090",,"2,388,746",,"1,566","2,390,312","1,102,212","1,288,100",
Brookfield,65.4,36.8,0.0,3.8,23.07%,8.80%,5.8,111.8,"379,002","24,840",,"403,842",,0,"403,842","291,964","111,878",
Brookline,694.1,287.8,0.4,89.0,1.83%,0.00%,0.0,"1,071.3","3,631,707","177,629",,"3,809,336",,"66,579","3,875,915","1,529,554","2,346,361",
Cambridge,1.0,1.2,0.0,,36.62%,36.62%,0.4,2.6,"8,814","1,465","2,931","2,931",R,0,"2,931","27,888",0,
Campton,301.0,193.4,0.0,90.3,25.88%,13.51%,40.7,625.4,"2,120,106","129,781",,"2,249,887",,"24,603","2,274,490","913,841","1,360,649",
Canaan,391.1,230.5,0.0,83.9,21.80%,6.93%,27.1,732.6,"2,483,514","93,728",,"2,577,242",,"61,428","2,638,670","855,723","1,782,947",
Candia,481.4,241.1,0.0,69.0,4.74%,0.00%,0.0,791.5,"2,683,185","102,288",,"2,785,473",,"5,224","2,790,697","1,371,311","1,419,386",
