"July 13, 2006",NH Department of Education,,,,
,Information Services,,,,
"Per HB100, Excess to ",FY07 Equitable Education Grants,,,,
Remit columns removed.,and Statewide Enhanced Education Tax Assessment,,,,
,,,,,
,A,B,C,D,
FY07,,FY06/FY07,for FY07,FY07,
,,Formula plus,State Tax,Statewide,
,FY03,Transition,Calculation,Enhanced,
,ADM-R,Grants,4/1/04,Education,
,,,Equalized,Tax @,
,K <= 0.5,(See FY06 for,Valuations,$2.515 ,
,,calculations),without Utilities,"per $1,000",
Hollis,"1,538.2","1,690,353","1,180,483,852","2,968,917",
Hooksett,"1,905.0","2,310,998","1,391,868,441","3,500,549",
Hopkinton,"1,016.4","1,630,408","622,159,645","1,564,732",
Hudson,"4,070.0","6,016,814","2,586,332,390","6,504,626",
Jackson,85.2,,"315,611,394","793,763",
Jaffrey,837.6,"2,414,169","461,125,863","1,159,732",
Jefferson,159.2,"409,972","113,186,989","284,665",
Keene,"3,038.9","10,036,739","1,521,904,135","3,827,589",
Kensington,387.5,"382,015","311,018,868","782,212",
Kingston,963.9,"1,395,349","671,804,784","1,689,589",
Laconia,"2,395.3","5,350,628","1,790,852,065","4,503,993",
Lancaster,614.6,"3,193,365","226,752,067","570,281",
Landaff,40.3,"55,726","33,297,564","83,743",
Langdon,91.0,"349,661","49,369,023","124,163",
Lebanon,"1,707.3","2,317,118","1,506,372,266","3,788,526",
Lee,846.6,"2,490,751","428,382,181","1,077,381",
Lempster,166.0,"618,083","81,074,748","203,903",
Lincoln,163.4,,"666,763,447","1,676,910",
Lisbon,306.6,"1,727,269","98,566,291","247,894",
Litchfield,"1,566.7","4,651,751","710,445,162","1,786,770",
Littleton,954.8,"3,134,018","496,589,511","1,248,923",
Londonderry,"5,423.7","12,812,411","2,813,404,880","7,075,713",
Loudon,825.5,"2,117,925","445,257,385","1,119,822",
Lyman,64.4,"157,472","45,034,663","113,262",
Lyme,260.5,"194,032","260,886,466","656,129",
Lyndeborough,229.3,"388,391","176,148,267","443,013",
Madbury,322.2,"870,650","172,514,781","433,875",
Madison,363.9,"397,386","429,271,529","1,079,618",
Manchester,"14,962.2","47,007,257","9,316,890,363","23,431,979",
Marlborough,296.1,"888,097","137,226,473","345,125",
Marlow,121.8,"561,920","68,178,551","171,469",
Martin's Location,,,,,
