 ,,Expenditures From,,,Expenditures Over,,,,,,,,,,,,,
,,3 1/2 - 10 Times ,,,Over 10 Times,,, ,,,,,,,,,,
,,State Average,,,State Average,,,,,,,,,,,,,
District,District Name,Student Count,Cost,,Student Count,Cost,,Total Expended,FY2017 Entitlement,FY2017 Proration 72.41189%,,,,,,,,
ID,,,,,,,,,,,,,,,,,,
208,Governor Wentworth Regional,,"$358,948.23",,,$0.00,,"$930,888.42","$287,158.58"," $207,936.96 ",,,,,,,,
211,Grantham,,"$67,566.06",,,$0.00,,"$119,560.62","$54,052.85"," $39,140.69 ",,,,,,,,
215,Greenland ,,"$65,380.39",,,$0.00,,"$117,374.95","$52,304.31"," $37,874.54 ",,,,,,,,
223,Hampstead,,"$248,621.54",,,"$50,295.70",,"$714,873.74","$249,192.93"," $180,445.31 ",,,,,,,,
225,Hampton,,"$39,273.91",,,$0.00,,"$91,268.47","$31,419.13"," $22,751.18 ",,,,,,,,
233,Hanover,,"$222,867.42",,,$0.00,,"$436,544.27","$178,293.93"," $129,106.01 ",,,,,,,,
238,Haverhill Cooperative,,"$187,287.48",,,"$214,800.32",,"$610,066.05","$364,630.30"," $264,035.69 ",,,,,,,,
245,Henniker,,"$63,876.95",,,$0.00,,"$115,871.51","$51,101.56"," $37,003.61 ",,,,,,,,
251,Hillsboro-Deering Cooperative,,"$359,417.81",,,"$235,381.75",,"$854,772.37","$522,916.00"," $378,653.36 ",,,,,,,,
255,Hinsdale,,"$88,836.16",,,$0.00,,"$296,814.41","$71,068.93"," $51,462.35 ",,,,,,,,
257,Holderness,,"$49,803.02",,,$0.00,,"$153,792.15","$39,842.42"," $28,850.65 ",,,,,,,,
259,Hollis,,"$67,547.13",,,$0.00,,"$119,541.69","$54,037.70"," $39,129.72 ",,,,,,,,
260,Hollis/Brookline Cooperative,,"$683,447.99",,,"$308,090.68",,"$1,632,995.60","$854,849.07"," $619,012.37 ",,,,,,,,
261,Hooksett,,"$367,744.14",,,"$24,604.96",,"$912,294.73","$318,800.27"," $230,849.30 ",,,,,,,,
263,Hopkinton,,"$96,561.33",,,"$38,332.58",,"$186,888.47","$115,581.64"," $83,694.85 ",,,,,,,,
267,Hudson,,"$470,615.02",,,"$154,642.42",,"$1,301,186.75","$531,134.44"," $384,604.48 ",,,,,,,,
269,Inter-Lakes Cooperative,,"$44,766.97",,,$0.00,,"$96,761.53","$35,813.58"," $25,933.29 ",,,,,,,,
274,Jaffrey-Rindge Cooperative,,"$624,165.27",,,"$199,388.99",,"$1,343,499.89","$698,721.21"," $505,957.23 ",,,,,,,,
275,John Stark Regional,,"$111,781.49",,,"$25,452.57",,"$293,217.75","$114,877.76"," $83,185.16 ",,,,,,,,
276,Kearsarge Regional,,"$645,052.27",,,"$391,160.08",,"$1,504,163.41","$907,201.90"," $656,922.04 ",,,,,,,,
279,Keene,,"$1,060,305.17",,,"$241,729.18",,"$2,237,936.48","$1,089,973.32"," $789,270.28 ",,,,,,,,
285,Laconia,,"$187,589.00",,,$0.00,,"$499,556.38","$150,071.20"," $108,669.39 ",,,,,,,,
295,Lebanon,,"$344,143.78",,,"$330,065.31",,"$1,038,171.03","$605,380.33"," $438,367.34 ",,,,,,,,
305,Lincoln-Woodstock Cooperative,,"$84,084.71",,,$0.00,,"$136,079.27","$67,267.77"," $48,709.86 ",,,,,,,,
315,Litchfield,,"$160,051.63",,,$0.00,,"$472,019.01","$128,041.30"," $92,717.13 ",,,,,,,,
319,Londonderry,,"$575,985.55",,,$0.00,,"$1,355,903.99","$460,788.44"," $333,665.62 ",,,,,,,,
327,Lyme,,"$65,884.81",,,$0.00,,"$117,879.37","$52,707.85"," $38,166.75 ",,,,,,,,
333,Madison,,"$233,474.25",,,"$3,721.86",,"$393,179.80","$190,501.26"," $137,945.56 ",,,,,,,,
335,Manchester,,"$1,071,367.76",,,"$8,958.43",,"$2,588,168.50","$866,052.64"," $627,125.08 ",,,,,,,,
339,Marlborough,,"$5,873.60",,,$0.00,,"$57,868.16","$4,698.88"," $3,402.55 ",,,,,,,,
341,Marlow,,"$58,011.62",,,$0.00,,"$162,000.75","$46,409.30"," $33,605.85 ",,,,,,,,
342,Mascenic Regional,,"$75,244.22",,,$0.00,,"$231,227.91","$60,195.38"," $43,588.61 ",,,,,,,,
343,Mascoma Valley Regional,,"$106,136.59",,,$0.00,,"$470,098.53","$84,909.27"," $61,484.41 ",,,,,,,,
351,Merrimack,,"$1,096,389.32",,,"$321,795.38",,"$3,445,972.64","$1,198,906.84"," $868,151.10 ",,,,,,,,
352,Merrimack Valley,,"$361,056.26",,,"$102,226.52",,"$1,243,201.22","$391,071.53"," $283,182.28 ",,,,,,,,
353,Middleton,,"$10,692.44",,,$0.00,,"$62,687.00","$8,553.95"," $6,194.08 ",,,,,,,,
355,Milan,,"$4,306.88",,,$0.00,,"$108,296.01","$3,445.50"," $2,494.95 ",,,,,,,,
357,Milford,,"$142,834.51",,,$0.00,,"$714,774.70","$114,267.61"," $82,743.33 ",,,,,,,,
359,Milton,,"$14,689.56",,,$0.00,,"$118,678.69","$11,751.65"," $8,509.59 ",,,,,,,,
363,Monadnock Regional,,"$358,071.10",,,"$117,154.68",,"$1,047,165.97","$403,611.56"," $292,262.76 ",,,,,,,,
365,Monroe,,"$96,561.33",,,"$98,556.32",,"$247,112.21","$175,805.38"," $127,304.00 ",,,,,,,,
367,Mont Vernon,,"$62,716.82",,,$0.00,,"$166,705.95","$50,173.46"," $36,331.55 ",,,,,,,,
369,Moultonborough,,"$96,561.33",,,"$180,670.91",,"$329,226.80","$257,919.97"," $186,764.73 ",,,,,,,,
371,Nashua,,"$519,117.42",,,$0.00,,"$1,611,003.23","$415,293.94"," $300,722.19 ",,,,,,,,
377,New Boston,,"$41,360.26",,,$0.00,,"$93,354.82","$33,088.21"," $23,959.80 ",,,,,,,,
388,Newfound Area,,"$75,192.20",,,$0.00,,"$179,181.33","$60,153.76"," $43,558.47 ",,,,,,,,
399,Newmarket,,"$222,136.58",,,$0.00,,"$586,098.52","$177,709.26"," $128,682.64 ",,,,,,,,
401,Newport,,"$304,087.30",,,"$18,180.62",,"$891,436.81","$261,450.46"," $189,321.22 ",,,,,,,,
411,Northwood,,"$230,954.66",,,$0.00,,"$698,905.72","$184,763.73"," $133,790.91 ",,,,,,,,
413,Nottingham,,"$51,457.86",,,$0.00,,"$207,441.55","$41,166.29"," $29,809.29 ",,,,,,,,
423,Oyster River Cooperative,,"$241,716.17",,,"$22,867.91",,"$680,540.58","$216,240.85"," $156,584.08 ",,,,,,,,
425,Pelham,,"$710,133.68",,,"$250,983.19",,"$1,585,051.62","$819,090.13"," $593,118.65 ",,,,,,,,
427,Pembroke,,"$7,834.43",,,$0.00,,"$59,828.99","$6,267.54"," $4,538.45 ",,,,,,,,
428,Pemi-Baker Regional,,"$294,576.56",,,"$109,767.28",,"$654,344.10","$345,428.53"," $250,131.33 ",,,,,,,,
435,Piermont,,"$96,561.33",,,$821.45,,"$149,377.34","$78,070.51"," $56,532.33 ",,,,,,,,
439,Pittsfield,,"$238,916.73",,,"$19,125.27",,"$570,009.38","$210,258.65"," $152,252.27 ",,,,,,,,
441,Plainfield,,"$96,561.33",,,"$91,536.93",,"$240,092.82","$168,785.99"," $122,221.13 ",,,,,,,,
447,Plymouth,,31684.4249,,,12055.0366,,53712.02,37402.5765," $27,083.91 ",,,,,,,,
449,Portsmouth,,"$204,067.19",,,"$66,743.56",,"$582,778.13","$229,997.31"," $166,545.40 ",,,,,,,,
453,Raymond,,"$469,504.76",,,"$89,110.85",,"$1,043,121.74","$464,714.66"," $336,508.67 ",,,,,,,,
461,Rochester,,"$773,659.22",,,$0.00,,"$2,021,528.72","$618,927.38"," $448,177.01 ",,,,,,,,
463,Rollinsford,,"$75,793.81",,,$0.00,,"$179,782.94","$60,635.05"," $43,906.98 ",,,,,,,,
471,Rye,,"$32,971.42",,,$0.00,,"$84,965.98","$26,377.14"," $19,100.18 ",,,,,,,,
473,Salem,,"$1,024,416.87",,,"$124,108.06",,"$2,552,378.12","$943,641.56"," $683,308.69 ",,,,,,,,
476,Sanborn Regional,,"$409,088.51",,,"$11,370.35",,"$836,415.36","$338,641.16"," $245,216.46 ",,,,,,,,
485,Seabrook,,"$107,324.61",,,"$3,225.33",,"$214,539.07","$89,085.02"," $64,508.15 ",,,,,,,,
486,Shaker Regional,,"$69,758.75",,,$0.00,,"$277,737.00","$55,807.00"," $40,410.90 ",,,,,,,,
491,Somersworth,,"$307,050.04",,,"$318,560.32",,"$885,583.17","$564,200.35"," $408,548.14 ",,,,,,,,
