,,FY07,,FY08,,,,,
,FY05,Total Aid,FY07,Total Aid,FY08,FY08,Enhanced,,
,ADM-R,per ,Total Aid,per ,Total Aid,HB2,Educ Tax @,,
,,RSA,X,RSA,X,Compromise,$2.240 ,,
,K <= 0.5,198:41,1.05,198:41,0.946596522,,,,
Farmington,"1,062.3","5,663,151","5,946,309","5,802,282","5,492,420","5,946,309","1,085,992",,
Fitzwilliam,329.1,"939,182","986,141","798,305","755,673","986,141","568,761",,
Francestown,276.2,"460,934","483,981","391,794","370,871","483,981","503,989",,
Franconia,123.4,0,0,0,0,0,"643,934",,
Franklin,"1,324.5","7,044,859","7,397,102","7,542,432","7,139,640","7,397,102","1,384,858",,
Freedom,145.0,0,0,0,0,0,"1,120,323",,
Fremont,650.3,"1,198,391","1,258,311","1,741,617","1,648,609","1,648,609","916,826",,
Gilford,"1,174.0","516,868","542,711","439,338","415,876","542,711","3,785,048",,
Gilmanton,536.7,"888,122","932,528","754,904","714,590","932,528","1,103,180",,
Gilsum,103.1,"494,688","519,422","420,485","398,030","519,422","133,699",,
Goffstown,"2,457.6","5,058,937","5,311,884","6,828,287","6,463,633","6,463,633","3,516,121",,
Gorham,462.3,"1,744,077","1,831,281","2,071,249","1,960,637","1,960,637","495,574",,
Goshen,105.4,"409,945","430,442","348,453","329,844","430,442","174,290",,
Grafton,179.9,"681,384","715,453","627,077","593,589","715,453","277,000",,
Grantham,347.2,0,0,0,0,0,"1,204,011",,
Greenfield,281.9,"770,285","808,799","940,677","890,442","890,442","409,582",,
Greenland,531.8,"183,605","192,785","450,118","426,080","426,080","1,388,264",,
Greenville,342.4,"2,173,716","2,282,402","2,054,075","1,944,380","2,282,402","302,710",,
Groton,71.4,"303,502","318,677","257,977","244,200","318,677","129,023",,
Hales Location,0.0,0,0,0,0,0,"135,580",,
Hampstead,"1,637.3","2,701,104","2,836,159","3,200,165","3,029,265","3,029,265","2,621,011",,
Hampton,"1,985.1",0,0,0,0,0,"6,864,596",,
Hampton Falls,348.2,"119,513","125,489","101,586","96,161","125,489","991,093",,
Hancock,268.4,"295,949","310,746","315,765","298,902","310,746","623,691",,
Hanover,"1,169.1",0,0,0,0,0,"4,219,798",,
Harrisville,112.6,"40,819","42,860","34,696","32,843","42,860","441,078",,
Hart's Location,3.0,0,0,0,0,0,"30,380",,
Haverhill,685.2,"3,694,851","3,879,594","3,745,612","3,545,583","3,879,594","654,573",,
Hebron,53.1,0,0,0,0,0,"633,574",,
Henniker,747.6,"2,293,298","2,407,963","2,676,202","2,533,284","2,533,284","908,410",,
Hill,163.7,"416,761","437,599","451,546","427,432","437,599","241,445",,
Hillsboro,957.7,"4,337,404","4,554,274","3,945,297","3,734,604","4,554,274","1,266,182",,
Hinsdale,691.4,"3,998,964","4,198,912","4,194,174","3,970,191","4,198,912","520,928",,
Holderness,318.3,0,0,0,0,0,"1,673,086",,
Hollis,"1,560.7","1,690,353","1,774,871","1,436,800","1,360,070","1,774,871","2,925,414",,
Hooksett,"2,031.0","2,310,998","2,426,548","2,823,836","2,673,033","2,673,033","3,482,061",,
Hopkinton,"1,012.5","1,630,408","1,711,928","2,236,280","2,116,855","2,116,855","1,551,659",,
Hudson,"4,148.8","6,016,814","6,317,655","8,639,324","8,177,954","8,177,954","6,432,220",,
Jackson,86.4,0,0,0,0,0,"842,114",,
