,From EOY Data Excl Charter And OOS,,,,1 4-15 Membership,Base Adequacy      ,F &R ,Free or Reduced Differentiated Aid, SPED,ELL,SPED Differentiated Aid,ELL Differentiated Aid,Grade 3 Reading Not Level 1 ,Grade 3 Reading Diff. Aid,Total Calculated Cost of an Adequate Education,SWEPT @,FY2016 Preliminary Grants =  Cost - SWEPT,FY2012 Stabilization Grant - Apply to FY2016 if necessary,FY2015 Total        Grant as of          3-12-15,FY2015 Capped @108% Informational only,FY2016 Est. Grant for Cap and FY12 Stabilization,FY2016 Adj. to 95% of 11-15-14 Estimated Grant 198:40-a VI,FY2016 Total        Grant as of          3-14-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ADM,"$3,561.27 ",ADM,"$1,780.63 ",ADM,ADM,"$1,915.86 ",$696.77 ,ADM,$696.77 ,$,$2.420 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Alstead,TRUE,11,Alstead,215.39,"767,061.95 ",87.96,"156,624.21 ",41.83,0.00," 80,140.42 ", -   ,0.00, -   ," 1,003,826.58 "," 369,648.00 "," 634,178.58 "," 721,271 "," 1,335,709.80 "," 1,442,567 "," 1,355,449.58 ", -   ," 1,355,449.58 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Alton,TRUE,15,Alton,740.37,"2,636,657.47 ",216.23,"385,025.62 ",107.86,1.00," 206,644.66 ", 696.77 ,4.73," 3,295.72 "," 3,232,320.24 "," 3,601,775.00 ", -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Amherst,TRUE,17,Amherst,"1,799.98","6,410,214.77 ",119.80,"213,319.47 ",251.33,13.46," 481,513.09 "," 9,378.52 ",3.00," 2,090.31 "," 7,116,516.16 "," 3,701,716.00 "," 3,414,800.16 ", -   ," 3,297,592.73 "," 3,561,400 "," 3,414,800.16 ", -   ," 3,414,800.16 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Andover,TRUE,19,Andover,278.18,"990,674.09 ",61.78,"110,007.32 ",42.46,0.00," 81,347.42 ", -   ,5.00," 3,483.85 "," 1,185,512.68 "," 567,726.00 "," 617,786.68 "," 212,449 "," 788,121.68 "," 851,171 "," 830,235.68 ", -   ," 830,235.68 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Antrim,TRUE,21,Antrim,329.31,"1,172,761.82 ",133.44,"237,607.27 ",51.80,0.13," 99,241.55 ", 90.58 ,2.00," 1,393.54 "," 1,511,094.76 "," 511,248.00 "," 999,846.76 "," 1,207,389 "," 2,211,810.36 "," 2,388,755 "," 2,207,235.76 ", -   ," 2,207,235.76 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Ashland,TRUE,23,Ashland,220.10,"783,835.53 ",115.86,"206,303.79 ",32.94,0.00," 63,108.43 ", -   ,1.00, 696.77 ," 1,053,944.52 "," 533,564.00 "," 520,380.52 "," 275,155 "," 777,554.71 "," 839,759 "," 795,535.52 ", -   ," 795,535.52 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Atkinson,TRUE,27,Atkinson,853.92,"3,041,039.68 ",70.69,"125,872.73 ",132.65,1.00," 254,138.83 ", 696.77 ,2.00," 1,393.54 "," 3,423,141.55 "," 2,057,117.00 "," 1,366,024.55 ", -   ," 1,221,729.00 "," 1,319,467 "," 1,319,467.00 ", -   ," 1,319,467.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Auburn,TRUE,29,Auburn,845.94,"3,012,620.74 ",82.13,"146,243.14 ",129.67,2.00," 248,429.57 "," 1,393.54 ",3.00," 2,090.31 "," 3,410,777.30 "," 1,583,614.00 "," 1,827,163.30 "," 69,205 "," 1,817,726.87 "," 1,963,145 "," 1,896,368.30 ", -   ," 1,896,368.30 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Barnstead,TRUE,31,Barnstead,663.72,"2,363,686.12 ",220.86,"393,269.94 ",116.64,0.00," 223,465.91 ", -   ,6.00," 4,180.62 "," 2,984,602.59 "," 1,022,933.00 "," 1,961,669.59 "," 888,419 "," 2,843,091.64 "," 3,070,539 "," 2,850,088.59 ", -   ," 2,850,088.59 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Barrington,TRUE,33,Barrington,"1,308.16","4,658,710.96 ",236.98,"421,973.70 ",253.75,5.92," 486,149.48 "," 4,124.88 ",11.02," 7,678.41 "," 5,578,637.43 "," 2,022,192.00 "," 3,556,445.43 "," 725,476 "," 4,135,347.79 "," 4,466,176 "," 4,281,921.43 ", -   ," 4,281,921.43 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
