,,,,,,,,,,"November 18, 2008"
New Hampshire Department of Education,,,,,,,,,,
Commissioner's Office,,,,,,,,,,
Estimated FY10  Transition Adequate Education Aid,,,,,,,,,,
"Municipal Summary of Adequacy Aid, Fiscal Disparity Aid and Transition Grant",,,,,,,,,,
,,,,,,,,,,
,,,,,,State-Wide,Calculated,Prelim Grant,Hold Harm-,FY10
,FY09,FY09,FY09,FY10/11,FY10/11,Education,Grant =,= Calculated,less Grant if,Transition
,Grant,SWEPT,Cost of,Calculated,Fiscal,Property,FY10/11 Calcu-,Grant,Prelim Grant,Grant = Prelim
,,,Adequacy,Cost of,Disparity,Tax @,lated Cost plus,Capped @,plus SWEPT,Grant plus
See footnote on last page.,,,(Grant +,Adequacy,Aid,2.135,Fiscal Disparity,FY09 Grant X,Less than,Hold Harmless
,,,SWEPT),,,(1), Less SWEPT,115%,FY09 Cost,Grant
Cornish,"718,657","443,777","1,162,434","834,491",0,"422,651","411,840","411,840","327,943","739,783 "
Croydon,"297,072","209,208","506,280","543,597",0,"223,250","320,347","320,347",0,"320,347 "
Dalton,"658,914","191,679","850,593","800,994","180,238","212,281","768,951","757,751",0,"757,751 "
Danbury,"839,421","299,798","1,139,219","1,103,007",0,"300,207","802,800","802,800","36,212","839,012 "
Danville,"3,594,353","959,763","4,554,116","3,386,298",0,"928,930","2,457,368","2,457,368","1,167,818","3,625,186 "
Deerfield,"2,003,525","1,153,348","3,156,873","3,050,412",0,"1,147,193","1,903,219","1,903,219","106,461","2,009,680 "
Deering,"871,854","457,102","1,328,956","1,425,534",0,"463,213","962,321","962,321",0,"962,321 "
Derry,"26,620,181","6,688,194","33,308,375","25,974,601",0,"6,373,741","19,600,860","19,600,860","7,333,774","26,934,634 "
Dix Grant,0,"2,125","2,125",0,0,"2,194",0,0,0,0 
Dixville,0,"55,269","55,269","20,408",0,"53,511",0,0,"1,758","1,758 "
Dorchester,"346,589","79,108","425,697","263,363","71,263","88,957","245,669","245,669","91,071","336,740 "
Dover,"5,262,210","6,292,003","11,554,213","15,832,229",0,"6,431,633","9,400,596","6,051,542",0,"6,051,542 "
Dublin,0,"582,850","582,850","831,221",0,"572,000","259,221",0,"10,850","10,850 "
Dummer,"135,109","74,169","209,278","320,126",0,"64,590","255,536","155,375",0,"155,375 "
Dunbarton,"469,905","710,494","1,180,399","1,461,979",0,"730,437","731,542","540,391",0,"540,391 "
Durham,"1,214,625","1,979,934","3,194,559","3,548,381",0,"1,826,059","1,722,322","1,396,819",0,"1,396,819 "
East Kingston,"526,230","695,886","1,222,116","1,459,192",0,"677,527","781,665","605,165",0,"605,165 "
Easton,0,"148,183","148,183","100,833",0,"155,638",0,0,0,0 
Eaton,0,"221,855","221,855","202,094",0,"226,039",0,0,0,0 
Effingham,"917,099","436,586","1,353,685","1,271,066",0,"420,541","850,525","850,525","82,619","933,144 "
Ellsworth,"13,218","30,881","44,099","45,231",0,"32,454","12,777","12,777",0,"12,777 "
Enfield,"920,688","1,162,696","2,083,384","2,675,527",0,"1,171,130","1,504,397","1,058,791",0,"1,058,791 "
Epping,"3,101,368","1,467,748","4,569,116","4,374,775",0,"1,432,645","2,942,130","2,942,130","194,341","3,136,471 "
Epsom,"2,223,963","945,032","3,168,995","3,075,972","852,513","966,264","2,962,221","2,557,557",0,"2,557,557 "
Errol,"23,522","164,530","188,052","83,458",0,"175,410",0,0,"12,642","12,642 "
Exeter,"3,587,156","3,799,252","7,386,408","8,613,290",0,"3,762,340","4,850,950","4,125,229",0,"4,125,229 "
Farmington,"5,946,309","1,102,777","7,049,086","6,681,561","2,232,280","1,111,201","7,802,640","6,838,255",0,"6,838,255 "
Fitzwilliam,"986,141","601,767","1,587,908","1,504,881",0,"589,770","915,111","915,111","83,027","998,138 "
Francestown,"483,981","502,893","986,874","1,201,364",0,"493,545","707,819","556,578",0,"556,578 "
Franconia,0,"618,556","618,556","603,980",0,"629,935",0,0,0,0 
Franklin,"7,397,102","1,438,412","8,835,514","8,486,991","2,586,440","1,425,703","9,647,728","8,506,667",0,"8,506,667 "
Freedom,0,"1,162,183","1,162,183","600,430",0,"1,170,869",0,0,0,0 
Fremont,"1,648,609","934,948","2,583,557","2,671,855",0,"923,257","1,748,598","1,748,598",0,"1,748,598 "
Gilford,"542,711","3,715,981","4,258,692","5,257,702",0,"3,869,151","1,388,551","624,118",0,"624,118 "
Gilmanton,"932,528","1,156,390","2,088,918","3,067,570",0,"1,147,562","1,920,008","1,072,407",0,"1,072,407 "
Gilsum,"519,422","156,030","675,452","432,271",0,"150,608","281,663","281,663","243,181","524,844 "
Goffstown,"6,463,633","3,445,976","9,909,609","10,302,093",0,"3,326,283","6,975,810","6,975,810",0,"6,975,810 "
Gorham,"1,960,637","569,076","2,529,713","2,027,402","558,088","606,084","1,979,406","1,979,406",0,"1,979,406 "
Goshen,"430,442","173,780","604,222","522,362",0,"197,259","325,103","325,103","81,860","406,963 "
Grafton,"715,453","270,779","986,232","818,253",0,"268,851","549,402","549,402","167,979","717,381 "
