,,,,"Nov 8, 2007",,,,
NH Deptment of Education,,,,,,,,
Bureau of Data Management,,,,,,,,
 FY09 Adequacy Aid Grants,,,,,,,,
and Statewide Enhanced Education Tax Assessment ,,,,,,,,
,A,B,C,D,,,,
,,,for FY09,FY09,,,,
,, ,State Tax,Statewide,,,,
,FY05,FY08/FY09,Calculation,Enhanced,,,,
,ADM-R,Grants ,4/1/06,Education,,,,
,,,Equalized,Tax @,,,,
,K <= 0.5,(See FY08 for,Valuations,$2.14 ,,,,
,,calculations),without Utilities,"per $1,000",,,,
Hampton Falls,348.2,"125,489","456,880,000","977,723",,,,
Hancock,268.4,"310,746","265,832,709","568,882",,,,
Hanover,"1,169.1",,"1,888,602,473","4,041,609",,,,
Harrisville,112.6,"42,860","188,852,624","404,145",,,,
Hart's Location,3.0,,"15,407,466","32,972",,,,
Haverhill,685.2,"3,879,594","346,142,528","740,745",,,,
Hebron,53.1,,"277,060,071","592,909",,,,
Henniker,747.6,"2,533,284","443,224,504","948,500",,,,
Hill,163.7,"437,599","119,776,158","256,321",,,,
Hillsboro,957.7,"4,554,274","590,298,191","1,263,238",,,,
Hinsdale,691.4,"4,198,912","265,069,829","567,249",,,,
Holderness,318.3,,"737,608,070","1,578,481",,,,
Hollis,"1,560.7","1,774,871","1,365,184,516","2,921,495",,,,
Hooksett,"2,031.0","2,673,033","1,524,533,846","3,262,502",,,,
Hopkinton,"1,012.5","2,116,855","764,120,774","1,635,218",,,,
Hudson,"4,148.8","8,177,954","2,950,237,865","6,313,509",,,,
Jackson,86.4,,"424,126,750","907,631",,,,
Jaffrey,861.4,"3,143,869","512,700,545","1,097,179",,,,
Jefferson,137.0,"430,471","136,958,086","293,090",,,,
Keene,"2,867.6","10,538,576","1,974,723,987","4,225,909",,,,
Kensington,379.0,"401,116","365,414,691","781,987",,,,
Kingston,934.1,"1,465,116","750,818,925","1,606,752",,,,
Laconia,"2,304.8","5,618,159","2,238,853,649","4,791,147",,,,
Lancaster,624.9,"3,370,560","270,251,295","578,338",,,,
Landaff,53.3,"143,168","43,654,147","93,420",,,,
Langdon,110.5,"386,861","64,887,463","138,859",,,,
Lebanon,"1,576.2","2,432,974","1,767,555,204","3,782,568",,,,
Lee,790.4,"2,615,289","492,572,244","1,054,105",,,,
Lempster,134.8,"648,987","114,852,510","245,784",,,,
Lincoln,180.7,,"847,330,393","1,813,287",,,,
Lisbon,299.6,"1,813,632","122,304,857","261,732",,,,
Litchfield,"1,652.1","6,060,310","885,606,365","1,895,198",,,,
Littleton,931.2,"3,368,181","633,303,328","1,355,269",,,,
Londonderry,"5,426.4","14,703,579","3,096,080,091","6,625,611",,,,
