New Hampshire Department of Education,,,,,,,,,
Division of Career Technology and Adult Learning,,,,,,,,,
Bureau of Career Development,,,,,,,,,
,,,,,,,,,
School Year 2011-2012 CTE Tuition and Transportation Distribution,,,,,,,,,
,,,,,,,   ,,
DISTRICT NAME,TUITION PAYMENT,TRANS PAYMENT,TOTAL PAYMENT,,,,,,
Pinkerton Academy," 72,270.33 "," 15,103.41 "," 87,373.74 ", ,,,,,
Prospect Mountain, -   ," 7,917.26 "," 7,917.26 ",,,,,,
,,,,,,,,,
Tuition & Transportation  Alternative Education,,,,,,,,,
,,,,,,,,,
Exeter," 104,222.05 ", -   ," 104,222.05 ",,,,,,
Franklin, -   , 408.73 , 408.73 ,,,,,,
Interlakes, -   , 452.93 , 452.93 ,,,,,,
Laconia," 60,209.75 ", -   ," 60,209.75 ",,,,,,
Litchfield," 4,488.65 ", 434.77 ," 4,923.42 ",,,,,,
Londonderry," 12,119.35 ",," 12,119.35 ",,,,,,
Nashua," 4,578.42 ", -   ," 4,578.42 ",,,,,,
Pinkerton Academy," 1,795.46 ", -   ," 1,795.46 ",,,,,,
Shaker Regional, -   , 757.92 , 757.92 ,,,,,,
Winnisquam Regional, -   ," 1,136.33 "," 1,136.33 ",,,,,,
,,,,,,,,,
*Tuition Payment includes tuition differential,,,,,,,,,
,,,,,,,,,
EQUAL OPPORTUNITY EMPLOYER - EQUAL EDUCATION OPPORTUNITIES,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,, ,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
