,From EOY Data Excl Charter And OOS,,Loc ID,,15-16 Membership,Base Adequacy      ,F &R ,Free or Reduced Differentiated Aid, SPED,ELL,SPED Diff. Aid,ELL Diff.  Aid,Grade 3 Reading Not Level 1 ,Grade 3 Reading Diff. Aid,Home School Academic ,Home School Academic Aid,Total Calculated Cost of an Adequate Education,SWEPT @,Preliminary        Grants = Cost of Adequacy            Less SWEPT,FY2012 Stabilization Grant  ,If Cost of Adequacy < SWEPT then FY12 Stabilization  @ ,FY2016 Total        Final Grant as of  3-14-16,Cap of Previous Year's 2016 Final Grant X,Preliminary + Stabilization (Capped =160% of FY16 Total Grant),"FY2017 First Estimate on 
11-15-15",Minimum First FY17 Estimate as of   11-15-15 X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Allenstown,TRUE,9,Allenstown,488.87 ,"1,740,998.06",196.77 ,"350,374.57",106.34, 1.91 ," 203,732.55 ","1,330.83", 4.26 ," 2,968.24 ", -   , -   ," 2,299,404.25 "," 588,012 "," 1,711,392 "," 2,229,085.00 "," 2,139,921.60 "," 4,061,407 "," 6,498,252.00 "," 3,851,313.85 "," 3,877,536.26 "," 3,683,659.45 "," 3,851,313.85 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Alstead,TRUE,11,Alstead,206.71 ,"736,150.12",78.32 ,"139,458.94",33.48, -   ," 64,142.99 ",0.00, 1.00 , 696.77 , -   , -   ," 940,448.82 "," 366,532 "," 573,917 "," 721,271.00 "," 692,420.16 "," 1,355,450 "," 2,168,719.00 "," 1,266,336.98 "," 1,304,037.98 "," 1,238,836.08 "," 1,266,336.98 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Alton,TRUE,15,Alton,710.62 ,"2,530,709.69",176.74 ,"314,708.55",67.89, 1.00 ," 130,067.74 ",696.77, 3.00 ," 2,090.31 ", -   , -   ," 2,978,273.06 "," 3,664,925 ", -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Amherst,TRUE,17,Amherst,"1,775.35 ","6,322,500.69",112.60 ,"200,498.94",222.63, 14.57 ," 426,527.91 ","10,151.94", 6.84 ," 4,765.91 ", 2.86 ," 10,185.23 "," 6,974,630.62 "," 3,670,375 "," 3,304,256 ", -   , -   ," 3,414,800 "," 5,463,680.00 "," 3,304,255.62 "," 3,278,405.35 "," 3,114,485.08 "," 3,304,255.62 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Andover,TRUE,19,Andover,281.67 ,"1,003,102.92",76.30 ,"135,862.07",38.80, -   ," 74,335.37 ",0.00, 1.00 , 696.77 , -   , -   ," 1,213,997.13 "," 559,479 "," 654,518 "," 212,449.00 "," 203,951.04 "," 830,236 "," 1,328,377.00 "," 858,469.17 "," 841,131.49 "," 799,074.92 "," 858,469.17 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Antrim,TRUE,21,Antrim,328.15 ,"1,168,630.75",130.14 ,"231,731.19",60.75, 2.47 ," 116,388.50 ","1,721.02", 4.00 ," 2,787.08 ", -   , -   ," 1,521,258.54 "," 509,400 "," 1,011,859 "," 1,207,389.00 "," 1,159,093.44 "," 2,207,236 "," 3,531,577.00 "," 2,170,951.98 "," 2,179,342.42 "," 2,070,375.30 "," 2,170,951.98 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Ashland,TRUE,23,Ashland,206.25 ,"734,511.94",108.60 ,"193,376.42",27.68, 2.00 ," 53,031.00 ","1,393.54", -   , -   , -   , -   ," 982,312.90 "," 562,071 "," 420,242 "," 275,155.00 "," 264,148.80 "," 795,536 "," 1,272,857.00 "," 684,390.70 "," 686,114.59 "," 651,808.86 "," 684,390.70 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Atkinson,TRUE,27,Atkinson,806.28 ,"2,871,380.78",53.47 ,"95,210.29",126.55, 1.00 ," 242,452.08 ",696.77, 1.00 , 696.77 , 0.60 ," 2,136.76 "," 3,212,573.45 "," 2,047,461 "," 1,165,112 ", -   , -   ," 1,319,467 "," 2,111,147.00 "," 1,165,112.45 "," 1,257,161.48 "," 1,194,303.41 "," 1,194,303.41 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Auburn,TRUE,29,Auburn,862.81 ,"3,072,699.37",86.62 ,"154,238.17",128.77, 3.00 ," 246,705.29 ","2,090.31", 6.40 ," 4,459.33 ", -   , -   ," 3,480,192.47 "," 1,596,724 "," 1,883,468 "," 69,205.00 "," 66,436.80 "," 1,896,368 "," 3,034,189.00 "," 1,949,905.27 "," 1,957,734.05 "," 1,859,847.35 "," 1,949,905.27 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Barnstead,TRUE,31,Barnstead,649.42 ,"2,312,759.96",214.37 ,"381,713.65",80.20, -   ," 153,651.97 ",0.00, 3.00 ," 2,090.31 ", -   , -   ," 2,850,215.89 "," 987,172 "," 1,863,044 "," 888,419.00 "," 852,882.24 "," 2,850,089 "," 4,560,142.00 "," 2,715,926.13 "," 2,788,738.48 "," 2,649,301.56 "," 2,715,926.13 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
