,From EOY Data Excl Charter And OOS,,,, 2022-2023 Membership ,Base Adequacy Aid," 2022-2023
 F&R Membership ",Free or Reduced Differentiated Aid," 2022-2023
SPED Membership ",Special Education Differentiated Aid," 2022-2023
ELL Membership ",ELL Differentiated Aid,,,Equalized Valuation,"Based on EV Per F&R Pupil (EVFRP) / 
Sliding Scale Grant with $8,500 per F&R for EVFRP Under $1.6 million and $0 for EVFRP over $6.6 million",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ADM,"$4,100.00 ",ADM,"$2,300.00 ",ADM,"$2,100.00 ",ADM,$800.00 ,,,,EV Per F&R,Aid Per F&R ADMR,Total,,,104.00%,,,,,,,,,,,,,,,,,,,
,,,Loc #,State Total,"157,396.84","645,327,039.49 ","41,665.69","95,831,076.88 ","30,963.11 ","65,022,521.55 ","5,127.48","4,101,986.56 "," 810,282,624.48 "," 363,786,975 ","264,083,787,588",,," $178,655,456.60 "," 651,484,993.35 "," 598,639,134.52 "," 622,584,699.90 "," 49,995,831.66 "," 701,480,824.97 ",,"1,065,267,799.97 ",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Croydon,TRUE,117,Croydon, 79.92 ," 327,664.62 ", 20.56 ," 47,279.26 ", 16.74 ," 35,151.69 ", -   , -   ," 410,095.57 "," 174,445 "," 127,873,770.58 "," 6,220,691.11 ", 644.82 ," 13,255.15 "," 248,905.72 "," 363,375.15 "," 377,910.16 ","129,004.44"," 377,910.16 ",," 552,355.16 ",,,,,,,,,,,,,,,
119,Dalton,TRUE,119,Dalton, 86.11 ," 353,069.04 ", 46.72 ," 107,467.27 ", 30.75 ," 64,571.01 ", -   , -   ," 525,107.32 "," 174,237 "," 137,953,071.53 "," 2,952,453.01 "," 6,200.83 "," 289,733.16 "," 640,603.48 "," 685,603.78 "," 713,027.93 ","72,424.45"," 713,027.93 ",," 887,264.93 ",,,,,,,,,,,,,,,
123,Danbury,TRUE,123,Danbury, 154.23 ," 632,345.46 ", 56.00 ," 128,797.24 ", 27.36 ," 57,445.92 ", 2.00 ," 1,600.00 "," 820,188.62 "," 247,833 "," 175,541,064.25 "," 3,134,729.03 "," 5,890.96 "," 329,886.73 "," 902,242.35 "," 934,023.49 "," 971,384.43 ","69,142.08"," 971,384.43 ",," 1,219,217.43 ",,,,,,,,,,,,,,,
125,Danville,TRUE,125,Danville, 560.95 ," 2,299,906.07 ", 91.52 ," 210,501.75 ", 130.00 ," 273,009.45 ", 2.00 ," 1,600.00 "," 2,785,017.27 "," 869,238 "," 625,170,933.15 "," 6,830,789.51 ", -   , -   ," 1,915,779.27 "," 2,662,309.05 "," 2,768,801.41 ","853,022.14"," 2,768,801.41 ",," 3,638,039.41 ",,,,,,,,,,,,,,,
127,Deerfield,TRUE,127,Deerfield, 664.81 ," 2,725,712.39 ", 91.52 ," 210,491.86 ", 142.39 ," 299,012.91 ", 1.00 , 800.00 ," 3,236,017.16 "," 1,171,507 "," 919,510,826.81 "," 10,047,300.17 ", -   , -   ," 2,064,510.16 "," 2,167,249.40 "," 2,253,939.38 ","189,429.22"," 2,253,939.38 ",," 3,425,446.38 ",,,,,,,,,,,,,,,
129,Deering,TRUE,129,Deering, 176.50 ," 723,649.18 ", 69.90 ," 160,775.98 ", 39.95 ," 83,888.07 ", 0.89 , 713.12 ," 969,026.35 "," 415,791 "," 307,738,285.75 "," 4,402,386.83 "," 3,735.94 "," 261,152.09 "," 814,387.44 "," 855,418.12 "," 889,634.84 ","75,247.40"," 889,634.84 ",," 1,305,425.84 ",,,,,,,,,,,,,,,
131,Derry,TRUE,131,Derry," 4,568.08 "," 18,729,140.71 "," 1,048.33 "," 2,411,158.31 "," 1,071.52 "," 2,250,199.98 ", 40.92 ," 32,739.60 "," 23,423,238.60 "," 6,702,695 "," 4,723,465,740.92 "," 4,505,706.31 "," 3,560.30 "," 3,732,367.47 "," 20,452,911.07 "," 24,175,956.90 "," 25,142,995.18 ","4,690,084.11"," 25,142,995.18 ",," 31,845,690.18 ",,,,,,,,,,,,,,,
133,Dix's Grant,TRUE,133,Dix's Grant, -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,825 "," 1,267,208.50 ", -   ,  , -   , -   , -   , -   ,0.00, -   ,," 1,825.00 ",,,,,,,,,,,,,,,
134,Dixville,TRUE,134,Dixville, -   , -   , -   , -   , -   , -   , -   , -   , -   ," 14,591 "," 33,091,226.69 ", -   ,  , -   , -   , -   , -   ,0.00, -   ,," 14,591.00 ",,,,,,,,,,,,,,,
139,Dorchester,TRUE,139,Dorchester, 34.28 ," 140,561.12 ", 13.62 ," 31,331.06 ", 9.68 ," 20,334.93 ", 1.77 ," 1,413.28 "," 193,640.39 "," 86,276 "," 61,383,017.60 "," 4,506,101.63 "," 3,559.63 "," 48,489.95 "," 155,854.34 "," 264,571.82 "," 275,154.69 ","119,300.35"," 275,154.69 ",," 361,430.69 ",,,,,,,,,,,,,,,
141,Dover,TRUE,141,Dover," 3,421.13 "," 14,026,619.47 "," 1,023.40 "," 2,353,811.03 ", 750.21 ," 1,575,442.05 ", 110.46 ," 88,368.72 "," 18,044,241.27 "," 7,120,667 "," 5,051,014,116.74 "," 4,935,541.69 "," 2,829.58 "," 2,895,780.24 "," 13,819,354.51 "," 10,191,730.32 "," 10,599,399.53 ",0.00," 13,819,354.51 ",," 20,940,021.51 ",,,,,,,,,,,,,,,
143,Dublin,TRUE,143,Dublin, 135.62 ," 556,048.15 ", 32.82 ," 75,496.12 ", 25.16 ," 52,837.89 ", 1.89 ," 1,514.72 "," 685,896.88 "," 460,734 "," 325,449,717.04 "," 9,914,871.77 ", -   , -   ," 225,162.88 "," 175,204.67 "," 182,212.86 ",0.00," 225,162.88 ",," 685,896.88 ",,,,,,,,,,,,,,,
147,Dummer,TRUE,147,Dummer, 27.87 ," 114,267.82 ", 6.03 ," 13,865.32 ", 5.84 ," 12,267.78 ", -   , -   ," 140,400.92 "," 59,488 "," 104,632,280.58 "," 17,356,559.05 ", -   , -   ," 80,912.92 "," 110,708.85 "," 115,137.20 ","34,224.28"," 115,137.20 ",," 174,625.20 ",,,,,,,,,,,,,,,
149,Dunbarton,TRUE,149,Dunbarton, 470.50 ," 1,929,061.07 ", 29.71 ," 68,322.88 ", 81.56 ," 171,283.77 ", -   , -   ," 2,168,667.72 "," 703,348 "," 522,283,548.66 "," 17,581,989.55 ", -   , -   ," 1,465,319.72 "," 1,351,766.93 "," 1,405,837.61 ",0.00," 1,465,319.72 ",," 2,168,667.72 ",,,,,,,,,,,,,,,
151,Durham,TRUE,151,Durham, 907.16 ," 3,719,336.73 ", 51.99 ," 119,579.30 ", 138.42 ," 290,678.64 ", 17.80 ," 14,236.00 "," 4,143,830.67 "," 2,431,391 "," 1,799,956,128.82 "," 34,620,532.95 ", -   , -   ," 1,712,439.67 "," 1,476,723.72 "," 1,535,792.67 ",0.00," 1,712,439.67 ",," 4,143,830.67 ",,,,,,,,,,,,,,,
153,East Kingston,TRUE,153,East Kingston, 300.20 ," 1,230,825.74 ", 23.65 ," 54,400.06 ", 62.11 ," 130,437.93 ", 1.14 , 915.52 ," 1,416,579.25 "," 657,387 "," 488,798,970.75 "," 20,666,110.16 ", -   , -   ," 759,192.25 "," 694,133.83 "," 721,899.18 ",0.00," 759,192.25 ",," 1,416,579.25 ",,,,,,,,,,,,,,,
155,Easton,TRUE,155,Easton, 22.34 ," 91,605.07 ", 4.00 ," 9,200.00 ", 2.00 ," 4,200.00 ", -   , -   ," 105,005.07 "," 150,305 "," 106,308,228.66 "," 26,577,057.16 ", -   , -   , -   , -   , -   ,0.00, -   ,," 150,305.00 ",,,,,,,,,,,,,,,
159,Eaton,TRUE,159,Eaton, 28.00 ," 114,800.00 ", 13.00 ," 29,900.00 ", 5.00 ," 10,500.00 ", -   , -   ," 155,200.00 "," 213,385 "," 149,780,782.08 "," 11,521,598.62 ", -   , -   , -   , -   , -   ,0.00, -   ,," 213,385.00 ",,,,,,,,,,,,,,,
161,Effingham,TRUE,161,Effingham, 194.91 ," 799,121.98 ", 87.09 ," 200,309.99 ", 33.11 ," 69,528.27 ", -   , -   ," 1,068,960.24 "," 379,995 "," 271,477,032.36 "," 3,117,154.44 "," 5,920.84 "," 515,653.43 "," 1,204,618.67 "," 964,490.31 "," 1,003,069.92 ",0.00," 1,204,618.67 ",," 1,584,613.67 ",,,,,,,,,,,,,,,
162,Ellsworth,TRUE,162,Ellsworth, 11.24 ," 46,102.04 ", 4.90 ," 11,270.00 ", 1.00 ," 2,100.00 ", -   , -   ," 59,472.04 "," 30,391 "," 21,625,182.16 "," 4,413,302.48 "," 3,717.39 "," 18,215.19 "," 47,296.23 "," 49,660.61 "," 51,647.03 ","4,350.80"," 51,647.03 ",," 82,038.03 ",,,,,,,,,,,,,,,
163,Enfield,TRUE,163,Enfield, 411.45 ," 1,686,936.80 ", 120.68 ," 277,562.85 ", 102.58 ," 215,421.99 ", 4.35 ," 3,480.00 "," 2,183,401.64 "," 1,167,181 "," 824,053,224.26 "," 6,828,444.14 ", -   , -   ," 1,016,220.64 "," 947,432.60 "," 985,329.90 ",0.00," 1,016,220.64 ",," 2,183,401.64 ",,,,,,,,,,,,,,,
165,Epping,TRUE,165,Epping, 835.26 ," 3,424,571.74 ", 184.46 ," 424,259.38 ", 146.45 ," 307,551.30 ", 6.82 ," 5,456.64 "," 4,161,839.06 "," 1,720,636 "," 1,218,722,145.37 "," 6,606,951.00 ", -   , -   ," 2,441,203.06 "," 3,064,152.24 "," 3,186,718.33 ","745,515.27"," 3,186,718.33 ",," 4,907,354.33 ",,,,,,,,,,,,,,,
167,Epsom,TRUE,167,Epsom, 555.69 ," 2,278,309.73 ", 104.60 ," 240,568.73 ", 106.80 ," 224,286.51 ", 1.00 , 800.00 ," 2,743,964.97 "," 930,389 "," 656,354,276.65 "," 6,275,191.44 ", 552.17 ," 57,754.75 "," 1,871,330.72 "," 2,610,703.12 "," 2,715,131.24 ","843,800.52"," 2,715,131.24 ",," 3,645,520.24 ",,,,,,,,,,,,,,,
171,Errol,TRUE,171,Errol, 19.09 ," 78,287.04 ", 1.09 ," 2,517.12 ", 1.00 ," 2,100.00 ", -   , -   ," 82,904.16 "," 163,625 "," 126,218,133.69 "," 115,330,897.01 ", -   , -   , -   , -   , -   ,0.00, -   ,," 163,625.00 ",,,,,,,,,,,,,,,
173,Exeter,TRUE,173,Exeter," 1,834.19 "," 7,520,169.57 ", 259.24 ," 596,243.72 ", 346.92 ," 728,526.54 ", 29.98 ," 23,986.64 "," 8,868,926.47 "," 4,107,612 "," 2,908,870,262.06 "," 11,220,917.52 ", -   , -   ," 4,761,314.47 "," 4,125,955.82 "," 4,290,994.05 ",0.00," 4,761,314.47 ",," 8,868,926.47 ",,,,,,,,,,,,,,,
175,Farmington,TRUE,175,Farmington, 743.30 ," 3,047,547.63 ", 311.35 ," 716,107.07 ", 149.64 ," 314,246.73 ", 2.00 ," 1,600.00 "," 4,079,501.43 "," 1,077,291 "," 766,078,238.21 "," 2,460,497.91 "," 7,037.15 "," 2,191,024.09 "," 5,193,234.52 "," 5,846,857.74 "," 6,080,732.05 ","887,497.53"," 6,080,732.05 ",," 7,158,023.05 ",,,,,,,,,,,,,,,
177,Fitzwilliam,TRUE,177,Fitzwilliam, 230.78 ," 946,182.01 ", 49.02 ," 112,739.79 ", 53.03 ," 111,373.29 ", -   , -   ," 1,170,295.09 "," 494,965 "," 402,470,735.67 "," 8,210,789.57 ", -   , -   ," 675,330.09 "," 821,365.27 "," 854,219.88 ","178,889.79"," 854,219.88 ",," 1,349,184.88 ",,,,,,,,,,,,,,,
179,Francestown,TRUE,179,Francestown, 145.98 ," 598,528.25 ", 30.02 ," 69,039.56 ", 22.89 ," 48,070.68 ", -   , -   ," 715,638.49 "," 395,709 "," 278,925,794.82 "," 9,292,198.97 ", -   , -   ," 319,929.49 "," 434,712.91 "," 452,101.43 ","132,171.94"," 452,101.43 ",," 847,810.43 ",,,,,,,,,,,,,,,
183,Franconia,TRUE,183,Franconia, 91.85 ," 376,581.72 ", 19.59 ," 45,045.73 ", 11.00 ," 23,100.00 ", 1.00 , 800.00 ," 445,527.45 "," 618,684 "," 434,700,229.14 "," 22,195,456.20 ", -   , -   , -   , -   , -   ,0.00, -   ,," 618,684.00 ",,,,,,,,,,,,,,,
185,Franklin,TRUE,185,Franklin, 904.07 ," 3,706,691.92 ", 535.22 ," 1,231,011.52 ", 290.28 ," 609,581.91 ", 7.30 ," 5,843.76 "," 5,553,129.11 "," 1,217,843 "," 944,868,950.89 "," 1,765,376.32 "," 8,218.86 "," 4,398,918.11 "," 8,734,204.22 "," 8,581,693.46 "," 8,924,961.20 ","190,756.98"," 8,924,961.20 ",," 10,142,804.20 ",,,,,,,,,,,,,,,
187,Freedom,TRUE,187,Freedom, 104.90 ," 430,081.80 ", 38.83 ," 89,305.32 ", 31.00 ," 65,100.00 ", 1.85 ," 1,479.92 "," 585,967.04 "," 1,261,982 "," 884,262,981.98 "," 22,773,613.69 ", -   , -   , -   , -   , -   ,0.00, -   ,," 1,261,982.00 ",,,,,,,,,,,,,,,
189,Fremont,TRUE,189,Fremont, 529.47 ," 2,170,816.34 ", 59.58 ," 137,030.78 ", 107.92 ," 226,629.48 ", 1.00 , 800.00 ," 2,535,276.60 "," 1,004,599 "," 709,145,741.00 "," 11,902,692.26 ", -   , -   ," 1,530,677.60 "," 1,365,704.75 "," 1,420,332.94 ",0.00," 1,530,677.60 ",," 2,535,276.60 ",,,,,,,,,,,,,,,
191,Gilford,TRUE,191,Gilford, 923.21 ," 3,785,157.72 ", 151.71 ," 348,927.71 ", 134.78 ," 283,044.09 ", 3.00 ," 2,400.00 "," 4,419,529.52 "," 4,162,269 "," 2,914,073,078.56 "," 19,208,471.81 ", -   , -   ," 257,260.52 ", -   , -   ,0.00," 257,260.52 ",," 4,419,529.52 ",,,,,,,,,,,,,,,
195,Gilmanton,TRUE,195,Gilmanton, 554.06 ," 2,271,626.32 ", 84.47 ," 194,281.46 ", 59.31 ," 124,553.73 ", 1.00 , 800.00 ," 2,591,261.51 "," 1,022,665 "," 721,956,877.16 "," 8,546,882.54 ", -   , -   ," 1,568,596.51 "," 1,403,657.77 "," 1,459,804.08 ",0.00," 1,568,596.51 ",," 2,591,261.51 ",,,,,,,,,,,,,,,
197,Gilsum,TRUE,197,Gilsum, 63.94 ," 262,161.38 ", 37.94 ," 87,266.14 ", 12.94 ," 27,177.78 ", 1.00 , 800.00 ," 377,405.30 "," 117,170 "," 84,775,590.70 "," 2,234,358.69 "," 7,421.59 "," 281,588.49 "," 541,823.79 "," 544,212.78 "," 565,981.29 ","24,157.50"," 565,981.29 ",," 683,151.29 ",,,,,,,,,,,,,,,
199,Goffstown,TRUE,199,Goffstown," 2,151.73 "," 8,822,088.90 ", 331.81 ," 763,165.07 ", 468.39 ," 983,621.52 ", 34.26 ," 27,408.96 "," 10,596,284.45 "," 3,394,811 "," 2,477,515,368.36 "," 7,466,648.53 ", -   , -   ," 7,201,473.45 "," 7,539,444.29 "," 7,841,022.06 ","639,548.61"," 7,841,022.06 ",," 11,235,833.06 ",,,,,,,,,,,,,,,
201,Gorham,TRUE,201,Gorham, 321.50 ," 1,318,131.14 ", 86.05 ," 197,912.24 ", 66.18 ," 138,987.66 ", 1.00 , 800.00 ," 1,655,831.04 "," 397,185 "," 355,591,259.00 "," 4,132,437.16 "," 4,194.86 "," 360,962.40 "," 1,619,608.44 "," 1,978,835.01 "," 2,057,988.41 ","438,379.97"," 2,057,988.41 ",," 2,455,173.41 ",,,,,,,,,,,,,,,
203,Goshen,TRUE,203,Goshen, 74.16 ," 304,068.30 ", 21.20 ," 48,749.19 ", 12.43 ," 26,100.06 ", 1.00 , 800.00 ," 379,717.55 "," 146,750 "," 104,739,768.30 "," 4,941,650.66 "," 2,819.19 "," 59,753.66 "," 292,721.21 "," 441,170.46 "," 458,817.28 ","166,096.07"," 458,817.28 ",," 605,567.28 ",,,,,,,,,,,,,,,
209,Grafton,TRUE,209,Grafton, 146.52 ," 600,718.88 ", 66.09 ," 152,017.58 ", 42.68 ," 89,623.38 ", -   , -   ," 842,359.84 "," 242,810 "," 173,328,394.49 "," 2,622,428.98 "," 6,761.87 "," 446,923.14 "," 1,046,472.98 "," 842,149.37 "," 875,835.34 ",0.00," 1,046,472.98 ",," 1,289,282.98 ",,,,,,,,,,,,,,,
211,Grantham,TRUE,211,Grantham, 444.76 ," 1,823,500.01 ", 26.92 ," 61,922.21 ", 52.69 ," 110,649.42 ", 3.53 ," 2,827.36 "," 1,998,899.00 "," 1,006,543 "," 706,458,099.65 "," 26,240,239.64 ", -   , -   ," 992,356.00 "," 829,791.24 "," 862,982.89 ",0.00," 992,356.00 ",," 1,998,899.00 ",,,,,,,,,,,,,,,
213,Greenfield,TRUE,213,Greenfield, 196.40 ," 805,234.26 ", 41.34 ," 95,071.42 ", 42.09 ," 88,385.22 ", 1.00 , 800.00 ," 989,490.90 "," 321,509 "," 228,272,781.69 "," 5,522,452.47 "," 1,831.83 "," 75,719.46 "," 743,701.36 "," 925,986.74 "," 963,026.21 ","219,324.85"," 963,026.21 ",," 1,284,535.21 ",,,,,,,,,,,,,,,
215,Greenland,TRUE,215,Greenland, 539.47 ," 2,211,813.47 ", 18.54 ," 42,635.10 ", 72.05 ," 151,307.10 ", 4.00 ," 3,200.00 "," 2,408,955.67 "," 1,672,024 "," 1,200,327,257.02 "," 64,753,048.34 ", -   , -   ," 736,931.67 "," 615,499.03 "," 640,118.99 ",0.00," 736,931.67 ",," 2,408,955.67 ",,,,,,,,,,,,,,,
219,Greenville,TRUE,219,Greenville, 217.89 ," 893,346.95 ", 84.47 ," 194,269.50 ", 43.81 ," 91,997.43 ", 1.00 , 800.00 ," 1,180,413.88 "," 236,910 "," 172,897,334.72 "," 2,046,970.16 "," 7,740.15 "," 653,771.83 "," 1,597,275.71 "," 2,108,678.05 "," 2,193,025.17 ","595,749.46"," 2,193,025.17 ",," 2,429,935.17 ",,,,,,,,,,,,,,,
221,Groton,TRUE,221,Groton, 41.20 ," 168,920.00 ", 20.00 ," 46,000.00 ", 6.00 ," 12,600.00 ", -   , -   ," 227,520.00 "," 138,348 "," 207,437,077.98 "," 10,371,853.90 ", -   , -   ," 89,172.00 "," 285,464.84 "," 296,883.43 ","207,711.43"," 296,883.43 ",," 435,231.43 ",,,,,,,,,,,,,,,
222,Hale's Location,TRUE,222,Hale's Location, 4.92 ," 20,181.02 ", -   , -   , -   , -   , -   , -   ," 20,181.02 "," 138,680 "," 96,730,763.33 ", -   ,  , -   , -   , -   , -   ,0.00, -   ,," 138,680.00 ",,,,,,,,,,,,,,,
223,Hampstead,TRUE,223,Hampstead," 1,125.22 "," 4,613,413.89 ", 87.54 ," 201,346.83 ", 238.76 ," 501,392.85 ", 7.91 ," 6,327.60 "," 5,322,481.17 "," 2,464,151 "," 1,728,882,958.21 "," 19,749,160.21 ", -   , -   ," 2,858,330.17 "," 2,420,341.70 "," 2,517,155.37 ",0.00," 2,858,330.17 ",," 5,322,481.17 ",,,,,,,,,,,,,,,
225,Hampton,TRUE,225,Hampton," 1,444.19 "," 5,921,179.00 ", 239.62 ," 551,131.98 ", 253.95 ," 533,301.72 ", 37.22 ," 29,774.80 "," 7,035,387.50 "," 7,156,310 "," 5,147,321,858.04 "," 21,480,953.21 ", -   , -   , -   , -   , -   ,0.00, -   ,," 7,156,310.00 ",,,,,,,,,,,,,,,
227,Hampton Falls,TRUE,227,Hampton Falls, 289.33 ," 1,186,260.79 ", 16.59 ," 38,145.50 ", 56.56 ," 118,766.34 ", 3.92 ," 3,134.16 "," 1,346,306.79 "," 940,421 "," 662,884,049.06 "," 39,968,890.51 ", -   , -   ," 405,885.79 "," 322,113.11 "," 334,997.63 ",0.00," 405,885.79 ",," 1,346,306.79 ",,,,,,,,,,,,,,,
231,Hancock,TRUE,231,Hancock, 143.94 ," 590,161.38 ", 25.03 ," 57,579.35 ", 27.88 ," 58,546.53 ", 1.00 , 800.00 ," 707,087.26 "," 453,494 "," 323,312,139.03 "," 12,914,663.33 ", -   , -   ," 253,593.26 "," 341,798.75 "," 355,470.70 ","101,877.44"," 355,470.70 ",," 808,964.70 ",,,,,,,,,,,,,,,
233,Hanover,TRUE,233,Hanover," 1,085.26 "," 4,449,554.52 ", 43.00 ," 98,903.68 ", 155.75 ," 327,072.90 ", 33.92 ," 27,135.68 "," 4,902,666.78 "," 4,109,734 "," 2,870,474,277.41 "," 66,752,731.93 ", -   , -   ," 792,932.78 "," 522,773.52 "," 543,684.46 ",0.00," 792,932.78 ",," 4,902,666.78 ",,,,,,,,,,,,,,,
235,Harrisville,TRUE,235,Harrisville, 76.17 ," 312,315.04 ", 14.95 ," 34,376.95 ", 10.50 ," 22,050.00 ", -   , -   ," 368,741.99 "," 459,439 "," 322,601,375.12 "," 21,583,740.35 ", -   , -   , -   , -   , -   ,0.00, -   ,," 459,439.00 ",,,,,,,,,,,,,,,
236,Hart's Location,TRUE,236,Hart's Location, 1.23 ," 5,056.94 ", 1.23 ," 2,836.82 ", 0.12 , 245.07 , -   , -   ," 8,138.83 "," 34,137 "," 24,365,705.60 "," 19,754,909.68 ", -   , -   , -   , -   , -   ,0.00, -   ,," 34,137.00 ",,,,,,,,,,,,,,,
238,Haverhill,TRUE,238,Haverhill, 529.96 ," 2,172,817.96 ", 212.03 ," 487,668.08 ", 117.14 ," 245,990.43 ", 2.00 ," 1,600.00 "," 2,908,076.47 "," 617,305 "," 463,292,553.41 "," 2,185,037.15 "," 7,505.44 "," 1,591,374.77 "," 3,882,146.24 "," 4,403,299.46 "," 4,579,431.44 ","697,285.20"," 4,579,431.44 ",," 5,196,736.44 ",,,,,,,,,,,,,,,
243,Hebron,TRUE,243,Hebron, 48.06 ," 197,027.96 ", 11.00 ," 25,300.00 ", 9.50 ," 19,950.00 ", -   , -   ," 242,277.96 "," 590,518 "," 415,788,142.52 "," 37,798,922.05 ", -   , -   , -   , -   , -   ,0.00, -   ,," 590,518.00 ",,,,,,,,,,,,,,,
245,Henniker,TRUE,245,Henniker, 548.23 ," 2,247,731.11 ", 103.27 ," 237,514.56 ", 103.30 ," 216,936.93 ", -   , -   ," 2,702,182.60 "," 923,399 "," 657,499,651.49 "," 6,366,974.72 ", 396.14 ," 40,908.58 "," 1,819,692.18 "," 2,482,961.86 "," 2,582,280.33 ","762,588.15"," 2,582,280.33 ",," 3,505,679.33 ",,,,,,,,,,,,,,,
247,Hill,TRUE,247,Hill, 104.19 ," 427,168.34 ", 35.15 ," 80,845.00 ", 18.23 ," 38,274.18 ", -   , -   ," 546,287.52 "," 173,517 "," 126,305,391.45 "," 3,593,325.50 "," 5,111.35 "," 179,663.83 "," 552,434.35 "," 405,583.21 "," 421,806.54 ",0.00," 552,434.35 ",," 725,951.35 ",,,,,,,,,,,,,,,
249,Hillsboro,TRUE,249,Hillsboro, 748.99 ," 3,070,864.74 ", 309.27 ," 711,315.25 ", 184.43 ," 387,294.39 ", 10.26 ," 8,204.08 "," 4,177,678.46 "," 1,057,438 "," 794,346,079.04 "," 2,568,475.77 "," 6,853.59 "," 2,119,593.02 "," 5,239,833.48 "," 5,416,237.89 "," 5,632,887.41 ","393,053.93"," 5,632,887.41 ",," 6,690,325.41 ",,,,,,,,,,,,,,,
255,Hinsdale,TRUE,255,Hinsdale, 507.33 ," 2,080,042.75 ", 203.71 ," 468,535.53 ", 120.30 ," 252,629.58 ", 1.45 ," 1,160.00 "," 2,802,367.86 "," 485,203 "," 507,913,971.52 "," 2,493,305.33 "," 6,981.38 "," 1,422,184.79 "," 3,739,349.65 "," 4,665,202.89 "," 4,851,811.01 ","1,112,461.36"," 4,851,811.01 ",," 5,337,014.01 ",,,,,,,,,,,,,,,
257,Holderness,TRUE,257,Holderness, 219.70 ," 900,763.44 ", 36.56 ," 84,086.85 ", 30.28 ," 63,590.94 ", 2.00 ," 1,600.00 "," 1,050,041.23 "," 1,528,643 "," 1,081,105,978.61 "," 29,571,136.88 ", -   , -   , -   , -   , -   ,0.00, -   ,," 1,528,643.00 ",,,,,,,,,,,,,,,
259,Hollis,TRUE,259,Hollis," 1,257.68 "," 5,156,483.08 ", 44.11 ," 101,456.45 ", 174.97 ," 367,427.97 ", 31.27 ," 25,012.96 "," 5,650,380.46 "," 2,802,370 "," 1,970,705,674.54 "," 44,675,553.42 ", -   , -   ," 2,848,010.46 "," 2,467,358.01 "," 2,566,052.33 ",0.00," 2,848,010.46 ",," 5,650,380.46 ",,,,,,,,,,,,,,,
261,Hooksett,TRUE,261,Hooksett," 1,894.16 "," 7,766,045.75 ", 303.37 ," 697,745.71 ", 355.31 ," 746,140.92 ", 35.40 ," 28,316.32 "," 9,238,248.70 "," 3,785,751 "," 2,770,520,004.39 "," 9,132,547.74 ", -   , -   ," 5,452,497.70 "," 4,638,369.19 "," 4,823,903.96 ",0.00," 5,452,497.70 ",," 9,238,248.70 ",,,,,,,,,,,,,,,
263,Hopkinton,TRUE,263,Hopkinton, 899.93 ," 3,689,731.86 ", 64.92 ," 149,312.32 ", 173.17 ," 363,655.32 ", -   , -   ," 4,202,699.50 "," 1,396,358 "," 1,007,373,581.70 "," 15,517,535.58 ", -   , -   ," 2,806,341.50 "," 2,607,876.76 "," 2,712,191.83 ",0.00," 2,806,341.50 ",," 4,202,699.50 ",,,,,,,,,,,,,,,
267,Hudson,TRUE,267,Hudson," 2,961.67 "," 12,142,828.96 ", 486.92 ," 1,119,906.11 ", 479.70 ," 1,007,375.25 ", 55.49 ," 44,395.60 "," 14,314,505.92 "," 6,136,479 "," 4,453,139,078.47 "," 9,145,605.86 ", -   , -   ," 8,178,026.92 "," 7,331,854.65 "," 7,625,128.84 ",0.00," 8,178,026.92 ",," 14,314,505.92 ",,,,,,,,,,,,,,,
271,Jackson,TRUE,271,Jackson, 76.61 ," 314,085.01 ", 8.77 ," 20,176.06 ", 17.77 ," 37,321.62 ", 0.16 , 124.40 ," 371,707.09 "," 903,235 "," 631,597,360.10 "," 71,999,881.45 ", -   , -   , -   , -   , -   ,0.00, -   ,," 903,235.00 ",,,,,,,,,,,,,,,
273,Jaffrey,TRUE,273,Jaffrey, 607.82 ," 2,492,061.18 ", 212.20 ," 488,053.33 ", 148.26 ," 311,339.91 ", 3.99 ," 3,195.36 "," 3,294,649.78 "," 1,037,606 "," 734,944,087.23 "," 3,463,497.32 "," 5,332.05 "," 1,131,446.51 "," 3,388,490.29 "," 3,402,627.18 "," 3,538,732.27 ","150,241.98"," 3,538,732.27 ",," 4,576,338.27 ",,,,,,,,,,,,,,,
275,Jefferson,TRUE,275,Jefferson, 106.02 ," 434,693.89 ", 45.87 ," 105,490.42 ", 14.00 ," 29,400.00 ", -   , -   ," 569,584.31 "," 238,647 "," 174,804,443.70 "," 3,811,248.65 "," 4,740.88 "," 217,442.23 "," 548,379.54 "," 543,176.12 "," 564,903.16 ","16,523.62"," 564,903.16 ",," 803,550.16 ",,,,,,,,,,,,,,,
279,Keene,TRUE,279,Keene," 2,262.58 "," 9,276,566.11 ", 863.77 ," 1,986,664.56 ", 468.48 ," 983,808.84 ", 43.34 ," 34,668.32 "," 12,281,707.83 "," 3,330,484 "," 2,430,594,339.82 "," 2,813,946.10 "," 6,436.29 "," 5,559,457.61 "," 14,510,681.44 "," 12,465,382.74 "," 12,963,998.05 ",0.00," 14,510,681.44 ",," 17,841,165.44 ",,,,,,,,,,,,,,,
