,,,,"June 29, 2007",,,
,NEW HAMPSHIRE DEPARTMENT OF EDUCATION,,,,,,
,DIVISION OF PROGRAM SUPPORT,,,,,,
,OFFICE OF SCHOOL BUILDING AID,,,,,,
,,,,,,,
,BUILDING AID DISTRIBUTION 2006-2007,,,,,,
,,,,,,,
, ,FY2007,FY2006 ,Total,,,
,District,@ 93.49451%,Shortfall,Entitlement,,,
,Merrimack," 427,812.96 "," 10,796.80 "," 438,609.76 ",,,
,Merrimack Valley," 1,728,514.20 "," 41,735.76 "," 1,770,249.96 ",,,
,Milan," 66,035.08 "," 1,593.96 "," 67,629.04 ",,,
,Milford," 391,396.54 "," 7,398.18 "," 398,794.72 ",,,
,,,,,,,
,Milton," 228,419.80 "," 1,591.05 "," 230,010.85 ",,,
,Monadnock Regional," 288,620.69 "," 3,960.43 "," 292,581.12 ",,,
,Mont Vernon," 118,875.85 "," 1,264.09 "," 120,139.94 ",,,
,Moultonborough," 193,385.93 "," 4,449.85 "," 197,835.78 ",,,
,Nashua," 3,045,421.44 "," 78,259.68 "," 3,123,681.12 ",,,
,,,,,,,
,Nelson, -   , 431.35 , 431.35 ,,,
,New Boston," 53,475.08 "," 1,434.82 "," 54,909.90 ",,,
,New Castle, -   , 354.62 , 354.62 ,,,
,Newfields," 46,097.15 "," 1,112.71 "," 47,209.86 ",,,
,Newfound Area," 7,227.54 ", 174.46 ," 7,402.00 ",,,
,,,,,,,
,Newmarket," 147,834.61 "," 3,568.44 "," 151,403.05 ",,,
,Newport," 47,228.29 "," 1,140.00 "," 48,368.29 ",,,
,North Hampton," 99,900.17 "," 2,274.78 "," 102,174.95 ",,,
,Northumberland," 17,945.25 ", 650.56 ," 18,595.81 ",,,
,Northwood," 89,590.38 "," 2,196.70 "," 91,787.08 ",,,
,,,,,,,
,Nottingham," 1,698.04 ", -   ," 1,698.04 ",,,
,Oyster River Coop," 721,643.79 "," 17,316.61 "," 738,960.40 ",,,
,Pelham," 292,912.73 "," 7,104.50 "," 300,017.23 ",,,
,Pembroke," 345,282.22 "," 8,334.44 "," 353,616.66 ",,,
,Pemi-Baker Regional," 21,106.31 ", 509.40 ," 21,615.71 ",,,
,,,,,,,
,Piermont," 11,320.30 ", 273.25 ," 11,593.55 ",,,
,Pittsburg," 95,362.98 "," 1,808.41 "," 97,171.39 ",,,
,Pittsfield," 148,235.08 "," 3,578.12 "," 151,813.20 ",,,
,Plainfield," 26,382.92 ", 670.99 ," 27,053.91 ",,,
,Plymouth," 17,760.06 ", 428.69 ," 18,188.75 ",,,
,,,,,,,
,Portsmouth," 958,661.76 "," 23,140.24 "," 981,802.00 ",,,
,Raymond," 590,910.37 "," 5,781.12 "," 596,691.49 ",,,
,Rivendell/Orford," 87,364.55 "," 2,108.82 "," 89,473.37 ",,,
,Rochester," 1,143,598.96 "," 11,417.14 "," 1,155,016.10 ",,,
,Rye," 91,380.28 "," 2,205.74 "," 93,586.02 ",,,
,,,,,,,
,Salem," 187,857.66 "," 4,779.69 "," 192,637.35 ",,,
,Sanborn Regional," 1,055,727.43 "," 25,507.33 "," 1,081,234.76 ",,,
,Shaker Regional," 223,656.91 "," 5,398.65 "," 229,055.56 ",,,
,Somersworth," 172,826.48 "," 4,091.24 "," 176,917.72 ",,,
,Souhegan Cooperative," 329,718.77 "," 8,313.88 "," 338,032.65 ",,,
,,,,,,,
,South Hampton," 33,624.36 ", 777.47 ," 34,401.83 ",,,
,Stewartstown," 16,118.45 ", 389.08 ," 16,507.53 ",,,
,Stoddard," 14,150.37 ", 341.56 ," 14,491.93 ",,,
,Strafford," 22,381.32 ", 276.47 ," 22,657.79 ",,,
,Stratham," 120,679.96 "," 2,912.99 "," 123,592.95 ",,,
,,,,,,,
,Sunapee," 112,429.85 "," 2,669.19 "," 115,099.04 ",,,
,Tamworth," 89,095.51 "," 2,116.44 "," 91,211.95 ",,,
,Thornton," 61,053.20 "," 1,472.71 "," 62,525.91 ",,,
,Timberlane Regional," 987,157.00 "," 23,681.67 "," 1,010,838.67 ",,,
,Wakefield," 60,321.01 "," 1,455.97 "," 61,776.98 ",,,
,,,,,,,
,Warren," 6,311.07 ", 152.34 ," 6,463.41 ",,,
,Washington," 18,573.06 ", 448.32 ," 19,021.38 ",,,
,Waterville Valley," 42,946.66 ", 444.03 ," 43,390.69 ",,,
,Weare," 374,519.73 ", 317.36 ," 374,837.09 ",,,
,Wentworth, -   , 348.65 , 348.65 ,,,
,,,,,,,
,Westmoreland," 15,566.18 ",1375.72," 16,941.90 ",,,
,White Mountains Regional," 467,927.34 ",10335.88," 478,263.22 ",,,
,Wilton-Lyndeboro," 122,642.64 ",2960.21," 125,602.85 ",,,
,Winchester," 53,707.29 ",1296.33," 55,003.62 ",,,
,Windham," 969,983.76 ",5388.25," 975,372.01 ",,,
,Winnacunnet Cooperative," 411,918.90 ",9598.59," 421,517.49 ",,,
,Winnisquam Regional," 626,128.57 ",15315.1," 641,443.67 ",,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
