,,,,,,,,
,,Note: ,For towns that are part of two school districts.,,,,,
,,,,,,,,
,,,,,Final FY2018,$2.260 ,Grant,
,,,,,Total Adequacy,Retained,and  ,
Dist,Loc,District/Town,,,Grant,State Tax, State Tax,
,,,,,,,,
17,17,Amherst School District                     ,,," 2,162,116.60 "," 2,408,389 "," 4,570,505.60 ",
23,23,Ashland School District                      ,,," 544,898.31 "," 347,431 "," 892,329.31 ",
53,53,Bethlehem  School District                      ,,," 616,156.26 "," 260,223 "," 876,379.26 ",
63,63,Brentwood School District                      ,,," 736,506.96 "," 467,570 "," 1,204,076.96 ",
71,71,Brookline  School District    ,,," 1,822,440.50 "," 546,979 "," 2,369,419.50 ",
75,75,Campton School District                    ,,," 1,105,944.76 "," 573,468 "," 1,679,412.76 ",
142,0,Dresden (Hanover),,, -   ," 2,801,464 "," 2,801,464.00 ",
153,153,East Kingston School District          ,,," 307,114.69 "," 263,085 "," 570,199.69 ",
,,,,,,,,
172,63,Exeter Reg Coop (Brentwood),,," 1,165,137.65 "," 791,029 "," 1,956,166.65 ",
172,153,Exeter Reg Coop (East Kingston),,," 526,529.97 "," 446,995 "," 973,524.97 ",
172,173,Exeter Reg Coop (Exeter),,," 2,722,499.66 "," 2,274,619 "," 4,997,118.66 ",
172,281,Exeter Reg Coop (Kensington),,," 423,483.89 "," 475,567 "," 899,050.89 ",
172,387,Exeter Reg Coop (Newfields),,," 292,977.90 "," 331,110 "," 624,087.90 ",
172,511,Exeter Regional Coop (Stratham),,," 1,133,675.63 "," 1,668,194 "," 2,801,869.63 ",
,,,,," 6,264,304.70 "," 5,987,514.00 "," 12,251,818.70 ",
,,,,,,,,
173,173,Exeter  School District                 ,,," 2,133,903.58 "," 1,705,467 "," 3,839,370.58 ",
225,225,Hampton School District    ,,, -   ," 4,777,402 "," 4,777,402.00 ",
227,227,Hampton Falls School District                ,,," 216,538.15 "," 701,494 "," 918,032.15 ",
233,233,Hanover School District                          ,,, -   ," 2,337,894 "," 2,337,894.00 ",
245,245,Henniker School District               ,,," 1,516,366.36 "," 588,291 "," 2,104,657.36 ",
257,257,Holderness School District               ,,, -   ," 1,030,835 "," 1,030,835.00 ",
259,259,Hollis School District               ,,," 1,008,055.46 "," 1,408,402 "," 2,416,457.46 ",
,,,,,,,,
260,71,Hollis/Brookline Coop (Brookline),,," 2,145,424.74 "," 686,345 "," 2,831,769.74 ",
260,259,Hollis/Brookline Coop (Hollis),,," 1,023,495.25 "," 1,452,459 "," 2,475,954.25 ",
,,,,," 3,168,919.99 "," 2,138,804.00 "," 5,307,723.99 ",
,,,,,,,,
275,245,John Stark Reg (Henniker),,," 669,519.80 "," 292,516 "," 962,035.80 ",
275,555,John Stark Reg (Weare),,," 2,390,726.63 "," 590,538 "," 2,981,264.63 ",
,,,,," 3,060,246.43 "," 883,054.00 "," 3,943,300.43 ",
,,,,,,,,
281,281,Kensington School District               ,,," 185,933.13 "," 211,768 "," 397,701.13 ",
,,,,,,,,
288,155,Lafayette Reg School District (Easton)                        ,,, -   ," 97,667 "," 97,667.00 ",
288,183,Lafayette Reg School District (Franconia)                        ,,, -   ," 407,933 "," 407,933.00 ",
288,512,Lafayette Reg School District (Sugar Hill)                        ,,, -   ," 156,972 "," 156,972.00 ",
,,,,, -   ," 662,572.00 "," 662,572.00 ",
,,,,,,,,
367,367,Mont Vernon School District    ,,," 728,691.46 "," 344,497 "," 1,073,188.46 ",
387,387,Newfields School District    ,,," 224,194.03 "," 240,360 "," 464,554.03 ",
405,405,North Hampton School District    ,,, -   ," 1,825,386 "," 1,825,386.00 ",
,,,,,,,,
428,23,Pemi-Baker Coop (Ashland),,," 272,230.62 "," 179,779 "," 452,009.62 ",
428,75,Pemi-Baker Coop (Campton),,," 523,856.20 "," 280,034 "," 803,890.20 ",
428,257,Pemi-Baker Coop (Holderness),,, -   ," 520,226 "," 520,226.00 ",
428,447,Pemi-Baker Coop (Plymouth),,," 901,771.99 "," 312,597 "," 1,214,368.99 ",
428,467,Pemi-Baker Coop (Rumney),,," 205,692.78 "," 119,489 "," 325,181.78 ",
428,531,Pemi-Baker Coop (Thornton),,," 271,933.93 "," 286,298 "," 558,231.93 ",
428,559,Pemi-Baker Coop (Wentworth),,," 132,203.46 "," 60,344 "," 192,547.46 ",
,,,,," 2,307,688.98 "," 1,758,767.00 "," 4,066,455.98 ",
,,,,,,,,
447,447,Plymouth School District                     ,,," 2,103,498.34 "," 683,887 "," 2,787,385.34 ",
,,,,,,,,
450,53,Profile Reg (Bethlehem),,," 543,339.90 "," 244,183 "," 787,522.90 ",
450,155,Profile Reg (Easton),,, -   ," 41,203 "," 41,203.00 ",
450,183,Profile Regional (Franconia),,, -   ," 257,211 "," 257,211.00 ",
450,512,Profile Regional (Sugar Hill),,, -   ," 152,028 "," 152,028.00 ",
,,,,," 543,339.90 "," 694,625.00 "," 1,237,964.90 ",
,,,,,,,,
467,467,Rumney School District    ,,," 471,150.85 "," 263,122 ","$734,272.85 ",
485,485,Seabrook School District    ,,," 628,862.84 "," 2,395,856 "," 3,024,718.84 ",
,,,,,,,,
493,17,Souhegan Coop (Amherst),,," 1,199,383.09 "," 1,396,333 "," 2,595,716.09 ",
493,367,Souhegan Coop (Mont Vernon),,," 501,998.39 "," 245,496 "," 747,494.39 ",
,,,,," 1,701,381.48 "," 1,641,829.00 "," 3,343,210.48 ",
,,,,,,,,
511,511,Stratham School District    ,,," 858,724.42 "," 1,218,953 "," 2,077,677.42 ",
531,531,Thornton School District    ,,," 499,509.83 "," 476,147 "," 975,656.83 ",
555,555,Weare School District    ,,," 4,915,862.38 "," 1,157,132 "," 6,072,994.38 ",
559,559,Wentworth School District    ,,," 335,773.38 "," 138,220 "," 473,993.38 ",
,,,,,,,,
581,225,Winnacunnet Coop (Hampton),,, -   ," 2,329,712 "," 2,329,712.00 ",
581,227,Winnacunnet (Hampton Falls),,," 84,879.09 "," 271,992 "," 356,871.09 ",
581,405,Winnacunnet Coop (North Hampton),,, -   ," 680,995 "," 680,995.00 ",
581,485,Winnacunnet Coop (Seabrook),,," 315,801.18 "," 1,213,992 "," 1,529,793.18 ",
,,,,," 400,680.27 "," 4,496,691.00 "," 4,897,371.27 ",
