,,,,,"December 4, 2008"
NEW HAMPSHIRE DEPARTMENT OF EDUCATION,,,,,
DIVISION OF PROGRAM SUPPORT,,,,,
OFFICE OF SCHOOL BUILDING AID,,,,,
,,,,,
2008-2009 Building Aid Distribution ,,,,,
,,97.722916%,,,
,,,,,Total Adjusted
District Name,Entitlement,October Payment,April Payment,Shortfall,Annual Aid
,,,,,
Laconia,"715,307.58 ","357,653.79 ","324,826.64 ","32,827.15 ","682,480.43 "
Lebanon,"284,753.21 ","142,376.61 ","129,308.61 ","13,068.00 ","271,685.21 "
Lisbon Regional,"96,898.32 ","48,449.16 ","44,002.27 ","4,446.89 ","92,451.43 "
Litchfield,"270,050.25 ","135,025.12 ","112,433.89 ","22,591.24 ","247,459.01 "
Littleton,"91,806.96 ","45,903.48 ","41,690.24 ","4,213.24 ","87,593.72 "
Londonderry,"568,223.70 ","284,111.85 ","258,034.73 ","26,077.12 ","542,146.58 "
Lyme,"22,992.75 ","11,496.38 ","10,441.18 ","1,055.19 ","21,937.56 "
Lyndeborough,"6,000.00 ","3,000.00 ","2,724.65 ",275.35 ,"5,724.65 "
Madison,"60,000.00 ","30,000.00 ","27,246.46 ","2,753.54 ","57,246.46 "
Manchester,"2,032,737.12 ","1,531,406.91 ","470,023.11 ","31,307.10 ","2,001,430.02 "
Marlborough,"139,927.58 ","69,963.79 ","63,542.18 ","6,421.61 ","133,505.97 "
Mascenic Regional,"360,000.00 ","180,000.00 ","163,478.75 ","16,521.25 ","343,478.75 "
Mascoma Valley Regional,"157,137.87 ","78,568.94 ","71,357.51 ","7,211.43 ","149,926.44 "
Merrimack,"502,279.10 ","251,139.55 ","228,088.78 ","23,050.77 ","479,228.33 "
Merrimack Valley,"1,880,317.41 ","940,158.71 ","853,866.51 ","86,292.19 ","1,794,025.22 "
Milan,"70,000.00 ","35,000.00 ","31,787.54 ","3,212.46 ","66,787.54 "
Milford,"330,855.94 ","165,427.97 ","150,244.21 ","15,183.76 ","315,672.18 "
Milton,"243,460.74 ","121,730.37 ","110,557.38 ","11,172.99 ","232,287.75 "
Monadnock Regional,"327,543.36 ","163,771.68 ","148,739.94 ","15,031.74 ","312,511.62 "
Mont Vernon,"91,243.64 ","45,621.82 ","41,434.43 ","4,187.39 ","87,056.25 "
Moultonborough,"219,846.71 ","109,923.36 ","99,834.07 ","10,089.28 ","209,757.43 "
Nashua,"2,854,693.74 ","1,427,346.87 ","1,296,338.26 ","131,008.61 ","2,723,685.13 "
New Boston,"56,685.87 ","28,342.94 ","25,741.49 ","2,601.45 ","54,084.42 "
Newfields,"22,921.51 ","11,460.76 ","10,408.83 ","1,051.92 ","21,869.59 "
Newfound,"7,661.50 ","3,830.75 ","3,479.15 ",351.60 ,"7,309.90 "
Newport,"364,951.14 ","182,475.57 ","165,727.10 ","16,748.47 ","348,202.67 "
North Hampton,"119,398.45 ","59,699.23 ","54,219.75 ","5,479.48 ","113,918.97 "
Northumberland,"17,506.44 ","8,753.22 ","7,949.81 ",803.41 ,"16,703.03 "
Northwood,"87,814.28 ","43,907.14 ","39,877.14 ","4,030.00 ","83,784.28 "
Nottingham,"1,800.00 ",900.00 ,817.39 ,82.61 ,"1,717.39 "
Orford,"16,500.00 ","8,250.00 ","7,492.78 ",757.22 ,"15,742.78 "
Oyster River Coop,"762,723.23 ","381,361.62 ","346,358.45 ","35,003.16 ","727,720.07 "
Pelham,"310,500.00 ","155,250.00 ","141,000.42 ","14,249.58 ","296,250.42 "
Pembroke,"352,820.88 ","176,410.44 ","160,218.66 ","16,191.78 ","336,629.10 "
Pemi-Baker Regional,"22,373.59 ","11,186.80 ","10,160.02 ","1,026.78 ","21,346.81 "
Piermont,"12,000.00 ","6,000.00 ","5,449.29 ",550.71 ,"11,449.29 "
Pittsburg,"112,166.62 ","56,083.31 ","50,935.72 ","5,147.59 ","107,019.03 "
Pittsfield,"157,135.51 ","78,567.76 ","71,356.44 ","7,211.32 ","149,924.19 "
Plainfield,"45,967.02 ","22,983.51 ","20,873.98 ","2,109.53 ","43,857.49 "
Plymouth,"18,826.42 ","9,413.21 ","8,549.22 ",863.99 ,"17,962.43 "
Portsmouth,"1,016,222.40 ","508,111.20 ","461,474.36 ","46,636.84 ","969,585.56 "
Profile,"333,780.00 ","166,890.00 ","151,572.05 ","15,317.95 ","318,462.05 "
Raymond,"524,894.83 ","378,321.03 ","137,420.55 ","9,153.25 ","515,741.58 "
Rivendell,"76,110.15 ","38,055.08 ","34,562.20 ","3,492.87 ","72,617.28 "
Rochester,"1,238,191.87 ","619,095.94 ","562,272.40 ","56,823.54 ","1,181,368.33 "
Rye,"96,867.00 ","48,433.50 ","43,988.05 ","4,445.45 ","92,421.55 "
Salem,"146,458.32 ","73,229.16 ","66,507.84 ","6,721.32 ","139,737.00 "
Sanborn Regional,"1,041,664.79 ","720,665.35 ","300,952.64 ","20,046.80 ","1,021,617.99 "
Shaker Regional,"265,601.44 ","132,800.72 ","120,611.64 ","12,189.08 ","253,412.36 "
Somersworth,"161,085.30 ","80,542.65 ","73,150.07 ","7,392.58 ","153,692.72 "
Souhegan Cooperative,"330,524.67 ","165,262.34 ","150,093.78 ","15,168.56 ","315,356.11 "
South Hampton,"35,660.00 ","17,830.00 ","16,193.48 ","1,636.52 ","34,023.48 "
Stewartstown,"14,086.25 ","7,043.13 ","6,396.67 ",646.45 ,"13,439.80 "
Stoddard,"12,587.71 ","6,293.86 ","5,716.18 ",577.68 ,"12,010.03 "
Strafford,"2,872.90 ","1,436.45 ","1,304.61 ",131.84 ,"2,741.06 "
Stratham,"105,425.91 ","52,712.96 ","47,874.71 ","4,838.24 ","100,587.67 "
Sunapee,"117,593.74 ","58,796.87 ","53,400.22 ","5,396.65 ","112,197.09 "
Tamworth,"103,445.05 ","51,722.53 ","46,975.19 ","4,747.34 ","98,697.71 "
Thornton,"64,719.00 ","32,359.50 ","29,389.39 ","2,970.11 ","61,748.89 "
Timberlane Regional,"1,103,810.65 ","551,905.33 ","501,248.86 ","50,656.47 ","1,053,154.18 "
Wakefield,"51,063.30 ","25,531.65 ","23,188.23 ","2,343.42 ","48,719.88 "
Warren,"6,690.00 ","3,345.00 ","3,037.98 ",307.02 ,"6,382.98 "
Washington,"19,688.24 ","9,844.12 ","8,940.58 ",903.54 ,"18,784.70 "
Waterville Valley,"47,897.40 ","23,948.70 ","17,590.22 ","6,358.48 ","41,538.92 "
Weare,"387,069.58 ","193,534.79 ","175,771.26 ","17,763.53 ","369,306.05 "
Westmoreland,"13,650.00 ","6,825.00 ","6,198.57 ",626.43 ,"13,023.57 "
White Mountains Regional,"510,648.40 ","255,324.20 ","231,889.34 ","23,434.86 ","487,213.54 "
Wilton-Lyndeboro,"130,000.00 ","65,000.00 ","59,033.99 ","5,966.01 ","124,033.99 "
Winchester,"61,928.17 ","30,964.09 ","28,122.06 ","2,842.03 ","59,086.14 "
Windham,"1,096,684.48 ","548,342.24 ","498,012.81 ","50,329.43 ","1,046,355.05 "
Winnacunnet Cooperative,"476,630.00 ","238,315.00 ","216,441.33 ","21,873.67 ","454,756.33 "
Winnisquam Regional,"679,577.54 ","339,788.77 ","308,601.36 ","31,187.41 ","648,390.13 "
,,,,,
,,,,,
FY2009 Building Aid for web.xls,,,,,
114    (13.50),,,,,
