"District
Public School
Adequacy

SFY 2023",,Calculated Cost of an Adequate Education,,,,,,,,,,,,,,,,Statewide Education Property Tax (SWEPT),Additional Aid,,,,,,,"Preliminary Grant 

 Cost of Adequacy            Less SWEPT Plus Relief Aid",SWEPT Reduction Hold Harmless,,,Stabilization Aid,,Hold Harmless,,Adequacy Grant,,Final State Grant
,,Base Adequacy,,Federal Free & Reduced (F&R) Price Meal Eligible ,,,,,,,Special Education Aid,,English Language Learner Aid,,3rd Grade Reading Aid,,Total Calculated Cost of an Adequate Education,,Relief Aid Grant,,,Extraordinary Grant,,,,,Total Education Grant For the Purpose of Deterring SWEPT Hold Harmless Grant,SWEPT If No $100 Million Reduction Occurred,SWEPT Hold Harmless,"FY 2012 Stabilization Grant 

(100% of Grant) ","Grant Eligibility:

(1) Stabilization Received FY 12
(2) ADM > Zero
(3) Cost of Adequacy > SWEPT",Districts Guaranteed 95% Of November 2020 Grant Estimate of FY 2023,Hold Harmless Grant, Adequacy Grant = Max of Preliminary Grant Plus Stabiliation Grant Or 95% of November 2022 Grant Estimate ,,"   
Adequacy Grant

&

SWEPT Grant"
,, 2021-2022 Membership ,Base Adequacy Aid," Calculation of the Pre-Covid-19 F&R to Base ADM Ratio 

(2019-2020 F&R Over 2019-2020 Base ADM) ",,, HB2: Modified F&R Data Using Pre-Covid 19 Ratio ," 2021-2022
 F&R Membership "," Greater of the Two:
Modified F&R Data vs 2021-2022 Estimated F&R) ",Free or Reduced Differentiated Aid," 2021-2022
SPED Membership ",Special Education Differentiated Aid," 2021-2022
ELL Membership ",ELL Differentiated Aid," 2021-2022
3rd Grade Reading Membership ",3rd Grade Reading Differentiated Aid,,,"Under 12% F&R = $0 Relief
12.00% F&R  = $150 Grant Per F&R Pupil
41,Bedford,"4,094.10","15,502,963.19","4,285.96",219.31,5.12%,209.62,209.13,209.62,"396,877.74",607.34,"1,237,214.72",66.07,"48,951.21",50.36,"37,307.18","17,223,314.04","5,536,708",5.12%, -   , -   ,"21,821,511.19", -   ,  , N/A ,"11,686,606.04","17,223,314.04","7,652,361.00", -   , -   , -   ,"11,126,420.57",,"11,686,606.04",,"17,223,314.04"
43,Belmont,966.92,"3,661,403.35","1,010.77",359.47,35.56%,343.84,297.35,343.84,"650,999.15",189.46,"385,946.38",4.52,"3,350.58",19.1,"14,153.95","4,715,853.41","1,054,538",35.56%,"152,836.88","141,700.03","2,537,613.08","154,765.93", Required , Yes ,"3,957,781.36","5,012,319.36","1,457,491.00", -   ,"1,233,780.00","1,233,780.00","4,805,912.84",,"5,191,561.36",,"6,246,099.36"
45,Bennington,201.34,"762,405.75",196.93,59.51,30.22%,60.84,58.3,60.84,"115,189.59",61.12,"124,503.27", -   , -   ,2,"1,481.74","1,003,580.35","181,744",30.22%,"22,982.31","21,307.64","2,496,489.84","27,709.96", Required , Yes ,"870,853.96","1,052,597.96","251,191.00", -   ,"489,829.00","489,829.00","1,276,290.91",,"1,360,682.96",,"1,542,426.96"
47,Benton,24.38,"92,318.01",27.84,8.55,30.69%,7.48,6.26,7.48,"14,162.03",8,"16,296.88", -   , -   ,1,740.87,"123,517.79","33,500",30.68%,"2,868.58","2,659.55","3,686,794.10","2,249.36", Required , Yes ,"94,926.70","128,426.70","46,301.00", -   ,"59,781.00","59,781.00","152,963.23",,"154,707.70",,"188,207.70"
51,Berlin,971.54,"3,678,894.69","1,013.46",600.86,59.29%,576.03,521.67,576.03,"1,090,609.12",217.64,"443,354.99",2.37,"1,757.49",7,"5,186.09","5,219,802.38","498,819",59.29%,"345,618.00","320,433.65","855,553.57","374,419.50", Required , Yes ,"5,415,836.53","5,914,655.53","689,425.00", -   ,"5,495,595.00","5,495,595.00","10,087,954.83",,"10,911,431.53",,"11,410,250.53"
53,Bethlehem,263.08,"996,207.39",262.73,101.97,38.81%,102.1,92.68,102.1,"193,307.97",50.09,"102,029.88",1,740.87,5,"3,704.35","1,295,990.46","428,232",38.81%,"49,531.26","45,922.04","3,497,777.73","33,212.00", Required , Yes ,"946,892.49","1,375,124.49","591,865.00", -   ,"449,239.00","449,239.00","1,269,789.94",,"1,396,131.49",,"1,824,363.49"
55,Boscawen,459.72,"1,740,787.05",474.53,162.57,34.26%,157.5,113.08,157.5,"298,197.90",109.53,"223,116.92",5,"3,704.35", -   , -   ,"2,265,806.22","390,991",34.26%,"67,449.38","62,534.51","2,067,095.30","80,526.22", Required , Yes ,"2,017,875.95","2,408,866.95","540,393.00", -   ,"1,119,944.00","1,119,944.00","2,803,263.16",,"3,137,819.95",,"3,528,810.95"
57,Bow,"1,435.08","5,434,143.37","1,440.04",82.13,5.70%,81.8,55.72,81.8,"154,873.58",209.81,"427,402.99",9.17,"6,791.26",31.7,"23,485.58","6,046,696.78","1,566,630",5.70%, -   , -   ,"16,930,488.94", -   ,  , N/A ,"4,480,066.78","6,046,696.78","2,165,260.00", -   ,"349,208.00","349,208.00","4,612,462.55",,"4,829,274.78",,"6,395,904.78"
59,Bradford,193.46,"732,573.30",187.46,54.93,29.30%,56.68,51.45,56.68,"107,313.38",37.62,"76,633.63", -   , -   ,2,"1,481.74","918,002.05","308,793",29.30%,"20,759.05","19,246.39","4,514,427.73","10,946.29", Required , Yes ,"639,401.73","948,194.73","426,787.00", -   ,"199,555.00","199,555.00","771,177.47",,"838,956.73",,"1,147,749.73"
63,Brentwood,659.74,"2,498,203.12",748.86,31.68,4.23%,27.91,34.42,34.42,"65,168.07",124.77,"254,174.49",4,"2,963.48",5.29,"3,918.39","2,824,427.55","893,121",5.22%, -   , -   ,"22,076,010.25", -   ,  , N/A ,"1,931,306.55","2,824,427.55","1,234,395.00", -   , -   , -   ,"1,817,606.79",,"1,931,306.55",,"2,824,427.55"
