"District
Public School
Adequacy

SFY 2023",,Calculated Cost of an Adequate Education,,,,,,,,,,,,,,,,Statewide Education Property Tax (SWEPT),Additional Aid,,,,,,,"Preliminary Grant 

 Cost of Adequacy            Less SWEPT Plus Relief Aid",SWEPT Reduction Hold Harmless,,,Stabilization Aid,,Hold Harmless,,Adequacy Grant,,Final State Grant
,,Base Adequacy,,Federal Free & Reduced (F&R) Price Meal Eligible ,,,,,,,Special Education Aid,,English Language Learner Aid,,3rd Grade Reading Aid,,Total Calculated Cost of an Adequate Education,,Relief Aid Grant,,,Extraordinary Grant,,,,,Total Education Grant For the Purpose of Deterring SWEPT Hold Harmless Grant,SWEPT If No $100 Million Reduction Occurred,SWEPT Hold Harmless,"FY 2012 Stabilization Grant 

(100% of Grant) ","Grant Eligibility:

(1) Stabilization Received FY 12
(2) ADM > Zero
(3) Cost of Adequacy > SWEPT",Districts Guaranteed 95% Of November 2020 Grant Estimate of FY 2023,Hold Harmless Grant, Adequacy Grant = Max of Preliminary Grant Plus Stabiliation Grant Or 95% of November 2022 Grant Estimate ,,"   
Adequacy Grant

&

SWEPT Grant"
,, 2021-2022 Membership ,Base Adequacy Aid," Calculation of the Pre-Covid-19 F&R to Base ADM Ratio 

(2019-2020 F&R Over 2019-2020 Base ADM) ",,, HB2: Modified F&R Data Using Pre-Covid 19 Ratio ," 2021-2022
 F&R Membership "," Greater of the Two:
Modified F&R Data vs 2021-2022 Estimated F&R) ",Free or Reduced Differentiated Aid," 2021-2022
SPED Membership ",Special Education Differentiated Aid," 2021-2022
ELL Membership ",ELL Differentiated Aid," 2021-2022
3rd Grade Reading Membership ",3rd Grade Reading Differentiated Aid,,,"Under 12% F&R = $0 Relief
12.00% F&R  = $150 Grant Per F&R Pupil
141,Dover,"3,487.35","13,205,423.90","3,678.75","1,043.98",28.38%,989.71,903.52,989.71,"1,873,837.74",733.64,"1,494,511.08",108.75,"80,569.39",59,"43,711.33","16,698,053.44","5,076,041",28.38%,"351,099.62","325,515.84","4,261,257.66","223,710.59", Required , Yes ,"12,171,238.87","17,247,279.87","7,015,667.00", -   , -   , -   ,"11,270,347.33",,"12,171,238.87",,"17,247,279.87"
143,Dublin,129.81,"491,541.03",133.18,31.75,23.84%,30.95,20.21,30.95,"58,598.25",22.62,"46,081.06", -   , -   ,3,"2,222.61","598,442.95","331,462",23.84%,"9,223.10","8,551.04","8,805,744.60", -   ,  , N/A ,"275,531.99","606,993.99","458,118.00", -   ,"14,881.00","14,881.00","266,022.33",,"290,412.99",,"621,874.99"
147,Dummer,23.85,"90,305.40",22.22,7.22,32.48%,7.75,7.07,7.75,"14,673.23",3,"6,111.33", -   , -   , -   , -   ,"111,089.96","43,858",32.50%,"3,148.44","2,919.02","11,621,785.98", -   ,  , N/A ,"70,150.98","114,008.98","60,617.00", -   ,"50,888.00","50,888.00","98,556.86",,"121,038.98",,"164,896.98"
149,Dunbarton,465.18,"1,761,472.82",455.43,29.23,6.42%,29.86,19.37,29.86,"56,534.54",88.72,"180,738.92", -   , -   ,18,"13,335.66","2,012,081.94","506,431",6.42%, -   , -   ,"14,653,530.16", -   ,  , N/A ,"1,505,650.94","2,012,081.94","699,946.00", -   , -   , -   ,"1,424,688.18",,"1,505,650.94",,"2,012,081.94"
151,Durham,925.83,"3,505,821.60",928.46,51.57,5.55%,51.38,39.39,51.38,"97,278.78",129.39,"263,576.77",12.35,"9,152.71",10,"7,408.70","3,883,238.56","1,796,982",5.55%, -   , -   ,"29,697,582.52", -   ,  , N/A ,"2,086,256.56","3,883,238.56","2,483,633.00", -   ,"12,435.00","12,435.00","1,944,817.81",,"2,098,691.56",,"3,895,673.56"
153,East Kingston,310.31,"1,175,024.83",345.96,25.87,7.48%,23.21,20.64,23.21,"43,943.96",56.16,"114,400.23", -   , -   ,6,"4,445.22","1,337,814.24","490,779",7.48%, -   , -   ,"18,435,272.68", -   ,  , N/A ,"847,035.24","1,337,814.24","678,313.00", -   , -   , -   ,"801,217.00",,"847,035.24",,"1,337,814.24"
155,Easton,24.13,"91,355.82",27,6,22.22%,5.36,6.42,6.42,"12,155.11",3.13,"6,367.39", -   , -   , -   , -   ,"109,878.32","99,600",26.61%,"2,135.45","1,979.84","12,753,424.67", -   ,  , N/A ,"12,258.16","111,858.16","137,658.00","25,799.84", -   , -   ,"36,155.38",,"38,058.00",,"137,658.00"
159,Eaton,29.84,"112,978.79",26.59,5.71,21.45%,6.4,11,11,"20,826.52",6,"12,222.66", -   , -   , -   , -   ,"146,027.97","143,986",36.87%,"5,069.63","4,700.22","10,770,230.50", -   ,  , N/A ,"6,742.19","150,728.19","199,005.00","48,276.81", -   , -   ,"52,267.74",,"55,019.00",,"199,005.00"
161,Effingham,185.57,"702,676.86",192.13,109.66,57.08%,105.92,74.49,105.92,"200,540.45",31.95,"65,084.85", -   , -   ,2.76,"2,041.54","970,343.70","253,377",57.08%,"63,552.00","58,921.12","1,997,073.40",,, N/A ,"775,887.82","1,029,264.82","350,195.00", -   ,"323,629.00","323,629.00","1,045,543.21",,"1,099,516.82",,"1,352,893.82"
162,Ellsworth,10.45,"39,561.51",10,6,60.00%,6.27,6,6.27,"11,871.12",2,"4,074.22", -   , -   , -   , -   ,"55,506.85","22,467",60.01%,"3,762.00","3,487.87","2,921,469.38","2,509.31", Required , Yes ,"39,037.03","61,504.03","31,052.00", -   , -   , -   ,"22,940.26",,"39,037.03",,"61,504.03"
163,Enfield,404.46,"1,531,544.55",430.33,119.94,27.87%,112.72,84.22,112.72,"213,415.03",97.45,"198,521.67",7.07,"5,236.91",2,"1,481.74","1,950,199.90","830,303",27.87%,"39,268.83","36,407.41","6,081,909.31", -   ,  , N/A ,"1,156,304.31","1,986,607.31","1,147,574.00", -   ,"58,733.00","58,733.00","1,143,416.32",,"1,215,037.31",,"2,045,340.31"
165,Epping,839.48,"3,178,830.26",889.76,174.82,19.65%,164.96,135.39,164.96,"312,322.07",150.84,"307,282.15",3.82,"2,829.16",20.3,"15,042.55","3,816,306.19","1,236,203",19.65%,"40,518.30","37,565.83","6,171,306.41", -   ,  , N/A ,"2,617,669.02","3,853,872.02","1,708,573.00", -   ,"866,394.00","866,394.00","3,304,259.27",,"3,484,063.02",,"4,720,266.02"
167,Epsom,557.61,"2,111,488.57",559.68,98.28,17.56%,97.92,97.97,97.97,"185,488.56",101.03,"205,817.17",1,740.87,2.18,"1,615.54","2,505,150.71","646,796",17.57%,"21,516.66","19,948.79","5,437,169.60","7,168.26", Required , Yes ,"1,885,471.77","2,532,267.77","893,946.00", -   ,"955,543.00","955,543.00","2,679,081.89",,"2,841,014.77",,"3,487,810.77"
171,Errol,16.21,"61,376.46",17,3,17.65%,2.86,2,2.86,"5,414.90",0.37,747.01, -   , -   , -   , -   ,"67,538.37","109,442",17.64%, -   , -   ,"33,916,114.79", -   ,  , N/A , -   ,"109,442.00","151,261.00","41,819.00","14,426.00", -   ,"39,728.41",,"41,819.00",,"151,261.00"
173,Exeter,"1,892.66","7,166,849.31","2,027.61",263.74,13.01%,246.23,218.88,246.23,"466,192.18",340.58,"693,797.91",30.07,"22,279.81",26,"19,262.62","8,368,381.83","3,175,276",13.01%,"40,043.15","37,125.30","10,705,698.49", -   ,  , N/A ,"5,230,231.13","8,405,507.13","4,388,592.00", -   , -   , -   ,"4,890,941.72",,"5,230,231.13",,"8,405,507.13"
175,Farmington,751.94,"2,847,325.97",790.44,413.97,52.37%,393.79,292.98,393.79,"745,570.48",165.83,"337,823.12",1,740.87,12,"8,890.44","3,940,350.88","777,548",52.37%,"236,274.00","219,057.29","1,646,389.57","222,873.07", Required , Yes ,"3,604,733.24","4,382,281.24","1,074,660.00", -   ,"2,914,592.00","2,914,592.00","6,068,896.48",,"6,519,325.24",,"7,296,873.24"
177,Fitzwilliam,226.76,"858,659.23",225.63,86.04,38.13%,86.46,59.51,86.46,"163,696.45",49.42,"100,675.81", -   , -   ,7,"5,186.09","1,128,217.58","369,870",38.13%,"41,209.00","38,206.20","4,196,178.22","20,274.60", Required , Yes ,"816,828.38","1,186,698.38","511,203.00", -   ,"208,236.00","208,236.00","965,528.51",,"1,025,064.38",,"1,394,934.38"
179,Francestown,159.02,"602,156.57",168.48,34.42,20.43%,32.49,18.01,32.49,"61,513.97",19,"38,705.09", -   , -   ,3,"2,222.61","704,598.24","275,653",20.43%,"8,297.13","7,692.54","7,014,272.24", -   ,  , N/A ,"436,637.78","712,290.78","380,984.00", -   ,"173,610.00","173,610.00","580,039.82",,"610,247.78",,"885,900.78"
183,Franconia,90.96,"344,417.17",104.07,26.45,25.42%,23.12,18.52,23.12,"43,773.56",10.67,"21,729.24",1,740.87, -   , -   ,"410,660.84","435,991",25.42%, -   , -   ,"15,593,409.85", -   ,  , N/A , -   ,"435,991.00","602,589.00","166,598.00", -   , -   ,"158,268.49",,"166,598.00",,"602,589.00"
185,Franklin,915.12,"3,465,244.13",924.28,602.04,65.14%,596.11,500.58,596.11,"1,128,626.99",267.44,"544,809.79",5.99,"4,437.89",9.24,"6,846.08","5,149,964.88","886,084",65.14%,"357,666.00","331,603.75","1,352,574.58","360,148.98", Required , Yes ,"4,955,633.61","5,841,717.61","1,224,669.00", -   ,"4,034,992.00","4,034,992.00","8,012,290.12",,"8,990,625.61",,"9,876,709.61"
187,Freedom,83.77,"317,226.68",94.93,36.32,38.26%,32.05,23.9,32.05,"60,680.91",23.69,"48,264.43",1,740.87,1,740.87,"427,653.76","768,313",38.26%, -   , -   ,"19,645,314.20",,, N/A , -   ,"768,313.00","1,061,896.00","293,583.00", -   , -   ,"278,904.12",,"293,583.00",,"1,061,896.00"
189,Fremont,547.75,"2,074,139.99",580.7,72.79,12.53%,68.63,31.43,68.63,"129,938.55",101.81,"207,396.54",0.1,73.35,11,"8,149.57","2,419,698.00","710,509",12.53%,"10,749.17","9,965.90","8,566,920.09", -   ,  , N/A ,"1,719,154.90","2,429,663.90","982,004.00", -   , -   , -   ,"1,628,034.90",,"1,719,154.90",,"2,429,663.90"
191,Gilford,929.48,"3,519,606.18",997.78,189.99,19.04%,176.97,153.37,176.97,"335,060.84",122.78,"250,118.81",4,"2,963.48",16,"11,853.92","4,119,603.23","2,826,177",19.04%,"42,118.86","39,049.76","13,073,437.93", -   ,  , N/A ,"1,332,475.99","4,158,652.99","3,906,099.00", -   ,"363,818.00","363,818.00","1,628,058.59",,"1,696,293.99",,"4,522,470.99"
195,Gilmanton,546.36,"2,068,895.08",568.34,95.42,16.79%,91.73,89.8,91.73,"173,674.24",57.77,"117,690.97",2,"1,481.74",6,"4,445.22","2,366,187.25","729,413",16.79%,"19,251.83","17,849.00","6,584,561.46", -   ,  , N/A ,"1,654,623.25","2,384,036.25","1,008,132.00", -   , -   , -   ,"1,569,068.62",,"1,654,623.25",,"2,384,036.25"
197,Gilsum,63.43,"240,172.32",61.63,34.64,56.20%,35.65,34.84,35.65,"67,496.86",13.84,"28,190.55",1,740.87, -   , -   ,"336,600.60","90,640",56.21%,"21,390.00","19,831.36","2,163,415.56","17,780.65", Required , Yes ,"283,572.61","374,212.61","125,274.00", -   ,"286,055.00","286,055.00","530,347.11",,"569,627.61",,"660,267.61"
199,Goffstown,"2,140.54","8,105,502.88","2,216.16",398.79,17.99%,385.08,257.43,385.08,"729,079.67",439.01,"894,315.12",32.28,"23,913.58",47,"34,820.89","9,787,632.14","2,443,973",17.99%,"86,594.87","80,284.91","5,418,226.99","29,123.79", Required , Yes ,"7,453,067.84","9,897,040.84","3,377,849.00", -   ,"1,040,103.00","1,040,103.00","8,041,577.24",,"8,493,170.84",,"10,937,143.84"
201,Gorham,325.81,"1,233,725.26",326.02,83.45,25.60%,83.41,65.42,83.41,"157,921.82",67.19,"136,866.70",1,740.87,4,"2,963.48","1,532,218.13","299,848",25.60%,"26,691.20","24,746.28","3,820,626.21","23,631.60", Required , Yes ,"1,280,748.01","1,580,596.01","414,424.00", -   ,"849,335.00","849,335.00","1,933,015.66",,"2,130,083.01",,"2,429,931.01"
203,Goshen,87.98,"333,166.63",84.52,29.9,35.37%,31.12,34.3,34.3,"64,940.88",13.55,"27,602.23",1,740.87,1,740.87,"427,191.48","102,507",38.98%,"16,712.68","15,494.87","2,504,349.74","15,587.10", Required , Yes ,"355,766.45","458,273.45","141,676.00", -   ,"221,681.00","221,681.00","531,803.89",,"577,447.45",,"679,954.45"
209,Grafton,143.64,"543,908.65",144.96,55.05,37.98%,54.55,49.38,54.55,"103,280.61",44.31,"90,266.79", -   , -   ,2,"1,481.74","738,937.79","168,988",37.98%,"25,897.61","24,010.51","2,581,255.87","24,244.02", Required , Yes ,"618,204.33","787,192.33","233,560.00", -   ,"250,176.00","250,176.00","790,628.97",,"868,380.33",,"1,037,368.33"
211,Grantham,451.7,"1,710,433.94",450.76,37.05,8.22%,37.13,24.21,37.13,"70,298.97",45.24,"92,154.17",1.03,759.76,9.82,"7,276.75","1,880,923.59","695,379",8.22%, -   , -   ,"15,389,594.72", -   ,  , N/A ,"1,185,544.59","1,880,923.59","961,093.00", -   , -   , -   ,"1,103,552.47",,"1,185,544.59",,"1,880,923.59"
213,Greenfield,197.24,"746,899.37",191.11,52.93,27.70%,54.64,47.21,54.64,"103,451.00",38.35,"78,116.24", -   , -   ,4,"2,963.48","931,430.09","223,882",27.70%,"18,919.10","17,540.51","3,255,139.62","19,497.29", Required , Yes ,"744,585.89","968,467.89","309,431.00", -   ,"347,765.00","347,765.00","1,020,944.38",,"1,092,350.89",,"1,316,232.89"
215,Greenland,553.04,"2,094,189.21",595.49,41.56,6.98%,38.6,20.39,38.6,"73,082.15",70.06,"142,709.74",3.23,"2,391.38",9,"6,667.83","2,319,040.31","1,247,546",6.98%, -   , -   ,"27,132,859.19", -   ,  , N/A ,"1,071,494.31","2,319,040.31","1,724,250.00", -   ,"19,719.00","19,719.00","995,227.16",,"1,091,213.31",,"2,338,759.31"
219,Greenville,224.86,"851,479.35",237.56,93.83,39.50%,88.82,89.98,89.98,"170,360.93",45.1,"91,873.25",1,740.87,3,"2,222.61","1,116,677.01","168,269",40.02%,"45,012.50","41,732.55","1,588,237.54","51,606.15", Required , Yes ,"1,041,746.71","1,210,015.71","232,567.00", -   ,"1,186,140.00","1,186,140.00","2,022,082.51",,"2,227,886.71",,"2,396,155.71"
221,Groton,49.3,"186,666.43",42.33,24,56.70%,27.95,17.31,27.95,"52,918.29",9.28,"18,911.10", -   , -   ,2,"1,481.74","259,977.56","156,011",56.70%,"16,770.00","15,548.01","3,316,180.05","9,751.66", Required , Yes ,"129,266.23","285,277.23","215,625.00", -   ,"204,912.00","204,912.00","316,509.13",,"334,178.23",,"490,189.23"
222,Hale's Location, -   , -   ,0.88, -   ,0.00%, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"102,556",0.00%, -   , -   , -   , -   ,  , N/A , -   ,"102,556.00","141,743.00","39,187.00", -   , -   ,"37,228.10",,"39,187.00",,"141,743.00"
223,Hampstead,"1,144.65","4,334,407.18","1,241.80",95.42,7.68%,87.91,54.53,87.91,"166,441.76",228.72,"465,926.17",1,740.87,18.7,"13,851.38","4,981,367.36","1,823,001",7.68%, -   , -   ,"17,016,820.75", -   ,  , N/A ,"3,158,366.36","4,981,367.36","2,519,595.00", -   ,"13,676.00","13,676.00","2,857,445.54",,"3,172,042.36",,"4,995,043.36"
225,Hampton,"1,458.41","5,522,511.52","1,559.46",256.38,16.44%,239.76,208.58,239.76,"453,942.40",239.6,"488,098.89",28.94,"21,441.30",22,"16,299.14","6,502,293.25","5,180,087",16.44%,"49,270.68","45,680.44","18,023,052.36", -   ,  , N/A ,"1,367,886.69","6,547,973.69","7,159,470.00","611,496.31", -   , -   ,"1,880,413.66",,"1,979,383.00",,"7,159,470.00"
227,Hampton Falls,298.2,"1,129,185.04",319.4,12.99,4.07%,12.14,7.52,12.14,"22,984.90",53.67,"109,322.53",3.33,"2,465.76",3,"2,222.61","1,266,180.84","691,821",4.07%, -   , -   ,"46,778,638.51", -   ,  , N/A ,"574,359.84","1,266,180.84","956,176.00", -   , -   , -   ,"520,917.47",,"574,359.84",,"1,266,180.84"
231,Hancock,146.21,"553,641.50",168.51,25.37,15.06%,22.02,16.68,22.02,"41,690.91",23.09,"47,037.68",1,740.87,2,"1,481.74","644,592.70","356,442",15.06%,"4,145.27","3,843.21","13,380,679.66", -   ,  , N/A ,"291,993.91","648,435.91","492,643.00", -   ,"128,961.00","128,961.00","409,293.95",,"420,954.91",,"777,396.91"
233,Hanover,"1,130.10","4,279,291.59","1,163.14",44.31,3.81%,43.06,43.49,43.49,"82,340.49",159.37,"324,644.04",32.18,"23,839.42",6,"4,445.22","4,714,560.76","3,423,649",3.85%, -   , -   ,"64,378,368.80", -   ,  , N/A ,"1,290,911.76","4,714,560.76","4,731,873.00","17,312.24", -   , -   ,"1,242,812.74",,"1,308,224.00",,"4,731,873.00"
235,Harrisville,79.05,"299,325.25",84.91,18.2,21.44%,16.95,16.83,16.95,"32,091.77",13.81,"28,134.73", -   , -   ,1,740.87,"360,292.62","299,726",21.44%,"4,542.60","4,211.59","14,502,933.03", -   ,  , N/A ,"64,778.21","364,504.21","414,255.00","49,750.79","13,345.00","13,345.00","121,480.27",,"127,874.00",,"427,600.00"
236,Hart's Location,4,"15,146.64",0.88,0.47,52.83%,2.11, -   ,2.11,"3,994.91",1,"2,037.11", -   , -   , -   , -   ,"21,178.66","26,016",52.75%, -   , -   ,"10,158,675.72", -   ,  , N/A , -   ,"26,016.00","35,957.00","9,941.00", -   , -   ,"9,444.17",,"9,941.00",,"35,957.00"
238,Haverhill,545.67,"2,066,256.54",562.45,227.57,40.46%,220.78,179.07,220.78,"418,007.19",115.28,"234,835.39",3,"2,222.61",9.98,"7,391.66","2,728,713.39","455,227",40.46%,"111,659.49","103,523.13","1,814,159.15","120,139.49", Required , Yes ,"2,497,149.02","2,952,376.02","629,176.00", -   ,"2,109,770.00","2,109,770.00","4,289,393.58",,"4,606,919.02",,"5,062,146.02"
243,Hebron,47.04,"178,139.63",51.52,11,21.35%,10.04,6.98,10.04,"19,008.93",10.28,"20,950.25", -   , -   ,2,"1,481.74","219,580.55","375,535",21.34%, -   , -   ,"30,290,609.68", -   ,  , N/A , -   ,"375,535.00","519,032.00","143,497.00", -   , -   ,"136,322.54",,"143,497.00",,"519,032.00"
245,Henniker,537.88,"2,036,775.88",539.1,129.36,24.00%,129.09,83.02,129.09,"244,408.68",93.83,"191,143.86", -   , -   ,11.72,"8,686.48","2,481,014.90","627,982",24.00%,"38,727.00","35,905.06","4,038,753.34",,, N/A ,"1,888,937.96","2,516,919.96","867,942.00", -   ,"839,188.00","839,188.00","2,566,130.80",,"2,728,125.96",,"3,356,107.96"
247,Hill,106.67,"403,915.83",106.02,27.56,26.00%,27.73,21.37,27.73,"52,501.76",20.16,"41,074.05", -   , -   ,1,740.87,"498,232.51","129,500",26.00%,"9,012.25","8,355.55","3,923,016.93","7,487.32", Required , Yes ,"384,575.38","514,075.38","178,984.00", -   ,"64,565.00","64,565.00","425,670.25",,"449,140.38",,"578,640.38"
249,Hillsboro,744.26,"2,818,248.21",823.2,334.27,40.61%,302.24,283.13,302.24,"572,237.04",177.56,"361,703.34",1.8,"1,332.53",12.25,"9,079.29","3,762,600.41","707,885",40.61%,"153,424.58","142,244.90","2,042,444.55","155,497.10", Required , Yes ,"3,352,457.42","4,060,342.42","978,378.00", -   ,"2,337,908.00","2,337,908.00","5,296,612.57",,"5,690,365.42",,"6,398,250.42"
255,Hinsdale,501.47,"1,898,912.67",510.87,233.33,45.67%,229.02,218.45,229.02,"433,608.15",115.2,"234,670.18",2.13,"1,576.42",14,"10,372.18","2,579,139.60","329,437",45.67%,"130,741.79","121,214.95","1,753,694.52","126,423.55", Required , Yes ,"2,497,341.11","2,826,778.11","455,320.00", -   ,"2,455,617.00","2,455,617.00","4,649,724.98",,"4,952,958.11",,"5,282,395.11"
257,Holderness,200.95,"760,913.80",208.61,45.28,21.70%,43.61,33.53,43.61,"82,567.69",30.97,"63,082.57",1.39,"1,028.99",3,"2,222.61","909,815.66","1,234,705",21.70%, -   , -   ,"23,548,644.36", -   ,  , N/A , -   ,"1,234,705.00","1,706,502.00","471,797.00", -   , -   ,"448,207.61",,"471,797.00",,"1,706,502.00"
259,Hollis,"1,241.28","4,700,289.42","1,257.51",55.03,4.38%,54.37,37.18,54.37,"102,939.81",149.32,"304,185.34",20.02,"14,834.07",13.77,"10,201.56","5,132,450.20","1,948,568",4.38%, -   , -   ,"29,524,983.58", -   ,  , N/A ,"3,183,882.20","5,132,450.20","2,693,143.00", -   , -   , -   ,"2,954,862.91",,"3,183,882.20",,"5,132,450.20"
261,Hooksett,"1,783.47","6,753,400.19","1,844.96",320.68,17.38%,309.97,229.22,309.97,"586,872.40",320.16,"652,205.62",36.66,"27,158.22",31.4,"23,259.98","8,042,896.41","2,758,167",17.38%,"67,340.98","62,434.01","7,673,888.42", -   ,  , N/A ,"5,347,163.42","8,105,330.42","3,812,101.00", -   , -   , -   ,"5,040,400.19",,"5,347,163.42",,"8,105,330.42"
263,Hopkinton,894.17,"3,385,910.58",958.91,68.62,7.16%,64.02,33.43,64.02,"121,210.35",165.11,"336,354.16", -   , -   ,19,"14,076.53","3,857,551.62","1,025,173",7.16%, -   , -   ,"13,341,515.97", -   ,  , N/A ,"2,832,378.62","3,857,551.62","1,416,906.00", -   , -   , -   ,"2,686,075.95",,"2,832,378.62",,"3,857,551.62"
267,Hudson,"2,971.76","11,253,039.80","3,027.29",541.22,17.88%,531.35,507.13,531.35,"1,006,015.58",471.71,"960,923.32",51.02,"37,797.04",38.53,"28,544.09","13,286,319.83","4,653,493",17.88%,"118,756.73","110,103.21","7,481,378.19", -   ,  , N/A ,"8,742,930.04","13,396,423.04","6,431,657.00", -   , -   , -   ,"8,376,822.65",,"8,742,930.04",,"13,396,423.04"
271,Jackson,78.29,"296,454.58",80.71,14.16,17.54%,13.73,3,13.73,"25,995.28",15.64,"31,858.36", -   , -   ,1,740.87,"355,049.09","619,389",17.54%, -   , -   ,"36,862,561.12", -   ,  , N/A , -   ,"619,389.00","856,066.00","236,677.00","78,127.00", -   ,"224,843.03",,"236,677.00",,"856,066.00"
273,Jaffrey,658.47,"2,493,388.38",684.11,246.32,36.01%,237.11,221.27,237.11,"448,925.11",138.94,"283,039.53",4.3,"3,187.67",1,740.87,"3,229,281.56","706,901",36.01%,"106,729.14","98,952.05","2,472,330.55","108,737.94", Required , Yes ,"2,730,070.55","3,436,971.55","977,017.00", -   ,"1,210,683.00","1,210,683.00","3,597,227.16",,"3,940,753.55",,"4,647,654.55"
275,Jefferson,105.4,"399,103.74",116.62,43.82,37.58%,39.61,41.58,41.58,"78,724.25",16.71,"34,039.09", -   , -   ,1,740.87,"512,607.95","190,326",39.45%,"20,504.14","19,010.05","3,974,333.62","10,949.54", Required , Yes ,"352,241.54","542,567.54","263,053.00", -   ,"208,016.00","208,016.00","497,261.55",,"560,257.54",,"750,583.54"
279,Keene,"2,305.20","8,729,019.61","2,439.54",908.09,37.22%,858,715.08,858,"1,624,468.56",490.33,"998,859.00",36.42,"26,979.82",36,"26,671.32","11,405,998.31","2,545,092",37.22%,"399,184.50","370,096.89","2,501,581.08","390,213.65", Required , Yes ,"9,621,216.85","12,166,308.85","3,517,607.00", -   ,"3,556,155.00","3,556,155.00","12,029,234.11",,"13,177,371.85",,"15,722,463.85"
281,Kensington,258.85,"980,186.41",299.57,30.98,10.34%,26.77,14,26.77,"50,684.18",50.07,"101,992.39", -   , -   ,3,"2,222.61","1,135,085.59","533,206",10.34%, -   , -   ,"16,829,344.15", -   ,  , N/A ,"601,879.59","1,135,085.59","736,951.00", -   , -   , -   ,"564,385.93",,"601,879.59",,"1,135,085.59"
283,Kingston,648.16,"2,454,352.46",726.47,110.75,15.25%,98.84,56.49,98.84,"187,135.75",175.2,"356,903.30",4.91,"3,638.93",17.39,"12,885.51","3,014,915.95","1,167,949",15.25%,"18,841.38","17,468.45","10,100,703.21", -   ,  , N/A ,"1,864,435.40","3,032,384.40","1,614,239.00", -   , -   , -   ,"1,755,979.75",,"1,864,435.40",,"3,032,384.40"
285,Laconia,"1,775.41","6,722,873.27","1,865.41",969.76,51.99%,923.04,916.6,923.04,"1,747,610.09",399.15,"813,107.57",16,"11,856.22",20.83,"15,429.95","9,310,877.10","3,288,812",51.99%,"553,824.00","513,468.19","2,934,914.53","367,795.54", Required , Yes ,"6,903,328.83","10,192,140.83","4,545,513.00", -   ,"1,463,505.00","1,463,505.00","7,407,464.53",,"8,366,833.83",,"11,655,645.83"
287,Lancaster,394.95,"1,495,530.76",411.79,224.13,54.43%,214.97,190.03,214.97,"407,007.00",102.17,"208,129.90",4,"2,963.48",6,"4,445.22","2,118,076.36","346,185",54.43%,"128,982.00","119,583.39","1,371,259.74","129,355.24", Required , Yes ,"2,020,829.99","2,367,014.99","478,466.00", -   ,"1,995,143.00","1,995,143.00","3,688,138.97",,"4,015,972.99",,"4,362,157.99"
291,Landaff,39.02,"147,747.52",51.29,12,23.40%,9.13,8.06,9.13,"17,286.01",8.54,"17,401.20", -   , -   , -   , -   ,"182,434.73","65,730",23.40%,"2,670.53","2,475.93","6,061,754.21", -   ,  , N/A ,"119,180.66","184,910.66","90,846.00", -   ,"61,334.00","61,334.00","198,331.69","17,817.03","198,331.69",,"264,061.69"
293,Langdon,56.16,"212,641.79",57.78,14.8,25.61%,14.38,10,14.38,"27,225.94",5.79,"11,803.83", -   , -   , -   , -   ,"251,671.56","84,846",25.61%,"4,603.40","4,267.96","4,939,020.96","1,983.39", Required , Yes ,"173,076.92","257,922.92","117,266.00", -   ,"174,135.00","174,135.00","322,136.52",,"347,211.92",,"432,057.92"
295,Lebanon,"1,295.34","4,905,005.73","1,328.78",393.78,29.64%,383.94,356.9,383.94,"726,921.28",213.18,"434,279.26",54.27,"40,203.46",8.87,"6,573.07","6,112,982.80","2,971,751",29.64%,"142,249.77","131,884.37","6,410,763.19", -   ,  , N/A ,"3,273,116.17","6,244,867.17","4,107,298.00", -   ,"768,410.00","768,410.00","3,912,298.80",,"4,041,526.17",,"7,013,277.17"
297,Lee,672.29,"2,545,719.26",708.42,84.84,11.98%,80.54,55.98,80.54,"152,487.99",125.88,"256,431.41",13.93,"10,318.10",8.77,"6,497.21","2,971,453.97","798,404",11.98%, -   , -   ,"8,184,007.88", -   ,  , N/A ,"2,173,049.97","2,971,453.97","1,103,485.00", -   ,"672,635.00","672,635.00","2,671,488.94",,"2,845,684.97",,"3,644,088.97"
299,Lempster,134.75,"510,263.04",137.33,48.23,35.12%,47.33,26.64,47.33,"89,610.84",33.4,"68,043.75", -   , -   ,3,"2,222.61","670,140.24","182,185",35.12%,"20,777.87","19,263.84","2,642,429.66","20,658.79", Required , Yes ,"527,877.87","710,062.87","251,801.00", -   ,"271,086.00","271,086.00","731,823.75",,"798,963.87",,"981,148.87"
303,Lincoln,124.46,"471,304.74",122.43,37.91,30.96%,38.53,29.09,38.53,"72,949.62",23.49,"47,845.20",8,"5,926.96", -   , -   ,"598,026.52","1,379,320",30.96%, -   , -   ,"29,734,122.95",,  , N/A , -   ,"1,379,320.00","1,906,377.00","527,057.00", -   , -   ,"500,703.77",,"527,057.00",,"1,906,377.00"
311,Lisbon,213.48,"808,360.27",250.76,154.31,61.53%,131.35,106.49,131.35,"248,687.58",64.05,"130,480.77",1,740.87,4,"2,963.48","1,191,232.97","160,586",61.53%,"78,810.00","73,067.31","1,037,735.93","84,733.14", Required , Yes ,"1,188,447.42","1,349,033.42","221,948.00", -   ,"884,432.00","884,432.00","1,920,483.48",,"2,072,879.42",,"2,233,465.42"
