,,,,,,,,,,,,,,,,,,
BUILDING AID DISTRIBUTION FY25-FY41,,,,,,,,,,,,,,,,,,
"Last revised: July 1, 2025",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
DISTRICT,SAU,2024 - 2025,2025 - 2026,2026 - 2027,2027 - 2028,2028 - 2029,2029 - 2030,2030 - 2031,2031 - 2032,2032 - 2033,2033 - 2034,2034 - 2035,2035 - 2036,2036 - 2037,2037 - 2038,2038 - 2039,2039 - 2040,2040 - 2041
Gorham,20, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Governor Wentworth,49," $1,127,677 "," $1,080,130 "," $1,035,603 "," $992,273 "," $950,676 "," $911,785 "," $874,286 "," $836,953 "," $803,102 "," $752,238 "," $715,709 "," $684,351 "," $655,865 "," $628,112 "," $601,885 "," $576,313 ", $-   
Grantham,75," $107,513 "," $107,513 "," $107,513 "," $107,513 "," $106,013 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Greenland,50, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Hampton,90, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Hanover,70, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Haverhill Cooperative,23, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Henniker,24, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Hill ,18, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Hillsboro-Deering,34, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Hinsdale,92," $462,803 "," $462,803 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Holderness,48, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Hollis,41, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Hollis/Brookline,41," $241,362 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Hooksett,15, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Hopkinton,66, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Hudson,27, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Inter-lakes ,2, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Jackson,9, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Jaffrey-Rindge,47, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
John Stark Regional,24, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Kearsarge Regional,65," $567,537 "," $542,804 "," $433,101 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Keene,29," $647,696 "," $616,032 "," $586,231 "," $558,611 "," $530,999 "," $504,707 "," $480,302 "," $455,615 "," $433,047 "," $411,621 "," $391,235 "," $370,857 "," $351,438 "," $333,746 "," $315,923 "," $295,746 ", $-   
Kensington,16, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Laconia,30," $473,749 "," $461,915 "," $450,139 "," $437,775 "," $426,305 "," $415,609 "," $405,633 "," $351,714 "," $342,690 "," $333,734 "," $305,431 "," $297,168 "," $173,297 ", $-   , $-   , $-   , $-   
Lebanon,88," $524,442 "," $524,442 "," $524,442 "," $524,442 "," $524,442 "," $524,442 "," $524,442 "," $524,442 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Lisbon,35, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Litchfield,27, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Littleton,84," $117,000 "," $117,000 "," $117,000 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Londonderry,12," $160,368 "," $160,368 "," $79,844 "," $79,844 "," $79,844 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Lyme,76, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Madison,13, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Manchester,37," $3,032,991 "," $2,958,418 "," $3,081,009 "," $3,236,410 "," $281,812 "," $291,412 "," $216,465 "," $71,400 "," $73,783 "," $76,642 "," $79,502 ", $-   , $-   , $-   , $-   , $-   , $-   
Marlborough,29," $186,847 "," $179,272 "," $171,654 "," $164,985 "," $148,030 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Mascenic Regional,87," $797,013 "," $797,013 "," $797,011 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Mascoma Valley Reg.,62, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
