,,,Loc #,State Total,"154,925.43","647,898,128.65 ","41,749.19","97,943,593.71 ","31,471.30 ","67,411,519.29 ","5,454.57","4,450,925.24 ",39.46 ,"165,038.87 "," 817,869,205.76 "," 364,350,537 ","311,943,286,262",,," $158,650,596.05 "," 640,566,313.35 "," 598,639,134.52 "," 622,584,699.90 "," 59,449,971.16 ",, -   ," 700,016,284.46 ",,"1,064,366,821.46 ",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Barnstead,TRUE,31,Barnstead, 641.21 ," 2,681,545.66 ", 164.96 ," 387,006.72 ", 146.58 ," 313,977.36 ", 1.00 , 816.00 , 0.53 ," 2,195.55 "," 3,385,541.29 "," 1,274,986 "," 1,067,813,023.75 "," 6,472,986.76 ", 440.32 ," 72,637.58 "," 2,183,192.87 "," 2,897,182.28 "," 3,013,069.57 ","829,876.70","3,013,069.57", -   ," 3,013,069.57 ",," 4,288,055.57 ",,,,,,,,,
33,Barrington,TRUE,33,Barrington," 1,366.37 "," 5,714,165.61 ", 171.23 ," 401,716.61 ", 282.79 ," 605,743.03 ", 10.71 ," 8,736.99 ", -   , -   ," 6,730,362.24 "," 2,134,872 "," 1,791,481,648.76 "," 10,462,141.43 ", -   , -   ," 4,595,490.24 "," 4,715,737.65 "," 4,904,367.16 ","308,876.92","4,904,367.16", -   ," 4,904,367.16 ",," 7,039,239.16 ",,,,,,,,,
35,Bartlett,TRUE,35,Bartlett, 217.15 ," 908,115.03 ", 73.52 ," 172,483.32 ", 43.49 ," 93,162.65 ", 1.00 , 816.00 , 0.15 , 627.30 ," 1,175,204.30 "," 2,467,113 "," 2,039,435,437.00 "," 27,739,004.86 ", -   , -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 2,467,113.00 ",,,,,,,,,
39,Bath,TRUE,39,Bath, 112.51 ," 470,534.38 ", 23.83 ," 55,897.67 ", 21.73 ," 46,542.88 ", -   , -   , -   , -   ," 572,974.93 "," 209,988 "," 211,442,796.53 "," 8,874,158.36 ", -   , -   ," 362,986.93 "," 640,212.75 "," 665,821.26 ","302,834.33","665,821.26", -   ," 665,821.26 ",," 875,809.26 ",,,,,,,,,
41,Bedford,TRUE,41,Bedford," 3,891.19 "," 16,272,944.45 ", 258.74 ," 606,999.11 ", 621.22 ," 1,330,644.46 ", 83.21 ," 67,901.40 ", 0.75 ," 3,136.50 "," 18,281,625.92 "," 7,402,341 "," 6,169,237,848.11 "," 23,843,580.12 ", -   , -   ," 10,879,284.92 "," 9,727,478.59 "," 10,116,577.73 ",0.00,"10,788,365.40", -   ," 10,879,284.92 ",," 18,281,625.92 ",,,,,,,,,
43,Belmont,TRUE,43,Belmont, 867.07 ," 3,626,099.70 ", 301.98 ," 708,452.59 ", 196.03 ," 419,900.76 ", 3.10 ," 2,529.11 ", 1.05 ," 4,391.10 "," 4,761,373.26 "," 1,481,978 "," 1,238,375,745.33 "," 4,100,810.06 "," 4,473.02 "," 1,350,777.77 "," 4,630,173.03 "," 4,434,754.40 "," 4,612,144.58 ",0.00,"4,612,144.58", -   ," 4,630,173.03 ",," 6,112,151.03 ",,,,,,,,,
45,Bennington,TRUE,45,Bennington, 197.95 ," 827,836.94 ", 62.15 ," 145,810.47 ", 60.49 ," 129,579.65 ", -   , -   , -   , -   ," 1,103,227.06 "," 226,550 "," 191,849,775.48 "," 3,086,743.89 "," 6,196.94 "," 385,156.89 "," 1,261,833.95 "," 1,277,040.15 "," 1,328,121.76 ","66,287.81","1,328,121.76", -   ," 1,328,121.76 ",," 1,554,671.76 ",,,,,,,,,
47,Benton,TRUE,47,Benton, 22.10 ," 92,411.33 ", 10.00 ," 23,460.00 ", 9.00 ," 19,278.00 ", -   , -   , -   , -   ," 135,149.33 "," 53,455 "," 45,980,000.86 "," 4,598,000.09 "," 3,627.80 "," 36,278.00 "," 117,972.33 "," 129,544.34 "," 134,726.11 ","16,753.78","134,726.11", -   ," 134,726.11 ",," 188,181.11 ",,,,,,,,,
51,Berlin,TRUE,51,Berlin, 933.02 ," 3,901,872.49 ", 521.32 ," 1,223,010.15 ", 199.13 ," 426,538.39 ", 2.11 ," 1,719.56 ", 0.98 ," 4,077.45 "," 5,557,218.04 "," 660,392 "," 799,172,880.33 "," 1,532,987.75 "," 8,670.00 "," 4,519,820.12 "," 9,416,646.16 "," 10,453,466.90 "," 10,871,605.58 ","1,454,959.42","10,871,605.58", -   ," 10,871,605.58 ",," 11,531,997.58 ",,,,,,,,,
53,Bethlehem,TRUE,53,Bethlehem, 251.06 ," 1,049,925.81 ", 84.98 ," 199,369.65 ", 45.30 ," 97,030.89 ", -   , -   , -   , -   ," 1,346,326.35 "," 632,202 "," 534,227,142.35 "," 6,286,297.25 ", 757.69 ," 64,391.01 "," 778,515.36 "," 1,203,989.05 "," 1,252,148.61 ","473,633.25","1,252,148.61", -   ," 1,252,148.61 ",," 1,884,350.61 ",,,,,,,,,
55,Boscawen,TRUE,55,Boscawen, 471.90 ," 1,973,491.65 ", 150.24 ," 352,471.25 ", 108.66 ," 232,739.87 ", 3.84 ," 3,130.34 ", -   , -   ," 2,561,833.11 "," 525,185 "," 451,056,422.35 "," 3,002,169.29 "," 6,340.71 "," 952,650.79 "," 2,989,298.90 "," 3,066,101.87 "," 3,188,745.94 ","199,447.04","3,188,745.94", -   ," 3,188,745.94 ",," 3,713,930.94 ",,,,,,,,,
57,Bow,TRUE,57,Bow," 1,407.09 "," 5,884,431.98 ", 84.52 ," 198,278.52 ", 224.81 ," 481,532.74 ", 11.12 ," 9,072.29 ", 0.02 , 63.57 ," 6,573,379.10 "," 2,244,239 "," 1,996,841,785.01 "," 23,626,314.78 ", -   , -   ," 4,329,140.10 "," 4,309,246.31 "," 4,481,616.16 ","152,476.07","4,481,616.16", -   ," 4,481,616.16 ",," 6,725,855.16 ",,,,,,,,,
59,Bradford,TRUE,59,Bradford, 201.65 ," 843,319.12 ", 39.75 ," 93,253.50 ", 40.98 ," 87,778.52 ", -   , -   , -   , -   ," 1,024,351.14 "," 439,737 "," 366,774,922.89 "," 9,227,042.09 ", -   , -   ," 584,614.14 "," 759,414.80 "," 789,791.39 ","205,177.25","789,791.39", -   ," 789,791.39 ",," 1,229,528.39 ",,,,,,,,,
63,Brentwood,TRUE,63,Brentwood, 636.55 ," 2,662,046.25 ", 46.16 ," 108,297.46 ", 124.92 ," 267,569.00 ", 3.00 ," 2,448.00 ", -   , -   ," 3,040,360.71 "," 1,189,022 "," 1,010,668,987.01 "," 21,893,675.55 ", -   , -   ," 1,851,338.71 "," 1,554,460.35 "," 1,616,638.76 ",0.00,"1,864,982.37", -   ," 1,851,338.71 ",," 3,040,360.71 ",,,,,,,,,
65,Bridgewater,TRUE,65,Bridgewater, 81.77 ," 341,950.01 ", 21.87 ," 51,308.90 ", 11.41 ," 24,440.65 ", 2.00 ," 1,632.00 ", -   , -   ," 419,331.56 "," 778,550 "," 647,807,769.65 "," 29,619,756.46 ", -   , -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 778,550.00 ",,,,,,,,,
67,Bristol,TRUE,67,Bristol, 346.26 ," 1,448,071.45 ", 154.72 ," 362,979.92 ", 53.72 ," 115,057.53 ", 2.32 ," 1,893.28 ", -   , -   ," 1,928,002.18 "," 1,127,921 "," 954,821,699.55 "," 6,171,172.46 ", 953.41 ," 147,513.87 "," 947,595.05 "," 855,142.35 "," 889,348.04 ",0.00,"889,348.04", -   ," 947,595.05 ",," 2,075,516.05 ",,,,,,,,,
69,Brookfield,TRUE,69,Brookfield, 78.18 ," 326,942.91 ", 14.18 ," 33,263.00 ", 7.00 ," 14,994.00 ", -   , -   , -   , -   ," 375,199.91 "," 230,842 "," 191,569,043.08 "," 13,511,139.54 ", -   , -   ," 144,357.91 "," 209,001.78 "," 217,361.85 ","73,003.94","217,361.85", -   ," 217,361.85 ",," 448,203.85 ",,,,,,,,,
71,Brookline,TRUE,71,Brookline," 1,068.34 "," 4,467,814.61 ", 64.39 ," 151,047.68 ", 176.60 ," 378,270.35 ", 11.84 ," 9,663.64 ", 0.45 ," 1,881.90 "," 5,008,678.18 "," 1,283,080 "," 1,066,580,753.18 "," 16,565,619.94 ", -   , -   ," 3,725,598.18 "," 4,204,790.90 "," 4,372,982.54 ","647,384.36","4,372,982.54", -   ," 4,372,982.54 ",," 5,656,062.54 ",,,,,,,,,
73,Cambridge,TRUE,73,Cambridge, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 15,417 "," 12,962,472.15 ", -   ,  , -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 15,417.00 ",,,,,,,,,
75,Campton,TRUE,75,Campton, 399.99 ," 1,672,774.91 ", 120.58 ," 282,874.58 ", 79.16 ," 169,562.86 ", 3.99 ," 3,254.94 ", -   , -   ," 2,128,467.29 "," 966,675 "," 816,663,684.42 "," 6,772,941.57 ", -   , -   ," 1,161,792.29 "," 1,787,443.67 "," 1,858,941.42 ","697,149.13","1,858,941.42", -   ," 1,858,941.42 ",," 2,825,616.42 ",,,,,,,,,
